name,CollectionSite,Address 1,City,state,postal,googleMapsUrl,address,source,source_date,lng,lat
ARDSLEY SAYF COALITION,ARDSLEY VILLAGE HALL,507 ASHFORD HALL,ARDSLEY,NY,10502,"http://maps.google.com/maps?q=507 ASHFORD HALL,+ARDSLEY,+NY+10502&hl=en","507 ASHFORD HALL, ARDSLEY, NY 10502",DEA,NTBD_2018_OCT,-73.84568,41.011165999999996
ARLINGTON POLICE DEPARTMENT,ARLINGTON POLICE DEPARTMENT,112 MYSTIC STREET,ARLINGTON,MA,2474,"http://maps.google.com/maps?q=112 MYSTIC STREET,+ARLINGTON,+MA+02474&hl=en","112 MYSTIC STREET, ARLINGTON, MA 02474",DEA,NTBD_2018_OCT,-71.1519,42.41935
ASHBY POLICE DEPARTMENT,ASHBY POLICE DEPARTMENT,893 MAIN ST.,ASHBY,MA,1431,"http://maps.google.com/maps?q=893 MAIN ST.,+ASHBY,+MA+01431&hl=en","893 MAIN ST., ASHBY, MA 01431",DEA,NTBD_2018_OCT,-71.82867399999999,42.67992
ASHLAND POLICE DEPARTMENT,ASHLAND POLICE DEPARTMENT LT. DAVID BEAUDOIN,137 MAIN STREET,ASHLAND,MA,1721,"http://maps.google.com/maps?q=137 MAIN STREET,+ASHLAND,+MA+01721&hl=en","137 MAIN STREET, ASHLAND, MA 01721",DEA,NTBD_2018_OCT,-71.46481,42.260326
AYER POLICE DEPARTMENT,WESTFORD POLICE DEPARTMENT,53 MAIN STREET,WESTFORD,MA,1886,"http://maps.google.com/maps?q=53 MAIN STREET,+WESTFORD,+MA+01886&hl=en","53 MAIN STREET, WESTFORD, MA 01886",DEA,NTBD_2018_OCT,-71.43943,42.581179999999996
BEDFORD POLICE DEPARTMENT,BEDFORD POLICE DEPARTMENT JAMES GRAHAM,2 MUDGE WAYPOLICE DEPARTMENT,BEDFORD,MA,1730,"http://maps.google.com/maps?q=2 MUDGE WAY,+BEDFORD,+MA+01730&hl=en","2 MUDGE WAYPOLICE DEPARTMENT, BEDFORD, MA 01730",DEA,NTBD_2018_OCT,-71.28296,42.493179999999995
BELCHERTOWN POLICE DEPARTMENT,BELCHERTOWN POLICE DEPARTMENT,PARK STREETTOWN COMMON,BELCHERTOWN,MA,1007,"http://maps.google.com/maps?q=PARK STREET,+BELCHERTOWN,+MA+01007&hl=en","PARK STREETTOWN COMMON, BELCHERTOWN, MA 01007",DEA,NTBD_2018_OCT,,
BELLINGHAM POLICE DEPARTMENT,BELLINGHAM POLICE DEPARTMENT,30 BLACKSTONE STREET,BELLINGHAM,MA,2019,"http://maps.google.com/maps?q=30 BLACKSTONE STREET,+BELLINGHAM,+MA+02019&hl=en","30 BLACKSTONE STREET, BELLINGHAM, MA 02019",DEA,NTBD_2018_OCT,-71.46693,42.078179999999996
BELMONT POLICE DEPARTMENT,BELMONT DEPARTMENT OF PUBLIC WORKS,37 C STREET,BELMONT,MA,2478,"http://maps.google.com/maps?q=37 C STREET,+BELMONT,+MA+02478&hl=en","37 C STREET, BELMONT, MA 02478",DEA,NTBD_2018_OCT,-71.185074,42.38897
BENNINGTON POLICE DEPARTMENT,BENNINGTON COUNTY SHERIFF'S DEPT FRONT LOBBY,811 US ROUTE 7 SOUTH,BENNINGTON,VT,5201,"http://maps.google.com/maps?q=811 US ROUTE 7 SOUTH,+BENNINGTON,+VT+05201&hl=en","811 US ROUTE 7 SOUTH, BENNINGTON, VT 05201",DEA,NTBD_2018_OCT,,
BENNINGTON POLICE DEPARTMENT,BENNINGTON POLICE DEPARTMENT FRONT LOBBY,118 SOUTH STREET,BENNINGTON,VT,5201,"http://maps.google.com/maps?q=118 SOUTH STREET,+BENNINGTON,+VT+05201&hl=en","118 SOUTH STREET, BENNINGTON, VT 05201",DEA,NTBD_2018_OCT,-73.19714,42.878209999999996
BENNINGTON POLICE DEPARTMENT,MANCHESTER POLICE DEPARTMENT FRONT LOBBY,6041 MAIN STREET,MANCHESTER CENTER,VT,5255,"http://maps.google.com/maps?q=6041 MAIN STREET,+MANCHESTER CENTER,+VT+05255&hl=en","6041 MAIN STREET, MANCHESTER CENTER, VT 05255",DEA,NTBD_2018_OCT,-73.0453714598069,43.1845865917271
BENNINGTON POLICE DEPARTMENT,SOUTHWESTERN VERMONT MEDICAL CENTER FRONT LOBBY,100 HOSPITAL DRIVE,BENNINGTON,VT,5201,"http://maps.google.com/maps?q=100 HOSPITAL DRIVE,+BENNINGTON,+VT+05201&hl=en","100 HOSPITAL DRIVE, BENNINGTON, VT 05201",DEA,NTBD_2018_OCT,-73.20565,42.873596
BENNINGTON POLICE DEPARTMENT,WINHALL POLICE DEPARTMENT FRONT LOBBY,113 VT ROUTE 30,BONDVILLE,VT,5340,"http://maps.google.com/maps?q=113 VT ROUTE 30,+BONDVILLE,+VT+05340&hl=en","113 VT ROUTE 30, BONDVILLE, VT 05340",DEA,NTBD_2018_OCT,-72.93467,43.186176
BERLIN POLICE DEPARTMENT,BERLIN POLICE DEPARTMENT,240 KENSINGTON ROAD,BERLIN,CT,6037,"http://maps.google.com/maps?q=240 KENSINGTON ROAD,+BERLIN,+CT+06037&hl=en","240 KENSINGTON ROAD, BERLIN, CT 06037",DEA,NTBD_2018_OCT,-72.7706,41.627888
BETHANY POLICE DEPARTMENT,TROOP I RESIDENT TROOPERS OFFICE,631 AMITY ROAD,NEW HAVEN,CT,6525,"http://maps.google.com/maps?q=631 AMITY ROAD,+NEW HAVEN,+CT+06525&hl=en","631 AMITY ROAD, NEW HAVEN, CT 06525",DEA,NTBD_2018_OCT,-72.988258,41.3502205
BETHLEHEM POLICE DEPARTMENT,ELM AVENUE PARK FRONT PARKING LOT,249 ELM AVENUE,DELMAR,NY,12054,"http://maps.google.com/maps?q=249 ELM AVENUE,+DELMAR,+NY+12054&hl=en","249 ELM AVENUE, DELMAR, NY 12054",DEA,NTBD_2018_OCT,-73.839966,42.601345
BILLERICA POLICE,BILLERICA POLICE,6 GOOD ST,BILLERICA,MA,1821,"http://maps.google.com/maps?q=6 GOOD ST,+BILLERICA,+MA+01821&hl=en","6 GOOD ST, BILLERICA, MA 01821",DEA,NTBD_2018_OCT,-71.27164,42.563515
BLACKSTONE POLICE DEPARTMENT,BLACKSTONE POLICE DEPARTMENT LT. GREGORY GILMORE,15 ST. PAUL STREET,BLACKSTONE,MA,1504,"http://maps.google.com/maps?q=15 ST. PAUL STREET,+BLACKSTONE,+MA+01504&hl=en","15 ST. PAUL STREET, BLACKSTONE, MA 01504",DEA,NTBD_2018_OCT,-71.5335524,42.0172526
BOROUGH OF FAIRVIEW,FAIRVIEW POLICE DEPARTMENT 201-943-2100,59 ANDERSON AVE.,FAIRVIEW,NJ,7022,"http://maps.google.com/maps?q=59 ANDERSON AVE.,+FAIRVIEW,+NJ+07022&hl=en","59 ANDERSON AVE., FAIRVIEW, NJ 07022",DEA,NTBD_2018_OCT,-73.99978,40.81175
BOSTON POLICE DEPARTMENT,BOSTON POLICE DEPARTMENT DISTRICT D-14,301 WASHINGTON ST,BRIGHTON,MA,2135,"http://maps.google.com/maps?q=301 WASHINGTON ST,+BRIGHTON,+MA+02135&hl=en","301 WASHINGTON ST, BRIGHTON, MA 02135",DEA,NTBD_2018_OCT,-71.1505902,42.3493611
BOXBOROUGH POLICE DEPARTMENT,BOXBOROUGH POLICE DEPARTMENT WARREN B RYDER,520 MASSACHUSETTS AVENUEPOLICE DEPARTMENT,BOXBOROUGH,MA,1719,"http://maps.google.com/maps?q=520 MASSACHUSETTS AVENUE,+BOXBOROUGH,+MA+01719&hl=en","520 MASSACHUSETTS AVENUEPOLICE DEPARTMENT, BOXBOROUGH, MA 01719",DEA,NTBD_2018_OCT,,
BRADFORD POLICE DEPARTMENT,BRADFORD POLICE DEPARTMENT,2217 STATE ROUTE 114,BRADFORD,NH,3221,"http://maps.google.com/maps?q=2217 STATE ROUTE 114,+BRADFORD,+NH+03221&hl=en","2217 STATE ROUTE 114, BRADFORD, NH 03221",DEA,NTBD_2018_OCT,-71.891227,43.228156
BRANFORD POLICE DEPARTMENT,BRANFORD POLICE DEPARTMENT,33 LAUREL STREET,BRANFORD,CT,6405,"http://maps.google.com/maps?q=33 LAUREL STREET,+BRANFORD,+CT+06405&hl=en","33 LAUREL STREET, BRANFORD, CT 06405",DEA,NTBD_2018_OCT,-72.81399499999999,41.280487
BRISTOL POLICE DEPARTMENT,BRISTOL SENIOR COMMUNITY CENTER HOURS OF COLLECTION 10:00 A.M- 1:00 P.M,240 STAFFORD AVENUE,BRISTOL,CT,6010,"http://maps.google.com/maps?q=240 STAFFORD AVENUE,+BRISTOL,+CT+06010&hl=en","240 STAFFORD AVENUE, BRISTOL, CT 06010",DEA,NTBD_2018_OCT,-72.903336,41.68377
BROOKLINE POLICE DEPARTMENT,BROOKLINE PUBLIC SAFETY BUILDING COMMUNITY ROOM,350 WASHINGTON ST.,BROOKLINE,MA,2445,"http://maps.google.com/maps?q=350 WASHINGTON ST.,+BROOKLINE,+MA+02445&hl=en","350 WASHINGTON ST., BROOKLINE, MA 02445",DEA,NTBD_2018_OCT,-71.121346,42.33398
BROOKLINE POLICE DEPARTMENT,BROOKLINE SAFETY COMPLEX AMBULANCE BAY DRIVE THROUGH,3 POST OFFICE DR,BROOKLINE,NH,3033,"http://maps.google.com/maps?q=3 POST OFFICE DR,+BROOKLINE,+NH+03033&hl=en","3 POST OFFICE DR, BROOKLINE, NH 03033",DEA,NTBD_2018_OCT,-71.6687,42.750374
BURLINGTON POLICE DEPARTMENT,BURLINGTON PD,45 CENTER ST,BURLINGTON,MA,1803,"http://maps.google.com/maps?q=45 CENTER ST,+BURLINGTON,+MA+01803&hl=en","45 CENTER ST, BURLINGTON, MA 01803",DEA,NTBD_2018_OCT,-71.1929,42.504932000000004
BURRILLVILLE POLICE DEPARTMENT,BURRILLVILLE POLICE DEPARTMENT,1477 VICTORY HIGHWAY,HARRISVILLE,RI,2830,"http://maps.google.com/maps?q=1477 VICTORY HIGHWAY,+HARRISVILLE,+RI+02830&hl=en","1477 VICTORY HIGHWAY, HARRISVILLE, RI 02830",DEA,NTBD_2018_OCT,,
CAIRO POLICE DEPARTMENT,HANNAFORD,223 MAIN STREET,CAIRO,NY,12413,"http://maps.google.com/maps?q=223 MAIN STREET,+CAIRO,+NY+12413&hl=en","223 MAIN STREET, CAIRO, NY 12413",DEA,NTBD_2018_OCT,-73.99179000000001,42.29452
CASTLETON POLICE DEPARTMENT,CASTLETON POLICE DEPARTMENT,263 VT ROUTE 30,CASTLETON,VT,5735,"http://maps.google.com/maps?q=263 VT ROUTE 30,+CASTLETON,+VT+05735&hl=en","263 VT ROUTE 30, CASTLETON, VT 05735",DEA,NTBD_2018_OCT,,
CENTRAL FALLS POLICE DEPARTMENT,CENTRAL FALLS POLICE DEPARTMENT LT. CHRISTOPHER REED,160 ILLINOIS STREET,CENTRAL FALLS,RI,2863,"http://maps.google.com/maps?q=160 ILLINOIS STREET,+CENTRAL FALLS,+RI+02863&hl=en","160 ILLINOIS STREET, CENTRAL FALLS, RI 02863",DEA,NTBD_2018_OCT,-71.39276,41.888317
CHATHAM POLICE DEPARTMENT,CHATHAM PD,77 MAIN STREET,CHATHAM,NY,12037,"http://maps.google.com/maps?q=77 MAIN STREET,+CHATHAM,+NY+12037&hl=en","77 MAIN STREET, CHATHAM, NY 12037",DEA,NTBD_2018_OCT,-73.59536,42.363388
CHELMSFORD POLICE DEPARTMENT,CHELMSFORD POLICE DEPARTMENT,2 OLDE NORTH RD,CHELMSFORD,MA,1824,"http://maps.google.com/maps?q=2 OLDE NORTH RD,+CHELMSFORD,+MA+01824&hl=en","2 OLDE NORTH RD, CHELMSFORD, MA 01824",DEA,NTBD_2018_OCT,-71.3676594280934,42.62020445
CHESHIRE POLICE DEPARTMENT,CHESHIRE POLICE DEPARTMENT,500 HIGHLAND AVE,CHESHIRE,CT,6410,"http://maps.google.com/maps?q=500 HIGHLAND AVE,+CHESHIRE,+CT+06410&hl=en","500 HIGHLAND AVE, CHESHIRE, CT 06410",DEA,NTBD_2018_OCT,-72.89893000000001,41.51227
CHESTERFIELD POLICE DEPARTMENT,CHESTERFIELD POLICE DEPARTMENT CHIEF DUANE CHICKERING,490 ROUTE 63PO BOX 231,CHESTERFIELD,NH,3443,"http://maps.google.com/maps?q=490 ROUTE 63,+CHESTERFIELD,+NH+03443&hl=en","490 ROUTE 63PO BOX 231, CHESTERFIELD, NH 03443",DEA,NTBD_2018_OCT,,
CITY OF PROVIDENCE,WALGREENS PHARMACY,1 POCASSET AVE,PROVIDENCE,RI,2909,"http://maps.google.com/maps?q=1 POCASSET AVE,+PROVIDENCE,+RI+02909&hl=en","1 POCASSET AVE, PROVIDENCE, RI 02909",DEA,NTBD_2018_OCT,-71.44883,41.81296
CLAREMONT POLICE DEPARTMENT,CVS PARKING LOT DRIVE UP AND DROP OFF SITE,1 WALL STREET,CLAREMONT,NH,3743,"http://maps.google.com/maps?q=1 WALL STREET,+CLAREMONT,+NH+03743&hl=en","1 WALL STREET, CLAREMONT, NH 03743",DEA,NTBD_2018_OCT,-72.33646,43.37328
CLARKU,CLARK UNIVERSITY,950 MAIN STREETHIGGINS STUDENT CENTER,WORCESTER,MA,1610,"http://maps.google.com/maps?q=950 MAIN STREET,+WORCESTER,+MA+01610&hl=en","950 MAIN STREETHIGGINS STUDENT CENTER, WORCESTER, MA 01610",DEA,NTBD_2018_OCT,-71.823265,42.249676
CLOSTER POLICE DEPARTMENT,CLOSTER POLICE DEPT. 201-768-5000,295 CLOSTER DOCK ROAD,CLOSTER,NJ,7624,"http://maps.google.com/maps?q=295 CLOSTER  DOCK ROAD,+CLOSTER,+NJ+07624&hl=en","295 CLOSTER DOCK ROAD, CLOSTER, NJ 07624",DEA,NTBD_2018_OCT,-73.9424695,40.957916
COLONIE POLICE DEPARTMENT,COLONIE POLICE DEPARTMENT COURT RM # 1,312 WOLF ROAD,LATHAM,NY,12110,"http://maps.google.com/maps?q=312 WOLF ROAD,+LATHAM,+NY+12110&hl=en","312 WOLF ROAD, LATHAM, NY 12110",DEA,NTBD_2018_OCT,-73.7911,42.737858
COLUMBIA COUNTY SHERIFF'S OFFICE,COLUMBIA COUNTY SHERIFF'S OFFICE,85 INDUSTRIAL TRACT,HUDSON,NY,12534,"http://maps.google.com/maps?q=85 INDUSTRIAL TRACT,+HUDSON,+NY+12534&hl=en","85 INDUSTRIAL TRACT, HUDSON, NY 12534",DEA,NTBD_2018_OCT,-73.75652,42.24968
COLUMBIA COUNTY SHERIFF'S OFFICE,HILLSDALE SUB STATION,2684 STATE ROUTE 23,HILLSDALE,NY,12529,"http://maps.google.com/maps?q=2684 STATE ROUTE 23,+HILLSDALE,+NY+12529&hl=en","2684 STATE ROUTE 23, HILLSDALE, NY 12529",DEA,NTBD_2018_OCT,-73.52251,42.179752
CONNECTICUT STATE POLICE-TROOP G,TROOP G BARRACKS,149 PROSPECT ST,BRIDGEPORT,CT,6604,"http://maps.google.com/maps?q=149 PROSPECT ST,+BRIDGEPORT,+CT+06604&hl=en","149 PROSPECT ST, BRIDGEPORT, CT 06604",DEA,NTBD_2018_OCT,-73.19191,41.173256
COXSACKIE POLICE DEPARTMENT,COXSACKIE POLICE DEPARTMENT,119 MANSION STREET,COXSACKIE,NY,12051,"http://maps.google.com/maps?q=119 MANSION STREET,+COXSACKIE,+NY+12051&hl=en","119 MANSION STREET, COXSACKIE, NY 12051",DEA,NTBD_2018_OCT,-73.80776999999999,42.35546
CRANSTON POLICE DEPARTMENT,CRANSTON POLICE DEPARTMENT,5 GARFIELD ST,CRANSTON,RI,2920,"http://maps.google.com/maps?q=5 GARFIELD ST,+CRANSTON,+RI+02920&hl=en","5 GARFIELD ST, CRANSTON, RI 02920",DEA,NTBD_2018_OCT,-71.44228000000001,41.796387
CRESSKILL POLICE DEPARTMENT,CRESSKILL POLICE DEPARTMENT,67 UNION AVENUE,CRESSKILL,NJ,7626,"http://maps.google.com/maps?q=67 UNION AVENUE,+CRESSKILL,+NJ+07626&hl=en","67 UNION AVENUE, CRESSKILL, NJ 07626",DEA,NTBD_2018_OCT,-73.96005,40.9415
CT STATE POLICE TROOP C,CT STATE POLICE TROOP C,1320 TOLLAND STAGE RD.,TOLLAND,CT,6084,"http://maps.google.com/maps?q=1320 TOLLAND STAGE RD.,+TOLLAND,+CT+06084&hl=en","1320 TOLLAND STAGE RD., TOLLAND, CT 06084",DEA,NTBD_2018_OCT,-72.32460999999999,41.88623
CT STATE POLICE TROOP E,GRISWOLD TOWN HALL,28 MAIN STREET,JEWETT CITY,CT,6351,"http://maps.google.com/maps?q=28 MAIN STREET,+JEWETT CITY,+CT+06351&hl=en","28 MAIN STREET, JEWETT CITY, CT 06351",DEA,NTBD_2018_OCT,-71.98329,41.60528
CUMBERLAND POLICE,CUMBERLAND POLICE DEPARTMENT,1380 DIAMOND HILL ROAD,CUMBERLAND,RI,2864,"http://maps.google.com/maps?q=1380 DIAMOND HILL ROAD,+CUMBERLAND,+RI+02864&hl=en","1380 DIAMOND HILL ROAD, CUMBERLAND, RI 02864",DEA,NTBD_2018_OCT,-71.4013,41.92921
CUMMINGTON POLICE DEPARTMENT,CUMMINGTON POLICE DEPARTMENT CUMMINGTON PUBLIC SAFETY COMPLEX,8 FAIRGROUNDS ROAD,CUMMINGTON,MA,1026,"http://maps.google.com/maps?q=8 FAIRGROUNDS ROAD,+CUMMINGTON,+MA+01026&hl=en","8 FAIRGROUNDS ROAD, CUMMINGTON, MA 01026",DEA,NTBD_2018_OCT,-72.89208,42.44928
DANBURY POLICE DEPARTMENT,DANBURY POLICE DEPARTMENT,375 MAIN STREET,DANBURY,CT,6810,"http://maps.google.com/maps?q=375 MAIN STREET,+DANBURY,+CT+06810&hl=en","375 MAIN STREET, DANBURY, CT 06810",DEA,NTBD_2018_OCT,-73.45852,41.400729999999996
DEA NEW YORK DIVISION,NEW YORK CITY POLICE DEPARTMENT BRONX 42 PRECINCT,830 WASHINGTON AVENUE MORRISANIA,BRONX,NY,10451,"http://maps.google.com/maps?q=830 WASHINGTON AVENUE MORRISANIA,+BRONX,+NY+10451&hl=en","830 WASHINGTON AVENUE MORRISANIA, BRONX, NY 10451",DEA,NTBD_2018_OCT,-73.91161,40.822407
DEA NEW YORK DIVISION,NEW YORK CITY POLICE DEPARTMENT BRONX 45 PRECINCT,2877 BARKLEY AVENUE (SCHUYLERVILLE),BRONX,NY,10465,"http://maps.google.com/maps?q=2877 BARKLEY AVENUE (SCHUYLERVILLE),+BRONX,+NY+10465&hl=en","2877 BARKLEY AVENUE (SCHUYLERVILLE), BRONX, NY 10465",DEA,NTBD_2018_OCT,-73.82731,40.83062
DEA NEW YORK DIVISION,NEW YORK CITY POLICE DEPARTMENT BRONX 46 PRECINCT,2120 RYER AVENUE (FORDHAM),BRONX,NY,10457,"http://maps.google.com/maps?q=2120 RYER AVENUE (FORDHAM),+BRONX,+NY+10457&hl=en","2120 RYER AVENUE (FORDHAM), BRONX, NY 10457",DEA,NTBD_2018_OCT,-73.90057,40.853592
DEA NEW YORK DIVISION,NEW YORK CITY POLICE DEPARTMENT BRONX 48 PRECINCT,450 CROSS BRONX EXPRESSWAY (EAST TREMONT),BRONX,NY,10457,"http://maps.google.com/maps?q=450 CROSS BRONX EXPRESSWAY (EAST TREMONT),+BRONX,+NY+10457&hl=en","450 CROSS BRONX EXPRESSWAY (EAST TREMONT), BRONX, NY 10457",DEA,NTBD_2018_OCT,-73.897705,40.844086
DEA NEW YORK DIVISION,NEW YORK CITY POLICE DEPARTMENT BRONX 50TH PRECINCT,3450 KINGSBRIDGE AVENUE (KINGSBRIDGE),BRONX,NY,10463,"http://maps.google.com/maps?q=3450 KINGSBRIDGE AVENUE (KINGSBRIDGE),+BRONX,+NY+10463&hl=en","3450 KINGSBRIDGE AVENUE (KINGSBRIDGE), BRONX, NY 10463",DEA,NTBD_2018_OCT,-73.90366999999999,40.882763
DEA NEW YORK DIVISION,NEW YORK CITY POLICE DEPARTMENT BROOKLYN 78 PRECINCT,65 SIXTH AVENUE (FLATBUSH),BROOKLYN,NY,11217,"http://maps.google.com/maps?q=65 SIXTH AVENUE (FLATBUSH),+BROOKLYN,+NY+11217&hl=en","65 SIXTH AVENUE (FLATBUSH), BROOKLYN, NY 11217",DEA,NTBD_2018_OCT,-73.97447,40.680794
DEA NEW YORK DIVISION,NEW YORK CITY POLICE DEPARTMENT BROOKLYN 84 PRECINCT,301 GOLD STREET,BROOKLYN,NY,11201,"http://maps.google.com/maps?q=301 GOLD STREET,+BROOKLYN,+NY+11201&hl=en","301 GOLD STREET, BROOKLYN, NY 11201",DEA,NTBD_2018_OCT,-73.98321,40.695827
DEA NEW YORK DIVISION,NEW YORK CITY POLICE DEPARTMENT BROOKLYN 90TH PRECINCT,211 UNION AVENUE (WILLIAMSBURG),BROOKLYN,NY,11206,"http://maps.google.com/maps?q=211 UNION AVENUE (WILLIAMSBURG),+BROOKLYN,+NY+11206&hl=en","211 UNION AVENUE (WILLIAMSBURG), BROOKLYN, NY 11206",DEA,NTBD_2018_OCT,-73.9505345,40.7063676
DEA NEW YORK DIVISION,NEW YORK CITY POLICE DEPARTMENT MANHATTAN 10 PRECINCT,230 WEST 20TH STREET CHELSEA,NEW YORK,NY,10011,"http://maps.google.com/maps?q=230 WEST 20TH STREET CHELSEA,+NEW YORK,+NY+10011&hl=en","230 WEST 20TH STREET CHELSEA, NEW YORK, NY 10011",DEA,NTBD_2018_OCT,-73.99797,40.742626
DEA NEW YORK DIVISION,NEW YORK CITY POLICE DEPARTMENT MANHATTAN 13 PRECINCT,230 EAST 21ST STREET STUYVESTANT TOWN,NEW YORK,NY,10010,"http://maps.google.com/maps?q=230 EAST 21ST STREET STUYVESTANT TOWN,+NEW YORK,+NY+10010&hl=en","230 EAST 21ST STREET STUYVESTANT TOWN, NEW YORK, NY 10010",DEA,NTBD_2018_OCT,-73.98333000000001,40.737225
DEA NEW YORK DIVISION,NEW YORK CITY POLICE DEPARTMENT MANHATTAN 20 PRECINCT,120 WEST 82ND STREET,NEW YORK,NY,10024,"http://maps.google.com/maps?q=120 WEST 82ND STREET,+NEW YORK,+NY+10024&hl=en","120 WEST 82ND STREET, NEW YORK, NY 10024",DEA,NTBD_2018_OCT,-73.97478000000001,40.7842
DEA NEW YORK DIVISION,NEW YORK CITY POLICE DEPARTMENT MANHATTAN 25 PRECINCT,120 EAST 119TH STREET,NEW YORK,NY,10035,"http://maps.google.com/maps?q=120 EAST 119TH STREET,+NEW YORK,+NY+10035&hl=en","120 EAST 119TH STREET, NEW YORK, NY 10035",DEA,NTBD_2018_OCT,-73.94111,40.80093
DEA NEW YORK DIVISION,NEW YORK CITY POLICE DEPARTMENT MANHATTAN 7 PRECINCT,19 1/2 PITT STREET LOWER EAST SIDE,NEW YORK,NY,10002,"http://maps.google.com/maps?q=19 1/2 PITT STREET LOWER EAST SIDE,+NEW YORK,+NY+10002&hl=en","19 1/2 PITT STREET LOWER EAST SIDE, NEW YORK, NY 10002",DEA,NTBD_2018_OCT,-73.98346,40.716423
DEA NEW YORK DIVISION,NEW YORK CITY POLICE DEPARTMENT QUEENS 100TH PRECINCT,92-24 ROCKAWAY BEACH BOULEVARD (ROCKAWAY),FAR ROCKAWAY,NY,11693,"http://maps.google.com/maps?q=92-24 ROCKAWAY BEACH BOULEVARD (ROCKAWAY),+FAR ROCKAWAY,+NY+11693&hl=en","92-24 ROCKAWAY BEACH BOULEVARD (ROCKAWAY), FAR ROCKAWAY, NY 11693",DEA,NTBD_2018_OCT,-73.81578,40.586327000000004
DEA NEW YORK DIVISION,NEW YORK CITY POLICE DEPARTMENT QUEENS 103RD PRECINCT,168-02 PO EDWARD BYRNE AVENUE (JAMAICA),JAMAICA,NY,11432,"http://maps.google.com/maps?q=168-02 PO EDWARD BYRNE AVENUE (JAMAICA),+JAMAICA,+NY+11432&hl=en","168-02 PO EDWARD BYRNE AVENUE (JAMAICA), JAMAICA, NY 11432",DEA,NTBD_2018_OCT,,
