name,address,state_x,postal_x,source_x,lat,lng,source_date_x,googleMapsUrl_x,county,googleMapsUrl_y,state_y,postal_y,source_y,source_date_y,_merge
"CVS PHARMACY, INC.","500 GRAFTON STREET, WORCESTER, MA 01604",MA,1604.0,DEA,42.25082800000001,-71.78043000000002,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C500%20GRAFTON%20STREET%2C+WORCESTER%2C+MA+01604,Worcester,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C500%20GRAFTON%20STREET%2C+WORCESTER%2C+MA+01604,MA,1604.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","400 PARK AVE., WORCESTER, MA 01610",MA,1610.0,DEA,42.256702,-71.82347,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C400%20PARK%20AVE.%2C+WORCESTER%2C+MA+01610,Worcester,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C400%20PARK%20AVE.%2C+WORCESTER%2C+MA+01610,MA,1610.0,DEA,Oct2018,both
"WALGREEN EASTERN CO., INC.","320 PARK AVE, WORCESTER, MA 01610",MA,1610.0,DEA,42.261173,-71.82139699999998,Dec2018,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C320%20PARK%20AVE%2C+WORCESTER%2C+MA+01610,Worcester,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C320%20PARK%20AVE%2C+WORCESTER%2C+MA+01610,MA,1610.0,DEA,Oct2018,both
"WALGREEN EASTERN CO., INC.","653 WORCESTER RD, FRAMINGHAM, MA 01701",MA,1701.0,DEA,42.29818,-71.42319499999998,Dec2018,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C653%20WORCESTER%20RD%2C+FRAMINGHAM%2C+MA+01701,Middlesex,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C653%20WORCESTER%20RD%2C+FRAMINGHAM%2C+MA+01701,MA,1701.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","1280 WORCESTER RD., FRAMINGHAM, MA 01702",MA,1702.0,DEA,42.297886,-71.44966,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C1280%20WORCESTER%20RD.%2C+FRAMINGHAM%2C+MA+01702,Middlesex,,,,,,left_only
"CVS PHARMACY, INC.","400 MASSACHUSETTS AVENUE, ACTON, MA 01720",MA,1720.0,DEA,42.474815,-71.453384,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C400%20MASSACHUSETTS%20AVENUE%2C+ACTON%2C+MA+01720,Middlesex,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C400%20MASSACHUSETTS%20AVENUE%2C+ACTON%2C+MA+01720,MA,1720.0,DEA,Oct2018,both
USAF-66TH MEDICAL SQUADRON/SGSM,"90 VANDENBERG DRIVE BLDG 1900, HANSCOM AFB, MA 01731",MA,1731.0,DEA,42.458399,-71.283826,Dec2018,http://maps.google.com/maps?q=USAFTH%20MEDICAL%20SQUADRONSGSM%2C90%20VANDENBERG%20DRIVE%20BLDG%201900%2C+HANSCOM%20AFB%2C+MA+01731,Middlesex,http://maps.google.com/maps?q=USAFTH%20MEDICAL%20SQUADRONSGSM%2C90%20VANDENBERG%20DRIVE%20BLDG%201900%2C+HANSCOM%20AFB%2C+MA+01731,MA,1731.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","264 EAST MAIN STREET, MARLBORO, MA 01752",MA,1752.0,DEA,42.351196,-71.534706,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C264%20EAST%20MAIN%20STREET%2C+MARLBORO%2C+MA+01752,Middlesex,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C264%20EAST%20MAIN%20STREET%2C+MARLBORO%2C+MA+01752,MA,1752.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","137 SOUTH MAIN STREET, MILFORD, MA 01757",MA,1757.0,DEA,42.14927,-71.50702,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C137%20SOUTH%20MAIN%20STREET%2C+MILFORD%2C+MA+01757,Worcester,,,,,,left_only
"CVS PHARMACY, INC.","137 WEST CENTRAL STREET, NATICK, MA 01760",MA,1760.0,DEA,42.282642,-71.37508000000003,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C137%20WEST%20CENTRAL%20STREET%2C+NATICK%2C+MA+01760,Middlesex,,,,,,left_only
LAHEY CLINIC HOSPITAL INC,"C/O PHARMACY DEPT, 41 MALL RD, BURLINGTON, MA 01805",MA,1805.0,DEA,42.4868368,-71.2063864,Dec2018,http://maps.google.com/maps?q=LAHEY%20CLINIC%20HOSPITAL%20INC%2CC/O%20PHARMACY%20DEPT%2C+BURLINGTON%2C+MA+01805,Middlesex,http://maps.google.com/maps?q=LAHEY%20CLINIC%20HOSPITAL%20INC%2CC/O%20PHARMACY%20DEPT%2C+BURLINGTON%2C+MA+01805,MA,1805.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","68 MAIN STREET, ANDOVER, MA 01810",MA,1810.0,DEA,42.655113,-71.13956,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C68%20MAIN%20STREET%2C+ANDOVER%2C+MA+01810,Essex,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C68%20MAIN%20STREET%2C+ANDOVER%2C+MA+01810,MA,1810.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","425 LOWELL AVE., HAVERHILL, MA 01832",MA,1832.0,DEA,42.772804,-71.11607,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C425%20LOWELL%20AVE.%2C+HAVERHILL%2C+MA+01832,Essex,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C425%20LOWELL%20AVE.%2C+HAVERHILL%2C+MA+01832,MA,1832.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","336 BRIDGE ST., LOWELL, MA 01850",MA,1850.0,DEA,42.649525,-71.30409,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C336%20BRIDGE%20ST.%2C+LOWELL%2C+MA+01850,Middlesex,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C336%20BRIDGE%20ST.%2C+LOWELL%2C+MA+01850,MA,1850.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","1815 MIDDLESEX STREET, LOWELL, MA 01851",MA,1851.0,DEA,42.634876,-71.35476,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C1815%20MIDDLESEX%20STREET%2C+LOWELL%2C+MA+01851,Middlesex,,,,,,left_only
"WALGREEN EASTERN CO., INC.","54 PLAIN ST, LOWELL, MA 01851",MA,1851.0,DEA,42.626425,-71.3222407,Dec2018,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C54%20PLAIN%20ST%2C+LOWELL%2C+MA+01851,Middlesex,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C54%20PLAIN%20ST%2C+LOWELL%2C+MA+01851,MA,1851.0,DEA,Oct2018,both
BEVERLY HOSPITAL,"C/O PHARMACY DEPT, 85 HERRICK ST, BEVERLY, MA 01915",MA,1915.0,DEA,42.5765964,-70.8919377,Dec2018,http://maps.google.com/maps?q=BEVERLY%20HOSPITAL%2CC/O%20PHARMACY%20DEPT%2C+BEVERLY%2C+MA+01915,Essex,,,,,,left_only
"CVS PHARMACY, INC.","19 DODGE ST., BEVERLY, MA 01915",MA,1915.0,DEA,42.573723,-70.89262,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C19%20DODGE%20ST.%2C+BEVERLY%2C+MA+01915,Essex,,,,,,left_only
"WALGREEN EASTERN CO., INC.","201 MAIN STREET, GLOUCESTER, MA 01930",MA,1930.0,DEA,42.613136,-70.660774,Dec2018,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C201%20MAIN%20STREET%2C+GLOUCESTER%2C+MA+01930,Essex,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C201%20MAIN%20STREET%2C+GLOUCESTER%2C+MA+01930,MA,1930.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","13-1/2 POND STREET, NEWBURYPORT, MA 01950",MA,1950.0,DEA,42.80738,-70.872955,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C13-1/2%20POND%20STREET%2C+NEWBURYPORT%2C+MA+01950,Essex,,,,,,left_only
"CVS PHARMACY, INC.","272 EAST CENTRAL STREET, ROUTE 140, FRANKLIN, MA 02038",MA,2038.0,DEA,42.08039,-71.38544499999998,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C272%20EAST%20CENTRAL%20STREET%2C%20ROUTE%20140%2C+FRANKLIN%2C+MA+02038,Norfolk,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C272%20EAST%20CENTRAL%20STREET%2C%20ROUTE%20140%2C+FRANKLIN%2C+MA+02038,MA,2038.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","261 CHAUNCY STREET, MANSFIELD, MA 02048",MA,2048.0,DEA,42.0311065,-71.23071170000001,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C261%20CHAUNCY%20STREET%2C+MANSFIELD%2C+MA+02048,Bristol,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C261%20CHAUNCY%20STREET%2C+MANSFIELD%2C+MA+02048,MA,2048.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","1880 OCEAN STREET, MARSHFIELD, MA 02050",MA,2050.0,DEA,42.09201,-70.704475,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C1880%20OCEAN%20STREET%2C+MARSHFIELD%2C+MA+02050,Plymouth,,,,,,left_only
"CVS PHARMACY, INC.","136 NAHATAN ST., NORWOOD, MA 02062",MA,2062.0,DEA,42.195,-71.20065,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C136%20NAHATAN%20ST.%2C+NORWOOD%2C+MA+02062,Norfolk,,,,,,left_only
"WALGREEN EASTERN CO., INC.","413 WASHINGTON STREET, STOUGHTON, MA 02072",MA,2072.0,DEA,42.134983,-71.1017,Dec2018,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C413%20WASHINGTON%20STREET%2C+STOUGHTON%2C+MA+02072,Norfolk,,,,,,left_only
GENERAL HOSPITAL CORPORATION,"OUTPATIENT PHARMACY, 55 FRUIT STREET, BOSTON, MA 02114",MA,2114.0,DEA,42.36311720000001,-71.0686446,Dec2018,http://maps.google.com/maps?q=GENERAL%20HOSPITAL%20CORPORATION%2COUTPATIENT%20PHARMACY%2C+BOSTON%2C+MA+02114,Suffolk,,,,,,left_only
MASS EYE & EAR INFIRMARY,"243 CHARLES STREET, BOSTON, MA 02114",MA,2114.0,DEA,42.36255,-71.070656,Dec2018,http://maps.google.com/maps?q=MASS%20EYE%20%20EAR%20INFIRMARY%2C243%20CHARLES%20STREET%2C+BOSTON%2C+MA+02114,Suffolk,,,,,,left_only
THE GENERAL HOSP CORPORATION,"DELIVER ONLY TO THE, DIRECTOR OF PHARMACY, BOSTON, MA 02114",MA,2114.0,DEA,42.36,-71.07,Dec2018,http://maps.google.com/maps?q=THE%20GENERAL%20HOSP%20CORPORATION%2CDELIVER%20ONLY%20TO%20THE%2C+BOSTON%2C+MA+02114,Suffolk,,,,,,left_only
BRIGHAM AND WOMEN'S HOSPITAL,"75 FRANCIS STREET, DEPT OF PHARMACY TWR L2-504, BOSTON, MA 02115",MA,2115.0,DEA,42.3360919,-71.10670470000002,Dec2018,http://maps.google.com/maps?q=BRIGHAM%20AND%20WOMENS%20HOSPITAL%2C75%20FRANCIS%20STREET%2C+BOSTON%2C+MA+02115,Suffolk,,,,,,left_only
BOSTON MEDICAL CENTER,"MENINO CAMPUS, 840 HARRISON AVE, BOSTON, MA 02118",MA,2118.0,DEA,42.33481210000001,-71.0733775,Dec2018,http://maps.google.com/maps?q=BOSTON%20MEDICAL%20CENTER%2CMENINO%20CAMPUS%2C+BOSTON%2C+MA+02118,Suffolk,,,,,,left_only
BOSTON MEDICAL CENTER PHARMACY AT SHAPIRO,"725 ALBANY STREET, PHARMACY, BOSTON, MA 02118",MA,2118.0,DEA,42.335518,-71.0707,Dec2018,http://maps.google.com/maps?q=BOSTON%20MEDICAL%20CENTER%20PHARMACY%20AT%20SHAPIRO%2C725%20ALBANY%20STREET%2C+BOSTON%2C+MA+02118,Suffolk,,,,,,left_only
"WALGREEN EASTERN CO., INC.","416 WARREN ST, ROXBURY, MA 02119",MA,2119.0,DEA,42.317284,-71.08232,Dec2018,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C416%20WARREN%20ST%2C+ROXBURY%2C+MA+02119,Suffolk,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C416%20WARREN%20ST%2C+ROXBURY%2C+MA+02119,MA,2119.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","715 MORRISSEY BOULEVARD, DORCHESTER, MA 02122",MA,2122.0,DEA,42.2973755,-71.04981219999998,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C715%20MORRISSEY%20BOULEVARD%2C+DORCHESTER%2C+MA+02122,Suffolk,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C715%20MORRISSEY%20BOULEVARD%2C+DORCHESTER%2C+MA+02122,MA,2122.0,DEA,Oct2018,both
"WALGREEN EASTERN CO., INC.","1 KELLY SQUARE, EAST BOSTON, MA 02128",MA,2128.0,DEA,42.3742253,-71.03884120000002,Dec2018,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C1%20KELLY%20SQUARE%2C+EAST%20BOSTON%2C+MA+02128,Suffolk,,,,,,left_only
THE ARBOUR HOSPITAL,"49 ROBINWOOD AVE, JAMAICA PLAIN, MA 02130",MA,2130.0,DEA,42.31577125,-71.11233044069999,April2018,http://maps.google.com/maps?q=THE%20ARBOUR%20HOSPITAL%2C49%20ROBINWOOD%20AVE%2C+JAMAICA%20PLAIN%2C+MA+02130,Suffolk,http://maps.google.com/maps?q=THE%20ARBOUR%20HOSPITAL%2C49%20ROBINWOOD%20AVE%2C+JAMAICA%20PLAIN%2C+MA+02130,MA,2130.0,DEA,Oct2018,both
HARVARD UNIVERSITY HEALTH SERVICES,"75 MT AUBURN ST, CAMBRIDGE, MA 02138",MA,2138.0,DEA,42.3747032,-71.1305838,April2018,http://maps.google.com/maps?q=HARVARD%20UNIVERSITY%20HEALTH%20SERVICES%2C75%20MT%20AUBURN%20ST%2C+CAMBRIDGE%2C+MA+02138,Middlesex,,,,,,left_only
"CVS PHARMACY, INC.","36 WHITE STREET, CAMBRIDGE, MA 02140",MA,2140.0,DEA,42.388866,-71.11775,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C36%20WHITE%20STREET%2C+CAMBRIDGE%2C+MA+02140,Middlesex,,,,,,left_only
"WALGREEN EASTERN CO., INC.","185 CENTRE STREET, MALDEN, MA 02148",MA,2148.0,DEA,42.425583,-71.07302,Dec2018,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C185%20CENTRE%20STREET%2C+MALDEN%2C+MA+02148,Middlesex,,,,,,left_only
REVERE HEALTHCARE CENTER,"CLINIC PHARMACY, 300 OCEAN AVENUE, REVERE, MA 02151",MA,2151.0,DEA,42.408074,-70.992325,Dec2018,http://maps.google.com/maps?q=REVERE%20HEALTHCARE%20CENTER%2CCLINIC%20PHARMACY%2C+REVERE%2C+MA+02151,Suffolk,http://maps.google.com/maps?q=REVERE%20HEALTHCARE%20CENTER%2CCLINIC%20PHARMACY%2C+REVERE%2C+MA+02151,MA,2151.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","590 FELLSWAY, MEDFORD, MA 02155",MA,2155.0,DEA,42.40671500000001,-71.08219,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C590%20FELLSWAY%2C+MEDFORD%2C+MA+02155,Middlesex,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C590%20FELLSWAY%2C+MEDFORD%2C+MA+02155,MA,2155.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","626 SOUTHERN ARTERY, RTE 3A, QUINCY, MA 02169",MA,2169.0,DEA,42.2526918,-70.9878369,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C626%20SOUTHERN%20ARTERY%2C%20RTE%203A%2C+QUINCY%2C+MA+02169,Norfolk,,,,,,left_only
"WALGREEN EASTERN CO., INC.","418 QUINCY AVENUE, QUINCY, MA 02169",MA,2169.0,DEA,42.23903189999999,-70.9831152,Dec2018,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C418%20QUINCY%20AVENUE%2C+QUINCY%2C+MA+02169,Norfolk,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C418%20QUINCY%20AVENUE%2C+QUINCY%2C+MA+02169,MA,2169.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","42 BEALE STREET, WOLLASTON, MA 02170",MA,2170.0,DEA,42.26665,-71.01776,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C42%20BEALE%20STREET%2C+WOLLASTON%2C+MA+02170,Norfolk,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C42%20BEALE%20STREET%2C+WOLLASTON%2C+MA+02170,MA,2170.0,DEA,Oct2018,both
"WALGREEN EASTERN CO., INC.","225 MAIN ST., STONEHAM, MA 02180",MA,2180.0,DEA,42.48683,-71.100105,Dec2018,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C225%20MAIN%20ST.%2C+STONEHAM%2C+MA+02180,Middlesex,,,,,,left_only
"CVS PHARMACY, INC.","474 WASHINGTON ST., WEYMOUTH, MA 02188",MA,2188.0,DEA,42.20813,-70.95748,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C474%20WASHINGTON%20ST.%2C+WEYMOUTH%2C+MA+02188,Norfolk,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C474%20WASHINGTON%20ST.%2C+WEYMOUTH%2C+MA+02188,MA,2188.0,DEA,Oct2018,both
SOUTH SHORE HOSPITAL,"KRISTOPHER YOUNG PHARMD, 55 FOGG ROAD, SOUTH WEYMOUTH, MA 02190",MA,2190.0,DEA,42.175691,-70.954074,Dec2018,http://maps.google.com/maps?q=SOUTH%20SHORE%20HOSPITAL%2CKRISTOPHER%20YOUNG%20PHARMD%2C+SOUTH%20WEYMOUTH%2C+MA+02190,Norfolk,,,,,,left_only
"CVS PHARMACY, INC.","1267 MAIN STREET, BROCKTON, MA 02301",MA,2301.0,DEA,42.0603,-71.014336,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C1267%20MAIN%20STREET%2C+BROCKTON%2C+MA+02301,Plymouth,,,,,,left_only
"BETH ISRAEL DEACONESS HOSPITAL-PLYMOUTH, INC.","275 SANDWICH STREET, PLYMOUTH, MA 02360",MA,2360.0,DEA,41.944397,-70.645004,Dec2018,http://maps.google.com/maps?q=BETH%20ISRAEL%20DEACONESS%20HOSPITALPLYMOUTH%20INC%2C275%20SANDWICH%20STREET%2C+PLYMOUTH%2C+MA+02360,Plymouth,,,,,,left_only
"CVS PHARMACY, INC.","8 PILGRIM HILL ROAD, PLYMOUTH, MA 02360",MA,2360.0,DEA,41.951021,-70.687659,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C8%20PILGRIM%20HILL%20ROAD%2C+PLYMOUTH%2C+MA+02360,Plymouth,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C8%20PILGRIM%20HILL%20ROAD%2C+PLYMOUTH%2C+MA+02360,MA,2360.0,DEA,Oct2018,both
"CVS PHARMACY, INC.","171 NORTH MAIN STREET, RANDOLPH, MA 02368",MA,2368.0,DEA,42.16536,-71.04311,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C171%20NORTH%20MAIN%20STREET%2C+RANDOLPH%2C+MA+02368,Norfolk,,,,,,left_only
"WALGREEN EASTERN CO., INC.","170 N MAIN STREET, RANDOLPH, MA 02368",MA,2368.0,DEA,42.165718,-71.04337,Dec2018,http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C170%20N%20MAIN%20STREET%2C+RANDOLPH%2C+MA+02368,Norfolk,,,,,,left_only
"CVS PHARMACY, INC.","12 HARVARD ST., WALTHAM, MA 02453",MA,2453.0,DEA,42.375847,-71.24380500000002,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C12%20HARVARD%20ST.%2C+WALTHAM%2C+MA+02453,Middlesex,,,,,,left_only
NEWTON-WELLESLEY HOSPITAL,"ATTN PHARMACY, 2014 WASHINGTON ST, NEWTON LOWER FALLS, MA 02462",MA,2462.0,DEA,42.3241175,-71.1031663,Dec2018,http://maps.google.com/maps?q=NEWTONWELLESLEY%20HOSPITAL%2CATTN%20PHARMACY%2C+NEWTON%20LOWER%20FALLS%2C+MA+02462,Suffolk,,,,,,left_only
BRIGHAM AND WOMEN'S HOSPITAL,"850 BOYLSTON STREET, DELIVER TO PHARMACY DEPT, 75 F, CHESTNUT HILL, MA 02467",MA,2467.0,DEA,42.3360919,-71.10670470000002,Dec2018,http://maps.google.com/maps?q=BRIGHAM%20AND%20WOMENS%20HOSPITAL%2C850%20BOYLSTON%20STREET%2C+CHESTNUT%20HILL%2C+MA+02467,Suffolk,,,,,,left_only
"CVS PHARMACY, INC.","27-43 MAIN STREET, WATERTOWN, MA 02472",MA,2472.0,DEA,42.366318,-71.18585,Dec2018,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C27-43%20MAIN%20STREET%2C+WATERTOWN%2C+MA+02472,Middlesex,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C27-43%20MAIN%20STREET%2C+WATERTOWN%2C+MA+02472,MA,2472.0,DEA,Oct2018,both
