Data FY,OPDIV,CFDA Num,CFDA Program Title,,State,Award Number,,Award Title,,Award Code,,Budget Year,Action Date,Recipient Name,,ZIP Code,Award Amount
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,AL,04PDALLIEA,,2004 LIHEAP,,51,,1,12/13/2017,UNITED CHEROKEE ANI-YUN-WIYA NATION,,35976,-$116
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,UT,04PEUTLIEA,,2004 LIHEAP,,51,,1,12/13/2017,UINTAH AND OURAY SERVICE UNIT,,84026,-$110
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,OR,04PIORLIEA,,2004 LIHEAP,,51,,1,12/13/2017,CONFEDERATED TRIBES OF THE GRAND COMMUNITY,,97347,-$103
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,MI,04PLMILIEA,,2004 LIHEAP,,51,,1,12/13/2017,LITTLE RIVER BAND OF OTTAWA INDIANS,,49660-2100,"-$1,228"
2018,ACF,93597,Grants to States for Access and Visitation Programs,,IA,0401IASAVP,,2004 SAVP,,6,,1,12/13/2017,IA ST DEPARTMENT OF SOCIAL SERVICES/HUMAN SERVICES,,50319,"-$30,770"
2018,ACF,93597,Grants to States for Access and Visitation Programs,,OH,0401OHSAVP,,2004 SAVP,,6,,1,12/13/2017,OH ST DEPARTMENT OF  JOB & FAMILY SERVICES,,43215,"-$208,995"
2018,ACF,93643,Children's Justice Grants to States,,CA,0501CACJA1,,2005 CJA,,8,,1,12/13/2017,CA ST OFFICE OF CRIMINAL JUSTICE PLANNING,,95814,"-$74,816"
2018,ACF,93643,Children's Justice Grants to States,,OH,0501OHCJA1,,2005 CJA,,8,,1,12/13/2017,OH ST DEPARTMENT OF  JOB & FAMILY SERVICES,,43215,"-$1,624"
2018,ACF,93643,Children's Justice Grants to States,,MD,0502MDCJA1,,2005 CJA,,8,,1,12/13/2017,MD ST OFFICE OF THE GOVERNOR,,21201,"-$4,057"
2018,ACF,93563,Child Support Enforcement (CSE) ,,MI,0404MIHMHR,,2005 HMHR,,14,,1,12/13/2017,"STATE OF  MICHIGAN, DEPARTMENT OF HUMAN SERVICES",,48909,-$217
2018,ACF,93563,Child Support Enforcement (CSE) ,,FL,0504FLHMHR,,2005 HMHR,,14,,1,12/13/2017,FL ST DEPARTMENT OF REVENUE,,32399,"-$52,202"
2018,ACF,93568,Low-Income Home Energy Assistance (LIHEAP) ,,OH,05B1OHLIEA,,2005 LIHEAP,,68,,1,12/13/2017,OH ST DEPARTMENT OF DEVELOPMENT,,43216,-$137
2018,ACF,93597,Grants to States for Access and Visitation Programs,,IA,0501IASAVP,,2005 SAVP,,6,,1,12/13/2017,IA ST DEPARTMENT OF SOCIAL SERVICES/HUMAN SERVICES,,50319,"-$11,090"
2018,ACF,93597,Grants to States for Access and Visitation Programs,,OH,0501OHSAVP,,2005 SAVP,,6,,1,12/13/2017,OH ST DEPARTMENT OF  JOB & FAMILY SERVICES,,43215,"-$137,290"
2018,ACF,93643,Children's Justice Grants to States,,CA,0601CACJA1,,2006 CJA,,8,,1,12/13/2017,Governor`s Office of Emergency Services,,95655,"-$176,910"
2018,ACF,93563,Child Support Enforcement (CSE) ,,OH,0604OHHMHR,,2006 HMHR,,17,,1,12/13/2017,OH ST DEPARTMENT OF  JOB & FAMILY SERVICES,,43215,"-$397,863"
2018,ACF,93563,Child Support Enforcement (CSE) ,,TX,0604TXHMHR,,2006 HMHR,,17,,1,12/13/2017,TX ST OFFICE OF THE ATTORNEY GENERAL,,78711,-$775
2018,ACF,93597,Grants to States for Access and Visitation Programs,,IA,0601IASAVP,,2006 SAVP,,8,,1,12/13/2017,IA ST DEPARTMENT OF SOCIAL SERVICES/HUMAN SERVICES,,50319,"-$10,146"
2018,ACF,93597,Grants to States for Access and Visitation Programs,,OH,0601OHSAVP,,2006 SAVP,,8,,1,12/13/2017,OH ST DEPARTMENT OF  JOB & FAMILY SERVICES,,43215,"-$171,631"
2018,ACF,93643,Children's Justice Grants to States,,NJ,0701NJCJA1,,2007 CJA,,8,,1,12/13/2017,NJ ST Dept of Children and Families,,08625,"-$18,257"
2018,ACF,93643,Children's Justice Grants to States,,VI,0701VISOSR-93643,,2007 CJA,,7,,1,11/9/2017,DEPARTMENT OF HUMAN SERVICES,,00801,-$255
2018,ACF,93597,Grants to States for Access and Visitation Programs,,IA,0701IASAVP,,2007 SAVP,,6,,1,12/13/2017,IA ST DEPARTMENT OF SOCIAL SERVICES/HUMAN SERVICES,,50319,"-$4,362"
2018,ACF,93643,Children's Justice Grants to States,,NH,0801NHCJA1,,2008 CJA,,10,,1,11/11/2017,"NH ATTORNEY GENERALS OFFICE, DEPT OF JUSTICE",,03301,-$444
2018,ACF,93643,Children's Justice Grants to States,,OH,0801OHCJA1,,2008 CJA,,11,,1,12/13/2017,OH ST DEPARTMENT OF  JOB & FAMILY SERVICES,,43215,-$598
2018,ACF,93597,Grants to States for Access and Visitation Programs,,NJ,0801NJSAVP,,2008 SAVP,,5,,1,12/13/2017,NEW JERSEY ADMINISTRATIVE OFFICE OF THE COURTS,,08625,-$689
2018,ACF,93597,Grants to States for Access and Visitation Programs,,NY,0801NYSAVP,,2008 SAVP,,5,,1,12/13/2017,NY ST OFFICE OF CHILDREN AND FAMILY SERVICES,,12144,"-$10,350"
2018,ACF,93597,Grants to States for Access and Visitation Programs,,OH,0801OHSAVP,,2008 SAVP,,5,,1,12/13/2017,OH ST DEPARTMENT OF  JOB & FAMILY SERVICES,,43215,"-$33,100"
2018,ACF,93597,Grants to States for Access and Visitation Programs,,UT,0801UTSAVP,,2008 SAVP,,5,,1,12/13/2017,UT ST DEPARTMENT OF HUMAN SERVICES,,84103-1550,"-$71,905"
2018,ACF,93597,Grants to States for Access and Visitation Programs,,CA,0810CASAVP,,2008 SAVP,,5,,1,12/13/2017,CA ST JUDICIAL COUNCIL,,94107,"-$36,727"
2018,ACF,93643,Children's Justice Grants to States,,MP,0901MPSOSR-93643,,2009 CJA,,8,,1,11/9/2017,CM DEPARTMENT OF COMMUNITY & CULTURAL AFFAIRS,,96950,"-$1,384"
2018,ACF,93643,Children's Justice Grants to States,,VI,0901VISOSR-93643,,2009 CJA,,9,,1,12/13/2017,DEPARTMENT OF HUMAN SERVICES,,00801,-$8
2018,ACF,93563,Child Support Enforcement (CSE) ,,MT,0904MT4004,,2009 OCSE,,55,,1,12/13/2017,"MT ST DEPT OF PHHS, MEDICAID & TITLE IV-A SERVICES",,59601,"-$13,565"
2018,ACF,93643,Children's Justice Grants to States,,MP,1001MPSOSR-93643,,2010 CJA,,4,,1,12/13/2017,CM DEPARTMENT OF COMMUNITY & CULTURAL AFFAIRS,,96950,"-$2,373"
2018,ACF,93563,Child Support Enforcement (CSE) ,,WA,1004WA4004,,2010 OCSE,,43,,1,12/13/2017,WA ST DEPARTMENT OF SOCIAL & HEALTH SERVICES,,98504,"-$7,128"
2018,ACF,93092,Affordable Care Act (ACA) Personal Responsibility Education Program,,CO,1001COPREP,,2010 PREP,,25,,1,12/13/2017,CO DEPARTMENT OF HUMAN SERVICES,,80203,"-$4,000"
2018,ACF,93643,Children's Justice Grants to States,,AS,1101ASSOSR-93643,,2011 CJA,,8,,1,12/13/2017,AS DEPARTMENT OF HUMAN RESOURCES,,96799,-$333
2018,ACF,93092,Affordable Care Act (ACA) Personal Responsibility Education Program,,FM,1101FMPREP,,2011 PREP,,10,,1,11/11/2017,"FEDERATED STATES OF MICRONESIA, OFFICE OF HEALTH SVCS",,96941,-$1
2018,ACF,93092,Affordable Care Act (ACA) Personal Responsibility Education Program,,MD,1101MDPREP,,2011 PREP,,11,,1,12/13/2017,MARYLAND STATE DEPARTMENT OF HEALTH & MENTAL HYGIENE,,21228,"-$3,678"
2018,ACF,93092,Affordable Care Act (ACA) Personal Responsibility Education Program,,MI,1101MIPREP,,2011 PREP,,11,,1,12/13/2017,MICHIGAN DEPARTMENT OF COMMUNITY HEALTH,,48909,-$288
2018,ACF,93092,Affordable Care Act (ACA) Personal Responsibility Education Program,,MN,1101MNPREP,,2011 PREP,,11,,1,12/13/2017,MN ST DEPARTMENT OF HEALTH,,55164,"-$11,747"
2018,ACF,93092,Affordable Care Act (ACA) Personal Responsibility Education Program,,NV,1101NVPREP,,2011 PREP,,11,,1,12/13/2017,NV ST DEPT OF HEALTH AND HUMAN SERVICES,,89706,-$153
2018,ACF,93092,Affordable Care Act (ACA) Personal Responsibility Education Program,,OK,1101OKPREP,,2011 PREP,,11,,1,12/13/2017,OK ST DEPARTMENT OF HEALTH,,73152,"-$5,229"
2018,ACF,93643,Children's Justice Grants to States,,CA,1201CACJA1,,2012 CJA,,5,,1,12/13/2017,Governor`s Office of Emergency Services,,95655,"-$2,907"
2018,ACF,93643,Children's Justice Grants to States,,IA,1201IACJA1,,2012 CJA,,5,,1,12/13/2017,IA ST DEPARTMENT OF SOCIAL SERVICES/HUMAN SERVICES,,50319,"-$34,522"
2018,ACF,93643,Children's Justice Grants to States,,OH,1201OHCJA1,,2012 CJA,,5,,1,12/13/2017,OH ST DEPARTMENT OF  JOB & FAMILY SERVICES,,43215,"-$56,783"
2018,ACF,93092,Affordable Care Act (ACA) Personal Responsibility Education Program,,MD,1201MDPREP,,2012 PREP,,11,,1,12/13/2017,MARYLAND STATE DEPARTMENT OF HEALTH & MENTAL HYGIENE,,21228,"-$14,764"
2018,ACF,93092,Affordable Care Act (ACA) Personal Responsibility Education Program,,ME,1201MEPREP,,2012 PREP,,11,,1,12/13/2017,Maine St. Department of Health and Human Services,,04333,-$567
2018,ACF,93643,Children's Justice Grants to States,,GA,1301GACJA1,,2013 CJA,,2,,1,12/13/2017,GA ST DEPARTMENT OF HUMAN RESOURCES,,30303,"-$23,825"
2018,ACF,93643,Children's Justice Grants to States,,IA,1301IACJA1,,2013 CJA,,2,,1,12/13/2017,IA ST DEPARTMENT OF SOCIAL SERVICES/HUMAN SERVICES,,50319,"-$40,797"
2018,ACF,93643,Children's Justice Grants to States,,IL,1301ILCJA1,,2013 CJA,,2,,1,12/13/2017,IL ST DEPARTMENT OF CHILDREN & FAMILY SERVICES,,62701-1411,-$5
2018,ACF,93643,Children's Justice Grants to States,,KY,1301KYCJA1,,2013 CJA,,2,,1,12/13/2017,KY ST DEPARTMENT OF HUMAN RESOURCES,,40621,"-$37,244"
2018,ACF,93643,Children's Justice Grants to States,,LA,1301LACJA1,,2013 CJA,,2,,1,12/13/2017,DEPT OF CHILDREN AND FAMILY SERVICES,,70821,"-$26,974"
2018,ACF,93643,Children's Justice Grants to States,,MA,1301MACJA1,,2013 CJA,,2,,1,12/13/2017,MA ST DEPARTMENT OF CHILDREN AND FAMILIES,,02210,-$409
2018,ACF,93643,Children's Justice Grants to States,,ME,1301MECJA1,,2013 CJA,,2,,1,12/13/2017,ME ST DEPARTMENT OF HUMAN RESOURCES,,04333,"-$9,711"
2018,ACF,93643,Children's Justice Grants to States,,MS,1301MSCJA1,,2013 CJA,,2,,1,12/13/2017,MS ST DEPARTMENT OF PUBLIC WELFARE,,39205,"-$14,676"
2018,ACF,93643,Children's Justice Grants to States,,NE,1301NECJA1,,2013 CJA,,2,,1,12/13/2017,NE ST DEPARTMENT OF SOCIAL SERVICES,,68509,"-$4,818"
2018,ACF,93643,Children's Justice Grants to States,,NV,1301NVCJA1,,2013 CJA,,2,,1,12/13/2017,"NV ST DEPT OF HUMAN RESOURCES, DIV OF CHILD/FAMILY",,89502,"-$12,517"
2018,ACF,93643,Children's Justice Grants to States,,OH,1301OHCJA1,,2013 CJA,,2,,1,12/13/2017,OH ST DEPARTMENT OF  JOB & FAMILY SERVICES,,43215,"-$25,538"
2018,ACF,93643,Children's Justice Grants to States,,SC,1301SCCJA1,,2013 CJA,,2,,1,12/13/2017,SC ST DEPARTMENT OF SOCIAL SERVICES,,29202,"-$13,222"
2018,ACF,93643,Children's Justice Grants to States,,SD,1301SDCJA1,,2013 CJA,,2,,1,12/13/2017,"SD ST DEPARTMENT OF SOCIAL SVCS, DIV OF THE SECRETARY",,57501,"-$8,811"
2018,ACF,93643,Children's Justice Grants to States,,VA,1301VACJA1,,2013 CJA,,2,,1,12/13/2017,VA ST DEPARTMENT OF CRIMINAL JUSTICE SERVICES,,23219,-$15
2018,ACF,93643,Children's Justice Grants to States,,PR,1302PRCJA1,,2013 CJA,,2,,1,12/13/2017,PR ADMIN FOR FAMILIES & CHILDREN,,00902,"-$173,835"
2018,ACF,93671,Family Violence Prevention and Services/Grants for Battered Women's Shelters:  Grants to States and Indian Tribes,,GA,1301GAFVPS,,2013 FVPS,,9,,1,12/13/2017,GA Governor`s Office for Children and Families,,30032,"-$1,165"
2018,ACF,93669,Child Abuse and Neglect State Grants,,MA,1301MACA01,,2013 NCCAN,,6,,1,12/13/2017,MA ST DEPARTMENT OF CHILDREN AND FAMILIES,,02210,-$2
2018,ACF,93558,Temporary Assistance for Needy Families (TANF) ,,CA,1701CATANF,,2017 TANF,,07,,1,10/24/2017,CA ST DEPARTMENT OF SOCIAL SERVICES,,95814,"-$1,732,049"
2018,ACF,93558,Temporary Assistance for Needy Families (TANF) ,,MT,1701MTTANF,,2017 TANF,,04,,1,10/24/2017,"MT ST DEPT OF PHHS, MEDICAID & TITLE IV-A SERVICES",,59601,"-$297,612"
2018,ACF,93600,Head Start,,FL,04CH4687,,2017-2018 Head Start Refunding Application,,00,,5,11/28/2017,GADSDEN COUNTY SCHOOL DISTRICT,,32351,"$1,063,088"
2018,ACF,93600,Head Start,,CA,09HP0017,,2017/2018 Early Head Start  Child Care Partnership COLA Application,,02,,3,12/6/2017,METROPOLITAN AREA ADVISORY COMMITTEE,,91911,$0
2018,ACF,93569,Community Services Block Grant (CSBG) ,,GU,1801GUSOSR-93569,,2018,,12,,1,12/13/2017,GU DEPARTMENT OF PUBLIC HEALTH & SOCIAL SERVICE,,96910,"$171,730"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,MP,1801MPSOSR-93569,,2018,,12,,1,12/13/2017,CM DEPARTMENT OF COMMUNITY & CULTURAL AFFAIRS,,96950,"$107,581"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,VI,1801VISOSR-93569,,2018,,12,,1,12/13/2017,DEPARTMENT OF HUMAN SERVICES,,00801,"$237,217"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,AK,18B1AKCOSR,,2018,,3,,1,10/17/2017,AK ST DEPT OF COMMUNITY & REGIONAL AFFAIRS,,99811-2100,"$496,087"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,AK,18B1AKCOSR,,2018,,4,,1,10/31/2017,AK ST DEPT OF COMMUNITY & REGIONAL AFFAIRS,,99811-2100,-$398
2018,ACF,93569,Community Services Block Grant (CSBG) ,,AL,18B1ALCOSR,,2018,,6,,1,11/13/2017,AL ST DEPARTMENT OF ECONOMIC & COMMUNITY AFFAIRS,,36105,$145
2018,ACF,93569,Community Services Block Grant (CSBG) ,,AL,18B1ALCOSR,,2018,,1,,1,10/17/2017,AL ST DEPARTMENT OF ECONOMIC & COMMUNITY AFFAIRS,,36105,"$2,455,070"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,AR,18B1ARCOSR,,2018,,3,,1,10/17/2017,AR ST DEPARTMENT OF HUMAN SERVICES,,72201,"$1,821,729"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,AR,18B1ARCOSR,,2018,,4,,1,10/31/2017,AR ST DEPARTMENT OF HUMAN SERVICES,,72201,$108
2018,ACF,93569,Community Services Block Grant (CSBG) ,,AS,18B1ASCOSR-93569,,2018,,12,,1,12/13/2017,AS DEPARTMENT OF HUMAN RESOURCES,,96799,"$181,452"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,AZ,18B1AZCOSR,,2018,,3,,1,10/17/2017,AZ ST DEPT OF ECONOMIC SECURITY,,85007,"$1,093,896"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,AZ,18B1AZCOSR,,2018,,4,,1,10/31/2017,AZ ST DEPT OF ECONOMIC SECURITY,,85007,$65
2018,ACF,93569,Community Services Block Grant (CSBG) ,,CA,18B1CACOSR,,2018,,3,,1,10/17/2017,DEPT. OF COMMUNITY SERVICES AND DEVELOPMENT,,95814,"$11,945,338"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,CA,18B1CACOSR,,2018,,4,,1,10/31/2017,DEPT. OF COMMUNITY SERVICES AND DEVELOPMENT,,95814,$706
2018,ACF,93569,Community Services Block Grant (CSBG) ,,CO,18B1COCOSR,,2018,,3,,1,10/17/2017,CO ST DEPARTMENT OF LOCAL AFFAIRS,,80203,"$1,163,668"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,CO,18B1COCOSR,,2018,,4,,1,10/31/2017,CO ST DEPARTMENT OF LOCAL AFFAIRS,,80203,$69
2018,ACF,93569,Community Services Block Grant (CSBG) ,,CT,18B1CTCOSR,,2018,,1,,1,10/17/2017,"CT ST DEPT OF SOCIAL SERVICES, OFF OF FINANCIAL MGMT",,06106,"$1,613,428"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,CT,18B1CTCOSR,,2018,,6,,1,11/13/2017,"CT ST DEPT OF SOCIAL SERVICES, OFF OF FINANCIAL MGMT",,06106,$96
2018,ACF,93569,Community Services Block Grant (CSBG) ,,DC,18B1DCCOSR,,2018,,6,,1,11/13/2017,DC DEPARTMENT OF HUMAN SERVICES,,20013,$130
2018,ACF,93569,Community Services Block Grant (CSBG) ,,DC,18B1DCCOSR,,2018,,1,,1,10/17/2017,DC DEPARTMENT OF HUMAN SERVICES,,20013,"$2,201,150"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,DE,18B1DECOSR,,2018,,3,,1,10/17/2017,DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,,19720,"$698,541"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,DE,18B1DECOSR,,2018,,4,,1,10/31/2017,DE ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,,19720,-$561
2018,ACF,93569,Community Services Block Grant (CSBG) ,,GA,18B1GACOSR,,2018,,6,,1,11/13/2017,GA ST DEPARTMENT OF HUMAN RESOURCES,,30303,"$3,604,069"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,IA,18B1IACOSR,,2018,,4,,1,10/31/2017,"IA ST DEPT OF HUMAN RIGHTS, DIV OF CMTY ACTION AGENCIES",,50319,$86
2018,ACF,93569,Community Services Block Grant (CSBG) ,,IA,18B1IACOSR,,2018,,3,,1,10/17/2017,"IA ST DEPT OF HUMAN RIGHTS, DIV OF CMTY ACTION AGENCIES",,50319,"$1,449,974"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,ID,18B1IDCOSR,,2018,,3,,1,10/17/2017,ID ST DEPARTMENT OF HEALTH & WELFARE,,83720-0001,"$690,978"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,ID,18B1IDCOSR,,2018,,4,,1,10/31/2017,ID ST DEPARTMENT OF HEALTH & WELFARE,,83720-0001,-$555
2018,ACF,93569,Community Services Block Grant (CSBG) ,,IL,18B1ILCOSR,,2018,,3,,1,10/17/2017,IL ST DEPARTMENT OF COMMERCE & COMMUNITY AFFAIRS,,62701,"$6,328,785"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,IL,18B1ILCOSR,,2018,,4,,1,10/31/2017,IL ST DEPARTMENT OF COMMERCE & COMMUNITY AFFAIRS,,62701,$374
2018,ACF,93569,Community Services Block Grant (CSBG) ,,IN,18B1INCOSR,,2018,,3,,1,10/17/2017,IN ST Housing and Community Development Authority,,46204,"$1,950,758"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,IN,18B1INCOSR,,2018,,4,,1,10/31/2017,IN ST Housing and Community Development Authority,,46204,$115
2018,ACF,93569,Community Services Block Grant (CSBG) ,,KY,18B1KYCOSR,,2018,,6,,1,11/13/2017,KY ST DEPARTMENT OF HUMAN RESOURCES,,40621,"$2,258,771"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,LA,18B1LACOSR,,2018,,10,,1,12/12/2017,LA ST DEPARTMENT OF LABOR,,70804,"$3,101,446"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,MA,18B1MACOSR,,2018,,4,,1,10/31/2017,MA ST EXECUTIVE OFFICE OF COMMUNITIES & DEVELOPMENT,,02203,$196
2018,ACF,93569,Community Services Block Grant (CSBG) ,,MA,18B1MACOSR,,2018,,3,,1,10/17/2017,MA ST EXECUTIVE OFFICE OF COMMUNITIES & DEVELOPMENT,,02203,"$3,319,790"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,MD,18B1MDCOSR,,2018,,1,,1,10/17/2017,MD ST DEPARTMENT OF HOUSING & COMMUNITY DEVELOPMENT,,21032,"$1,838,337"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,MD,18B1MDCOSR,,2018,,6,,1,11/13/2017,MD ST DEPARTMENT OF HOUSING & COMMUNITY DEVELOPMENT,,21032,$109
2018,ACF,93569,Community Services Block Grant (CSBG) ,,ME,18B1MECOSR,,2018,,8,,1,11/15/2017,"MAINE DEPT OF HUMAN SERVICES, DIV OF FINANCIAL SERVICES",,04333,"$702,564"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,MI,18B1MICOSR,,2018,,4,,1,10/31/2017,MI ST DEPARTMENT OF LABOR,,48909,$291
2018,ACF,93569,Community Services Block Grant (CSBG) ,,MI,18B1MICOSR,,2018,,3,,1,10/17/2017,MI ST DEPARTMENT OF LABOR,,48909,"$4,918,319"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,MN,18B1MNCOSR,,2018,,4,,1,10/31/2017,MN ST DEPARTMENT OF HUMAN SERVICES,,55164,$95
2018,ACF,93569,Community Services Block Grant (CSBG) ,,MN,18B1MNCOSR,,2018,,3,,1,10/17/2017,MN ST DEPARTMENT OF HUMAN SERVICES,,55164,"$1,612,218"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,MO,18B1MOCOSR,,2018,,13,,1,12/14/2017,MO ST DIVISION OF MANPOWER PLANNING,,65102,"$3,707,553"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,MS,18B1MSCOSR,,2018,,4,,1,10/31/2017,MS ST GOVERNOR'S OFFICE OF COMMUNITY SERVICES,,39201,$126
2018,ACF,93569,Community Services Block Grant (CSBG) ,,MS,18B1MSCOSR,,2018,,3,,1,10/17/2017,MS ST GOVERNOR'S OFFICE OF COMMUNITY SERVICES,,39201,"$2,130,887"
2018,ACF,93569,Community Services Block Grant (CSBG) ,,MT,18B1MTCOSR,,2018,,3,,1,10/17/2017,"MT ST DEPT OF PHHS, MEDICAID & TITLE IV-A SERVICES",,59601,"$641,941"
