,0,1,2,3,4,5
83,,,,287 BROADWAY,NEWPORT,RI 02840
84,,,BLDG 23,43 SMITH ROAD,NEWPORT,RI 02841
85,,,,99 EAST MAIN ROAD,MIDDLETOWN,RI 02842
86,,,,100 BROAD ST,PAWTUCKET,RI 02860
87,,,,835 NEWPORT AVE.,PAWTUCKET,RI 02861
88,,,,11 MAIN ST.,WAKEFIELD,RI 02879
89,,,,767 WARWICK AVENUE,WARWICK,RI 02888
90,,,2400 WARWICK AVE,MEADOWBROOK PLAZA,WARWICK,RI 02889
91,,,224 POST RD,UNIT 7,WESTERLY,RI 02891
92,,,,150 GRANITE STREET,WESTERLY,RI 02891
93,,,,120 EDDIE DOWLING HWY.,NORTH SMITHFIELD,RI 02896
94,,,,1919 MINERAL SPRING AVENUE,NORTH PROVIDENCE,RI 02904
95,,,,533 ELMWOOD AVE.,PROVIDENCE,RI 02907
96,,,,681 RESERVOIR AVENUE,CRANSTON,RI 02910
97,,,,640 WARREN AVENUE,EAST PROVIDENCE,RI 02914
98,,,,1400 HARTFORD AVENUE,JOHNSTON,RI 02919
99,,,,242 MAIN STREET,NASHUA,NH 03060
100,,,ATTN PHARMACY,172 KINSLEY ST,NASHUA,NH 03060
101,,,,283 MAIN ST,NASHUA,NH 03060
102,,,8 PROSPECT ST,BOX 2014,NASHUA,NH 03061
103,,,,100 MCGREGOR STREET,MANCHESTER,NH 03102
104,,,,80 HIGHLAND STREET,LACONIA,NH 03246
105,,,PO BOX 10,82 NEWPORT RD,NEW LONDON,NH 03257
106,,,,268 WEST ST.,KEENE,NH 03431
107,,,,440 WEST ST,KEENE,NH 03431
108,,,,5 ROPE FERRY RD.,HANOVER,NH 03755
109,,,,ONE MEDICAL CENTER DRIVE,LEBANON,NH 03756
110,,,,12 CENTERRA PARKWAY,LEBANON,NH 03766
111,,,,3 AIRPORT RD,WEST LEBANON,NH 03784
112,,,,789 CENTRAL AVE,DOVER,NH 03820
113,,,,104 S MAIN STREET,ROCHESTER,NH 03867
114,,,3 BUSINESS PARKWAY,SUITE 2,BRUNSWICK,ME 04011
115,,,,53 PARIS ST,NORWAY,ME 04268
116,,,,111 FRANKLIN HEALTH COMMONS,FARMINGTON,ME 04938
117,,,46 FAIRVIEW AVENUE,PO BOX 468,SKOWHEGAN,ME 04976
118,,,,44 SOUTH MAIN ST,RANDOLPH,VT 05060
119,,,,78 ATKINSON ST,BELLOWS FALLS,VT 05101
120,,,,57 POND ST,LUDLOW,VT 05149
121,,,,262 RIVER STREET,SPRINGFIELD,VT 05156
122,,,,100 HOSPITAL DRIVE,BENNINGTON,VT 05201
123,,,,34 WAYS LANE,MANCHESTER CENTER,VT 05255
124,,,PHARMACY DEPT.,17 BELMONT AVE.,BRATTLEBORO,VT 05301
125,,,,20 ELLIOT ST,BRATTLEBORO,VT 05301
126,,,,242 PEARL ST,BURLINGTON,VT 05401
127,,,,1 SOUTH PROSPECT STREET,BURLINGTON,VT 05401
128,,,,111 COLCHESTER AVENUE,BURLINGTON,VT 05401
129,,,,514 FARRELL ST.,BURLINGTON,VT 05401
130,,,,1219 NORTH AVENUE,BURLINGTON,VT 05408
131,,,61 PINE STREET,SUITE 401,BRISTOL,VT 05443
132,,,,792 COLLEGE PARKWAY SUITE 103,COLCHESTER,VT 05446
133,,,44 MAIN STREET,SUITE 201,RICHFORD,VT 05476
134,,,,133 FAIRFIELD STREET,ST ALBANS,VT 05478
135,,,,330-334 ROUTE 2,SOUTH HERO,VT 05486
136,,,,187 MAIN STREET,VERGENNES,VT 05491
137,,,DBA RUTLAND PHARMACY,75 ALLEN STREET,RUTLAND,VT 05701
138,,,,160 ALLEN ST ATTN PHARM DEPT,RUTLAND,VT 05701
139,,,,252 STRATTON ROAD,RUTLAND,VT 05701
140,,,99 MAPLE ST,STE 19,MIDDLEBURY,VT 05753
141,,,C/O DIRECTOR OF PHARMACY,115 PORTER DRIVE,MIDDLEBURY,VT 05753
142,,,,415 RAILROAD ST,ST JOHNSBURY,VT 05819
143,,,,HOSPITAL DRIVE,ST JOHNSBURY,VT 05819
144,,,,189 PROUTY DRIVE,NEWPORT,VT 05855
145,,,PHARMACY,21 GRAND STREET,HARTFORD,CT 06106
146,,,LONDON BLDG 449,1 WAHOO DRIVE,GROTON,CT 06349
147,,,560 PASSIAC AVE,WEST CALDWELL S/C,WEST CALDWELL,NJ 07006
148,,,,353 CROOKS AVENUE,CLIFTON,NJ 07011
149,,,,508 DR MARTIN LUTHER KING JR,EAST ORANGE,NJ 07018
150,,,59 WASHINGTON ST,COURT STREET PLAZA,HOBOKEN,NJ 07030
151,,,,581 KEARNY AVE,KEARNY,NJ 07032
152,,,,22 EAST ST GEORGES AVENUE,LINDEN,NJ 07036
153,,,,9015 BERGENLINE AVENUE - 90TH STREET,NORTH BERGEN,NJ 07047
154,,,,200 BALDWIN RD. SUITE 200,PARSIPPANY,NJ 07054
155,,,,890 SAINT GEORGE'S AVENUE,RAHWAY,NJ 07065
156,,,,637 HOBOKEN ROAD,CARLSTADT,NJ 07072
157,,,,1708 PARK AVENUE,SOUTH PLAINFIELD,NJ 07080
158,,,,2287 MORRIS AVENUE,UNION,NJ 07083
159,,,,2148 MORRIS AVE,UNION,NJ 07083
160,,,,243 E BROAD STREET,WESTFIELD,NJ 07090
161,,,1115 SOUTH AVENUE W,,WESTFIELD,NJ 07090
162,,,,23 COURT STREET,NEWARK,NJ 07102
163,,,,338 WASHINGTON AVE,BELLEVILLE,NJ 07109
164,,,,107 EAST FIRST AVENUE,ROSELLE,NJ 07203
165,,,,600 NEWARK AVE,ELIZABETH,NJ 07208
166,,,,110 NEWARK AVENUE,JERSEY CITY,NJ 07302
167,,,,2395 KENNEDY BLVD.,JERSEY CITY,NJ 07304
168,,,,1561 JOHN F KENNEDY BLVD,JERSEY CITY,NJ 07305
169,,,,100 BROADWAY,ELMWOOD PARK,NJ 07407
170,,,,24-12 FAIR LAWN AVENUE,FAIR LAWN,NJ 07410
171,,,,72 CRESCENT AVE,WALDWICK,NJ 07463
172,,,,2440 HAMBURG TURNPIKE,WAYNE,NJ 07470
173,,,,678 WYCKOFF AVE,WYCKOFF,NJ 07481
174,,,,303 FRANKLIN AVENUE,WYCKOFF,NJ 07481
175,,,,639 E 18TH ST,PATERSON,NJ 07501
176,,,225 W. RTE 46,SUITE 4,TOTOWA,NJ 07512
177,,,,25 E SALEM STREET,HACKENSACK,NJ 07601
178,,,2 BAYSHORE PLAZA,HWY 36,ATLANTIC HIGHLANDS,NJ 07716
179,,,,877 MAIN ST,BELFORD,NJ 07718
180,,,138 VILLAGE CENTER DR,RAINTREE S/C,FREEHOLD,NJ 07728
181,,,,425 W MAIN ST,FREEHOLD,NJ 07728
182,,,,1905 CORLIES AVE,NEPTUNE,NJ 07753
183,,,,216 STATE ROUTE 36,WEST LONG BRANCH,NJ 07764
184,,,,66 MAIN ST,MADISON,NJ 07940
185,,,,100 SPRINGDALE RD,CHERRY HILL,NJ 08003
186,,,,1865 ROUTE 70 EAST,CHERRY HILL,NJ 08003
187,,,,600 KINGS HWY N,CHERRY HILL,NJ 08034
188,,,,3110 ROUTE 38,MOUNT LAUREL,NJ 08054
189,,,,40 TWOSOME DRIVE UNIT 1,MOORESTOWN,NJ 08057
190,,,,24 S. BLACK HORSE PIKE,MOUNT EPHRAIM,NJ 08059
191,,,,307 EGG HARBOR RD,SEWELL,NJ 08080
192,,,,25 EAST RED BANK AVENUE,WOODBURY,NJ 08096
193,,,,4601 WESTFIELD AVENUE,PENNSAUKEN,NJ 08110
194,,,236 E JIMMIE LEEDS ROAD,SUITE C,GALLOWAY,NJ 08205
195,,,,6815 TILTON ROAD,EGG HARBOR TWP,NJ 08234
196,,,,2247 OCEAN HEIGHTS AVE.,EGG HARBOR TOWNSHIP,NJ 08234
197,,,,1111 NORTH HIGH STREET,MILLVILLE,NJ 08332
198,,,,3458 NEELY ROAD,MC GUIRE AFB,NJ 08641
199,,,,1099 RTE. 33 HAMILTON SQUARE,HAMILTON,NJ 08690
200,,,,1096 ROUTE 33,HAMILTON,NJ 08690
201,,,,2479 CHURCH ROAD,TOMS RIVER,NJ 08753
202,,,,51 BANANIER DR.,TOMS RIVER,NJ 08755
203,,,,1311 ROUTE 37 W,TOMS RIVER,NJ 08755
204,,,,2353 LAKEWOOD RD,TOMS RIVER,NJ 08755
205,,,,421 RYDERS LANE,EAST BRUNSWICK,NJ 08816
206,,,,1949 OAK TREE ROAD,EDISON,NJ 08820
207,,,,520 CONVERY BLVD.,PERTH AMBOY,NJ 08861
208,,,,129 SOMERSET ST,SOMERVILLE,NJ 08876
209,,,,2000 RT 27 NORTH,NORTH BRUNSWICK,NJ 08902
210,,,,253 FIRST AVENUE,NEW YORK,NY 10003
211,,,,1 UNION SQ SOUTH,NEW YORK,NY 10003
212,,,,40 WALL STREET,NEW YORK,NY 10005
213,,,,298 FIRST AVE,NEW YORK,NY 10009
214,,,,71 WEST 23RD STREET,NEW YORK,NY 10010
215,,,,385 A/B SECOND AVE,NEW YORK,NY 10010
216,,,,155 EAST 34TH STREET,NEW YORK,NY 10016
217,,,,150 EAST 42ND ST.,NEW YORK,NY 10017
218,,,,241 WEST 57TH STREET,NEW YORK,NY 10019
219,,,,51 WEST 51ST STREET,NEW YORK,NY 10019
220,,,,1396 SECOND AVENUE,NEW YORK,NY 10021
221,,,,630 LEXINGTON AVENUE,NEW YORK,NY 10022
222,,,,949 THIRD AVENUE,NEW YORK,NY 10022
223,,,,540 AMSTERDAM AVENUE,NEW YORK,NY 10024
224,,,,2522 BROADWAY,NEW YORK,NY 10025
225,,,,775 COLUMBUS AVENUE,NEW YORK,NY 10025
226,,,,1994 THIRD AVE,NEW YORK,NY 10029
227,,,,4180 BROADWAY,NEW YORK,NY 10033
228,,,,661 8TH AVENUE,NEW YORK,NY 10036
229,,,,687 9TH AVE,NEW YORK,NY 10036
230,,,,471 LENOX AVENUE,NEW YORK,NY 10037
231,,,,1498 YORK AVENUE,NEW YORK,NY 10075
232,,,,1231 MADISON AVENUE,NEW YORK,NY 10128
233,,,,99 STUYVESANT PL,STATEN ISLAND,NY 10301
234,,,,395 FOREST AVENUE,STATEN ISLAND,NY 10301
235,,,,1560 RICHMOND RD,STATEN ISLAND,NY 10304
236,,,,1361 HYLAN BLVD.,STATEN ISLAND,NY 10305
237,,,,1817 HYLAN BOULEVARD,STATEN ISLAND,NY 10305
238,,,,640 ARTHUR KILL ROAD,STATEN ISLAND,NY 10308
239,,,,6400 AMBOY ROAD,STATEN ISLAND,NY 10309
240,,,,812 FOREST AVE.,STATEN ISLAND,NY 10310
241,,,,3833 RICHMOND AVE,STATEN ISLAND,NY 10312
242,,,,1933 VICTORY BLVD.,STATEN ISLAND,NY 10314
243,,,,1551 RICHMOND AVE,STATEN ISLAND,NY 10314
244,,,,52 WEST BURNSIDE AVE,BRONX,NY 10453
245,,,,2343 ARTHUR AVENUE,BRONX,NY 10458
246,,,,705 EAST 187TH STREET,BRONX,NY 10458
247,,,,1916 WILLIAMSBRIDGE ROAD,BRONX,NY 10461
248,,,,1370A CASTLE HILL AVE,BRONX,NY 10462
249,,,,765-767 MORRIS PARK AVE,BRONX,NY 10462
250,,,,5564 BROADWAY,BRONX,NY 10463
251,,,,3775 E. TREMONT AVE.,BRONX,NY 10465
252,,,,4377 BRONX BLVD,BRONX,NY 10466
253,,,,7 BEDFORD PARK BLVD,BRONX,NY 10468
254,,,,145 W. KINGSBRIDGE RD.,BRONX,NY 10468
255,,,,1632 BRUCKNER BOULEVARD,BRONX,NY 10473
256,,,CASTLE HILL COMMUNITY PHARMACY,706 CASTLE HILL AVENUE,BRONX,NY 10473
257,,,,575 MAIN STREET,ARMONK,NY 10504
258,,,,18 CEDAR STREET,DOBBS FERRY,NY 10522
259,,,,31 EAST MAIN STREET,ELMSFORD,NY 10523
260,,,,15 HALSTEAD AVE,HARRISON,NY 10528
261,,,,3659 LEE ROAD,JEFFERSON VALLEY,NY 10535
262,,,,294 KATONAH AVENUE,KATONAH,NY 10536
263,,,,400 E MAIN ST,MOUNT KISCO,NY 10549
264,,,,120 GRAMATAN AVENUE,MOUNT VERNON,NY 10550
265,,,,203 MAIN STREET,OSSINING,NY 10562
266,,,,12 WELCHER AVE.,PEEKSKILL,NY 10566
267,,,,1827 MAIN ST.,PEEKSKILL,NY 10566
268,,,,222 OAKRIDGE COMMONS,SOUTH SALEM,NY 10590
269,,,,325 MAMARONECK AVE.,WHITE PLAINS,NY 10605
270,,,,2 PARK AVENUE,YONKERS,NY 10703
271,,,,1230 NEPPERHAN AVE,YONKERS,NY 10703
272,,,,623 MC LEAN AVE,YONKERS,NY 10705
273,,,,2290 CENTRAL PARK AVENUE,YONKERS,NY 10710
274,,,,1567 CENTRAL PARK AVENUE,YONKERS,NY 10710
275,,,,640 TUCKAHOE ROAD,YONKERS,NY 10710
276,,,,309 MAIN ST.,NEW ROCHELLE,NY 10801
277,,,,551 MAIN ST.,NEW ROCHELLE,NY 10801
278,,,,5 INDIAN ROCK PLAZA,SUFFERN,NY 10901
279,,,301 ROUTE 304,SUITE 4,BARDONIA,NY 10954
280,,,,280 SOUTH MAIN STREET,NEW CITY,NY 10956
281,,,,31 CAVALRY DR.,NEW CITY,NY 10956
282,,,,75 N. MIDDLETOWN RD.,PEARL RIVER,NY 10965
283,,,,139 NORTH MIDDLETOWN ROAD,PEARL RIVER,NY 10965
284,,,,2 THAYER RD,WEST POINT,NY 10996
285,,,,900 WASHINGTON RD,WEST POINT,NY 10996
286,,,,107 MEACHAM AVENUE,ELMONT,NY 11003
287,,,925 HEMPSTEAD TURNPIKE,ATTN: SUPERVISING PHARMACIST,FRANKLIN SQUARE,NY 11010
288,,,,4013 BROADWAY,ASTORIA,NY 11103
289,,,,3101 DITMARS BLVD.,ASTORIA,NY 11105
290,,,,3904 CHURCH AVE,BROOKLYN,NY 11203
291,,,,76 GRAHAM AVE.,BROOKLYN,NY 11206
292,,,,9216 4TH AVENUE,BROOKLYN,NY 11209
293,,,,1855 FLATBUSH AVE,BROOKLYN,NY 11210
294,,,,226 PROSPECT PARK WEST,BROOKLYN,NY 11215
295,,,DBA OAK PARK PHARMACY,205 PROSPECT PARK WEST,BROOKLYN,NY 11215
296,,,,1281 FULTON ST.,BROOKLYN,NY 11216
297,,,,475 ATLANTIC AVE,BROOKLYN,NY 11217
298,,,,296 FLATBUSH AVE,BROOKLYN,NY 11217
299,,,,114 BEVERLEY RD.,BROOKLYN,NY 11218
300,,,,5211 13TH AVENUE,BROOKLYN,NY 11219
301,,,,6220-6222 11TH AVENUE,BROOKLYN,NY 11219
302,,,,5008 5TH AVE,BROOKLYN,NY 11220
303,,,,6024 5TH AVENUE,BROOKLYN,NY 11220
304,,,,669 MANHATTAN AVENUE,BROOKLYN,NY 11222
305,,,,2913 SURF AVE,BROOKLYN,NY 11224
306,,,,1526 CORTELYOU RD,BROOKLYN,NY 11226
307,,,,3001 CLARENDON RD,BROOKLYN,NY 11226
308,,,,2925 KINGS HIGHWAY,BROOKLYN,NY 11229
309,,,,2806 OCEAN AVENUE,BROOKLYN,NY 11229
310,,,,1106 AVENUE K 1ST FLOOR,BROOKLYN,NY 11230
311,,,,1109 CONEY ISLAND AVE,BROOKLYN,NY 11230
312,,,,159 RALPH AVE,BROOKLYN,NY 11233
313,,,,312 RALPH AVENUE,BROOKLYN,NY 11233
314,,,,4901 KINGS HIGHWAY,BROOKLYN,NY 11234
315,,,,6602 AVE U,BROOKLYN,NY 11234
316,,,,121 ST.NICHOLAS AVENUE,BROOKLYN,NY 11237
317,,,,13602 ROOSEVELT AVENUE,FLUSHING,NY 11354
318,,,,12-65 150TH STREET,WHITESTONE,NY 11357
319,,,,212-20 NORTHERN BOULEVARD,BAYSIDE,NY 11361
320,,,,38-01 BELL BLVD,BAYSIDE,NY 11361
321,,,,221-36 HORACE HARDING EXPRESSWAY,OAKLAND GARDENS,NY 11364
322,,,,149-01 UNION TURNPIKE,FLUSHING,NY 11367
323,,,,68-50 MAIN STREET,FLUSHING,NY 11367
324,,,,79-08 37TH AVE,JACKSON HEIGHTS,NY 11372
325,,,,89-11 NORTHERN BLVD.,JACKSON HEIGHTS,NY 11372
326,,,,73-01 37TH AVENUE,JACKSON HEIGHTS,NY 11372
327,,,,77-01 37TH AVE,JACKSON HEIGHTS,NY 11372
328,,,BANGLADESH FARMACIA,73-21 37TH ROAD,JACKSON HEIGHTS,NY 11372
329,,,,95-19 57 AVENUE,ELMHURST,NY 11373
330,,,D/B/A EVERGREEN DRUGS,87-08 JUSTICE AVENUE,ELMHURST,NY 11373
331,,,,8420 BROADWAY,ELMHURST,NY 11373
332,,,,101-21 METROPOLITAN AVENUE,FOREST HILLS,NY 11375
333,,,,100-02 QUEENS BOULEVARD,FOREST HILLS,NY 11375
334,,,,107-16 CONTINENTAL AVENUE,FOREST HILLS,NY 11375
335,,,,7960 METROPOLITAN AVENUE,MIDDLE VILLAGE,NY 11379
336,,,,311 ST. NICHOLAS AVENUE,RIDGEWOOD,NY 11385
337,,,,54-56A MYRTLE AVE,RIDGEWOOD,NY 11385
338,,,,204-19 HILLSIDE AVENUE,HOLLIS,NY 11423
339,,,,219-39 89TH AVENUE,QUEENS VILLAGE,NY 11427
340,,,,12704 GUY R BREWER BLVD,JAMAICA,NY 11434
341,,,,403 ATLANTIC AVENUE,FREEPORT,NY 11520
342,,,,201 GLEN ST.,GLEN COVE,NY 11542
343,,,,20 FOREST AVE,GLEN COVE,NY 11542
344,,,,86 FRONT STREET,HEMPSTEAD,NY 11550
345,,,,393 FRONT ST,HEMPSTEAD,NY 11550
346,,,,2419 HEMPSTEAD TPKE.,EAST MEADOW,NY 11554
347,,,,393 NO MERRICK AVE,MERRICK,NY 11566
348,,,2000 NORTH VILLAGE AVENUE,SUITE 107,ROCKVILLE CENTRE,NY 11570
349,,,,44 NORTH CENTRAL AVENUE,VALLEY STREAM,NY 11580
350,,,,945 ROSEDALE RD,VALLEY STREAM,NY 11581
351,,,,20 MERRICK RD.,AMITYVILLE,NY 11701
352,,,C/O PHARMACY,400 SUNRISE HIGHWAY,AMITYVILLE,NY 11701
353,,,PHARMACY DEPARTMENT,301 EAST MAIN STREET,BAYSHORE,NY 11706
354,,,KING KULLEN PHARMACY #46,598 STEWART AVENUE,BETHPAGE,NY 11714
355,,,1944 DEER PARK AVE,DEER PARK S/C,DEER PARK,NY 11729
356,,,,87 HEMPSTEAD TURNPIKE,FARMINGDALE,NY 11735
357,,,,50 N. NEW YORK AVE,HUNTINGTON,NY 11743
358,,,,25 SOUTHDOWN RD,HUNTINGTON,NY 11743
359,,,,227-229 EAST MAIN STREET,HUNTINGTON,NY 11743
360,,,,2 E. JERICHO TPKE,HUNTINGTON STATION,NY 11746
361,,,,3284 HEMPSTEAD TURNPIKE,LEVITTOWN,NY 11756
362,,,,56 ECHO AVENUE,MILLER PLACE,NY 11764
363,,,,5507-200 NESCONSET HWY RTE 347,MOUNT SINAI,NY 11766
364,,,,440 SUNRISE HIGHWAY,NORTH PATCHOGUE,NY 11772
365,,,,689 MEDFORD AVE,PATCHOGUE,NY 11772
366,,,,4331 NESCONSET HWY.,PORT JEFFERSON STN,NY 11776
367,,,,4747 NESCONSET HWY,PORT JEFFERSON STATION,NY 11776
368,,,,655 MIDDLE COUNTRY RD,SELDEN,NY 11784
369,,,C/O PHARMACY,271 JERICHO TURNPIKE,SYOSSET,NY 11791
370,,,,499 MONTAUK HIGHWAY,WEST ISLIP,NY 11795
371,,,,202 OLD COUNTRY ROAD,HICKSVILLE,NY 11801
372,,,,210 S BROADWAY,HICKSVILLE,NY 11801
373,,,,552 MONTAUK HIGHWAY,CENTER MORICHES,NY 11934
374,,,315-25 MAIN ROAD,P.O. BOX 993,CUTCHOGUE,NY 11935
375,,,KING KULLEN PHARMACY #33,460 COUNTY ROAD 111,MANORVILLE,NY 11949
376,,,,1235 MIDDLE COUNTRY RD,MIDDLE ISLAND,NY 11953
377,,,,54 JAGGER LANE,SOUTHAMPTON,NY 11968
378,,,,4999 STATE HIGHWAY 30,AMSTERDAM,NY 12010
379,,,,1636 BURDEN LAKE ROAD,AVERILL PARK,NY 12018
380,,,217 REMSEN STREET,PO BOX 229,COHOES,NY 12047
381,,,,260 DELAWARE AVENUE,DELMAR,NY 12054
382,,,,360 DELAWARE AVENUE,DELMAR,NY 12054
383,,,,598 COLUMBIA TURNPIKE,EAST GREENBUSH,NY 12061
384,,,,839 RTE 146,CLIFTON PARK,NY 12065
385,,,4852 RT 81,PO BOX 422,GREENVILLE,NY 12083
386,,,,3541 US ROUTE 20,NASSAU,NY 12123
387,,,,2967 ROUTE 9,VALATIE,NY 12184
388,,,,34 HOPE PLAZA,WEST COXSACKIE,NY 12192
389,,,2040 WESTERN AVENUE,ROUTE 155,ALBANY,NY 12203
390,,,,346 CENTRAL AVE,ALBANY,NY 12206
391,,,,1400 ALTAMONT AVE,SCHENECTADY,NY 12303
392,,,,2205 NOTT ST,SCHENECTADY,NY 12309
393,,,,86 NORTH FRONT STREET,KINGSTON,NY 12401
394,,,42084 STATE HIGHWAY,RT 28,MARGARETVILLE,NY 12455
395,,,,250 MAIN ST,SAUGERTIES,NY 12477
396,,,,79 TINKER STREET,WOODSTOCK,NY 12498
397,,,1004 MAIN ST.,BUILDING 554,FISHKILL,NY 12524
398,,,,4170 ALBANY POST RD.,HYDE PARK,NY 12538
399,,,,3272 FRANKLIN AVE.,MILLBROOK,NY 12545
400,,,DEDRICK'S PHARMACY OF NEW PALT,190 MAIN ST,NEW PALTZ,NY 12561
401,,,2540 ROUTE 55,P.O. BOX 335,POUGHQUAG,NY 12570
402,,,,6032 ROUTE 82,STANFORDVILLE,NY 12581
403,,,39 LOWER MAIN STREET,P.O. BOX 275,CALLICOON,NY 12723
404,,,,1987 STATE ROUTE 52,LIBERTY,NY 12754
405,,,PO BOX 777,ATTN: SUPERVISING PHARMACIST,ROCK HILL,NY 12775
406,,,,BRIDGE & MAIN STREETS,LAKE LUZERNE,NY 12846
407,,,,34 CONGRESS ST.,SARATOGA SPRINGS,NY 12866
