address,googleMapsUrl,lat,lng,name,postal,source,state,source_date
"2000 S. MAYS STREET, SUITE 200, ROUND ROCK, TX 78664",http://maps.google.com/maps?q=ADVANCED%20RX%20PHARMACY%2C2000%20S.%20MAYS%20STREET%2C+ROUND%20ROCK%2C+TX+78664,30.528885,-97.68823,ADVANCED RX PHARMACY 030,78664,DEA,TX,Dec2018
"4800 S. SAGINAW ST., SUITE 1675, FLINT, MI 48507",http://maps.google.com/maps?q=ADVANCED%20SPECIALTY%20RX%20LLC%2C4800%20S.%20SAGINAW%20ST.%2C+FLINT%2C+MI+48507,42.982536100000004,-83.6760117,ADVANCED SPECIALTY RX LLC,48507,DEA,MI,Dec2018
"3685-A LEAPHART ROAD, WEST COLUMBIA, SC 29169",http://maps.google.com/maps?q=AGAPE%20PHARMACY%2C3685-A%20LEAPHART%20ROAD%2C+WEST%20COLUMBIA%2C+SC+29169,34.003464,-81.135666,AGAPE PHARMACY,29169,DEA,SC,Dec2018
"276 S. MILL ST., SUITE A, TEHACHAPI, CA 93561",http://maps.google.com/maps?q=AGIA%20PHARMACY%20%20CAFE%2C276%20S.%20MILL%20ST.%2C+TEHACHAPI%2C+CA+93561,35.13085,-118.45265,AGIA PHARMACY & CAFE,93561,DEA,CA,Dec2018
"1230 N. HIGH STREET, COLUMBUS, OH 43201",http://maps.google.com/maps?q=AHF%20PHARMACY%2C1230%20N.%20HIGH%20STREET%2C+COLUMBUS%2C+OH+43201,39.98753,-83.00559,AHF PHARMACY,43201,DEA,OH,Dec2018
"1858 CHESHIRE BRIDGE ROAD NE, ATLANTA, GA 30324",http://maps.google.com/maps?q=AHF%20PHARMACY%2C1858%20CHESHIRE%20BRIDGE%20ROAD%20NE%2C+ATLANTA%2C+GA+30324,33.809395,-84.36189,AHF PHARMACY,30324,DEA,GA,Dec2018
"3920 CEDAR SPRINGS ROAD, DALLAS, TX 75219",http://maps.google.com/maps?q=AHF%20PHARMACY%2C3920%20CEDAR%20SPRINGS%20ROAD%2C+DALLAS%2C+TX+75219,32.81022,-96.81018,AHF PHARMACY,75219,DEA,TX,Dec2018
"400 N BEACH STREET, STE 102, FORT WORTH, TX 76111",http://maps.google.com/maps?q=AHF%20PHARMACY%2C400%20N%20BEACH%20STREET%2C%20STE%20102%2C+FORT%20WORTH%2C+TX+76111,32.762177,-97.2877,AHF PHARMACY,76111,DEA,TX,Dec2018
"1701 NORTH MILLS AVENUE, ORLANDO, FL 32803",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C1701%20NORTH%20MILLS%20AVENUE%2C+ORLANDO%2C+FL+32803,28.566934999999997,-81.36444,AIDS HEALTHCARE FOUNDATION,32803,DEA,FL,Dec2018
"2 SHIRCLIFF WAY, SUITE 900, JACKSONVILLE, FL 32204",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C2%20SHIRCLIFF%20WAY%2C+JACKSONVILLE%2C+FL+32204,30.3071989,-81.68987220000001,AIDS HEALTHCARE FOUNDATION,32204,DEA,FL,Dec2018
"2097 WILTON DR, WILTON MANORS, FL 33305",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C2097%20WILTON%20DR%2C+WILTON%20MANORS%2C+FL+33305,26.154255,-80.14005999999999,AIDS HEALTHCARE FOUNDATION,33305,DEA,FL,Dec2018
"2900 N. BISCAYNE BLVD., MIAMI, FL 33137",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C2900%20N.%20BISCAYNE%20BLVD.%2C+MIAMI%2C+FL+33137,25.80432,-80.18938,AIDS HEALTHCARE FOUNDATION,33137,DEA,FL,Dec2018
"3135 SR 580, SUITE 1, SAFETY HARBOR, FL 34695",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C3135%20SR%20580%2C+SAFETY%20HARBOR%2C+FL+34695,28.0243335,-82.707072,AIDS HEALTHCARE FOUNDATION,34695,DEA,FL,Dec2018
"3400 26TH AVE S, ST PETERSBURG, FL 33711",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C3400%2026TH%20AVE%20S%2C+ST%20PETERSBURG%2C+FL+33711,27.744691999999997,-82.679436,AIDS HEALTHCARE FOUNDATION,33711,DEA,FL,Dec2018
"475 ATLANTIC AVE, BROOKLYN, NY 11217",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C475%20ATLANTIC%20AVE%2C+BROOKLYN%2C+NY+11217,40.685825,-73.98195,AIDS HEALTHCARE FOUNDATION,11217,DEA,NY,Dec2018
"6405 N. FEDERAL HIGHWAY, #205, FT LAUDERDALE, FL 33308",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C6405%20N.%20FEDERAL%20HIGHWAY%2C+FT%20LAUDERDALE%2C+FL+33308,26.20681,-80.108086,AIDS HEALTHCARE FOUNDATION,33308,DEA,FL,Dec2018
"700 SE 3RD AVENUE, SUITE 100, FT LAUDERDALE, FL 33316",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C700%20SE%203RD%20AVENUE%2C+FT%20LAUDERDALE%2C+FL+33316,26.113012,-80.140175,AIDS HEALTHCARE FOUNDATION,33316,DEA,FL,Dec2018
"3500 E. PACIFIC COAST HIGHWAY, LONG BEACH, CA 90804",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%20DBA%20AHF%20PHARMACY%2C3500%20E.%20PACIFIC%20COAST%20HIGHWAY%2C+LONG%20BEACH%2C+CA+90804,33.789875,-118.15126000000001,AIDS HEALTHCARE FOUNDATION DBA AHF PHARMACY,90804,DEA,CA,Dec2018
"4071 18TH STR., SAN FRANCISCO, CA 94114",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%20DBA%20AHF%20PHARMACY%2C4071%2018TH%20STR.%2C+SAN%20FRANCISCO%2C+CA+94114,37.760914,-122.43436399999999,AIDS HEALTHCARE FOUNDATION DBA AHF PHARMACY,94114,DEA,CA,Dec2018
"4890 BLUEBONNET BLVD., BATON ROUGE, LA 70809",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%20DBA%20AHF%20PHARMACY%2C4890%20BLUEBONNET%20BLVD.%2C+BATON%20ROUGE%2C+LA+70809,30.403309999999998,-91.08372,AIDS HEALTHCARE FOUNDATION DBA AHF PHARMACY,70809,DEA,LA,Dec2018
"6210 SUNSET BLVD., LOS ANGELES, CA 90028",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%20DBA%20AHF%20PHARMACY%2C6210%20SUNSET%20BLVD.%2C+LOS%20ANGELES%2C+CA+90028,34.09799,-118.325226,AIDS HEALTHCARE FOUNDATION DBA AHF PHARMACY,90028,DEA,CA,Dec2018
"1785 E. SUNRISE BLVD., FORT LAUDERDALE, FL 33304",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%20DBA%20AHF%20PHARMACY%2C1785%20E.%20SUNRISE%20BLVD.%2C+FORT%20LAUDERDALE%2C+FL+33304,26.137379,-80.12252,"AIDS HEALTHCARE FOUNDATION, DBA AHF PHARMACY",33304,DEA,FL,Dec2018
"11919 W. SPRAGUE AVENUE, P O BOX 1899, AIRWAY HEIGHTS, WA 99001",http://maps.google.com/maps?q=AIRWAY%20HGHTS%20CORRECTIONS%20CTR%2C11919%20W.%20SPRAGUE%20AVENUE%2C+AIRWAY%20HEIGHTS%2C+WA+99001,47.657276,-117.58006999999999,AIRWAY HGHTS CORRECTIONS CTR,99001,DEA,WA,Dec2018
"2222 MAIN STREET, CAMBRIA, CA 93428",http://maps.google.com/maps?q=ALS%20PHARMACY%20AND%20COMPOUNDING%20CENTER%20INC%2C2222%20MAIN%20STREET%2C+CAMBRIA%2C+CA+93428,35.564034,-121.08243,"AL'S PHARMACY AND COMPOUNDING CENTER, INC.",93428,DEA,CA,Dec2018
"177 N BARLOW, LINCOLN, MI 48742",http://maps.google.com/maps?q=ALCONA%20HEALTH%20CENTER%20PHARMACY%2C177%20N%20BARLOW%2C+LINCOLN%2C+MI+48742,44.66053,-83.403046,ALCONA HEALTH CENTER PHARMACY,48742,DEA,MI,Dec2018
"1185 US 23 NORTH, ALPENA, MI 49707",http://maps.google.com/maps?q=ALCONA%20HEALTH%20CENTER%20PHARMACY%20SERVICES%2C1185%20US%2023%20NORTH%2C+ALPENA%2C+MI+49707,45.0912911,-83.4584597,ALCONA HEALTH CENTER PHARMACY SERVICES,49707,DEA,MI,Dec2018
"13203 BROADWAY, ALDEN, NY 14004",http://maps.google.com/maps?q=ALDEN%20PHARMACY%20INC%2C13203%20BROADWAY%2C+ALDEN%2C+NY+14004,42.900203999999995,-78.49611999999999,ALDEN PHARMACY INC,14004,DEA,NY,Dec2018
"25680 104TH AVE SE, KENT, WA 98030",http://maps.google.com/maps?q=ALEXANDRIA%20DRUGS%20LLC%2C25680%20104TH%20AVE%20SE%2C+KENT%2C+WA+98030,47.372066,-122.2024,ALEXANDRIA DRUGS LLC,98030,DEA,WA,Dec2018
"515 MINOR AVE, SUITE# 120, SEATTLE, WA 98104",http://maps.google.com/maps?q=ALEXANDRIA%20DRUGS%20LLC%2C515%20MINOR%20AVE%2C+SEATTLE%2C+WA+98104,47.606915,-122.32141999999999,"ALEXANDRIA DRUGS, LLC",98104,DEA,WA,Dec2018
"36 N MAIN ST, ALFRED, NY 14802",http://maps.google.com/maps?q=ALFRED%20PHARMACY%2C36%20N%20MAIN%20ST%2C+ALFRED%2C+NY+14802,42.255573,-77.79,ALFRED PHARMACY,14802,DEA,NY,Dec2018
"133 PARK STREET, MALONE, NY 12953",http://maps.google.com/maps?q=ALICE%20HYDE%20MEDICAL%20CENTER%2C133%20PARK%20STREET%2C+MALONE%2C+NY+12953,44.856834,-74.29198000000001,ALICE HYDE MEDICAL CENTER,12953,DEA,NY,Dec2018
"10132 WEST 76TH STREET, EDEN PRAIRIE, MN 55344",http://maps.google.com/maps?q=ALIXA%20RX%20LLC%2C10132%20WEST%2076TH%20STREET%2C+EDEN%20PRAIRIE%2C+MN+55344,44.86614,-93.406425,ALIXA RX LLC,55344,DEA,MN,Dec2018
"902 SOUTH 6TH STREET, COUNCIL BLUFFS, IA 51501",http://maps.google.com/maps?q=ALL%20CARE%20HEALTH%20CENTER%2C902%20SOUTH%206TH%20STREET%2C+COUNCIL%20BLUFFS%2C+IA+51501,41.253338,-95.85305,ALL CARE HEALTH CENTER,51501,DEA,IA,Dec2018
"331 MAIN STREET, SALINAS, CA 93901",http://maps.google.com/maps?q=ALLCARE%20PHARMACY%2C331%20MAIN%20STREET%2C+SALINAS%2C+CA+93901,36.67285,-121.65465,ALLCARE PHARMACY,93901,DEA,CA,Dec2018
"146 WEST DALE ST, STE 103, WATERLOO, IA 50703",http://maps.google.com/maps?q=ALLEN%20CLINIC%20PHARMACY%2C146%20WEST%20DALE%20ST%2C+WATERLOO%2C+IA+50703,42.525776,-92.34022,ALLEN CLINIC PHARMACY,50703,DEA,IA,Dec2018
"9397 CROWN CREST BLVD, STE 101, PARKER, CO 80138",http://maps.google.com/maps?q=ALLHEALTH%20NETWORK%20PHARMACY%20AT%20PARKER%2C9397%20CROWN%20CREST%20BLVD%2C+PARKER%2C+CO+80138,39.548378,-104.76929399999999,ALLHEALTH NETWORK PHARMACY AT PARKER,80138,DEA,CO,Dec2018
"1245 HIGHLAND AVE, ABINGTON, PA 19001",http://maps.google.com/maps?q=ALLIANCE%20PHARMACY%20CO%2C1245%20HIGHLAND%20AVE%2C+ABINGTON%2C+PA+19001,40.118996,-75.12223,ALLIANCE PHARMACY CO,19001,DEA,PA,Dec2018
"110 W. MAIN ST., CAMPBELLSPORT, WI 53010",http://maps.google.com/maps?q=ALMOATASIM%20LLC%2C110%20W.%20MAIN%20ST.%2C+CAMPBELLSPORT%2C+WI+53010,43.59816,-88.28548,"ALMOATASIM, LLC",53010,DEA,WI,Dec2018
"DBA NORTHLAND MEDICAL BLDG., 20905 GREENFIELD ROAD, SOUTHFIELD, MI 48075",http://maps.google.com/maps?q=ALPHARM%20CORPORATION%2CDBA%20NORTHLAND%20MEDICAL%20BLDG.%2C+SOUTHFIELD%2C+MI+48075,42.46,-83.21,ALPHARM CORPORATION,48075,DEA,MI,Dec2018
"6475 HIGHWAY 93 SOUTH, WHITEFISH, MT 59937",http://maps.google.com/maps?q=ALPINE%20APOTHECARY%2C6475%20HIGHWAY%2093%20SOUTH%2C+WHITEFISH%2C+MT+59937,48.394659999999995,-114.333767,ALPINE APOTHECARY,59937,DEA,MT,Dec2018
"1380 COLUMBIA RD S, GRAND FORKS, ND 58201",http://maps.google.com/maps?q=ALTRU%20CLINIC%20PHARMACY%20%20FAMILY%20MED%20CTR%20INC%2C1380%20COLUMBIA%20RD%20S%2C+GRAND%20FORKS%2C+ND+58201,47.9078599,-97.068138,ALTRU CLINIC PHARMACY - FAMILY MED CTR INC,58201,DEA,ND,Dec2018
"1200 SOUTH COLUMBIA ROAD, GRAND FORKS, ND 58201",http://maps.google.com/maps?q=ALTRU%20HEALTH%20SYSTEM%2C1200%20SOUTH%20COLUMBIA%20ROAD%2C+GRAND%20FORKS%2C+ND+58201,47.910194,-97.066475,ALTRU HEALTH SYSTEM,58201,DEA,ND,Dec2018
"1855 ALUM ROCK AVE SUITE A, SAN JOSE, CA 95116",http://maps.google.com/maps?q=ALUM%20ROCK%20PHARMACY%20INC%2C1855%20ALUM%20ROCK%20AVE%20SUITE%20A%2C+SAN%20JOSE%2C+CA+95116,37.354134,-121.85278000000001,ALUM ROCK PHARMACY INC,95116,DEA,CA,Dec2018
"1381 UNIVERSITY ST SUITE A, HEALDSBURG, CA 95448",http://maps.google.com/maps?q=AMC%20COMMUNITY%20PHARMACY%2C1381%20UNIVERSITY%20ST%20SUITE%20A%2C+HEALDSBURG%2C+CA+95448,38.627026,-122.863754,AMC COMMUNITY PHARMACY,95448,DEA,CA,Dec2018
"750 E LONG ST, SUITE 3100, COLUMBUS, OH 43203",http://maps.google.com/maps?q=AMC%20OHIO%20LLC%20DBA%20EQUITAS%20HEALTH%20PHARMACY%2C750%20E%20LONG%20ST%2C+COLUMBUS%2C+OH+43203,39.967240000000004,-82.98135,"AMC OHIO LLC, DBA EQUITAS HEALTH PHARMACY #3",43203,DEA,OH,Dec2018
"2503 E 54TH ST. N, SIOUX FALLS, SD 57104",http://maps.google.com/maps?q=AMERIPHARM%20INC%2C2503%20E%2054TH%20ST.%20N%2C+SIOUX%20FALLS%2C+SD+57104,43.594696,-96.71699,"AMERIPHARM, INC",57104,DEA,SD,Dec2018
"265 E GRIFFIN ST, AMERY, WI 54001",http://maps.google.com/maps?q=AMERY%20REGIONAL%20MEDICAL%20CENTER%2C265%20E%20GRIFFIN%20ST%2C+AMERY%2C+WI+54001,45.2968696,-92.36109609999998,AMERY REGIONAL MEDICAL CENTER,54001,DEA,WI,Dec2018
"5001 NW 34TH BLVD SUITE B, GAINESVILLE, FL 32605",http://maps.google.com/maps?q=ANDERSONSCOKELEE%20INC%2C5001%20NW%2034TH%20BLVD%20SUITE%20B%2C+GAINESVILLE%2C+FL+32605,29.700609999999998,-82.37291,"ANDERSON-SCOKELEE, INC",32605,DEA,FL,Dec2018
"495 DUNLOP LANE, SUITE 106, CLARKSVILLE, TN 37040",http://maps.google.com/maps?q=ANESTHESIA%20SERVICES%20ASSOCIATES%20PLLC%2C495%20DUNLOP%20LANE%2C+CLARKSVILLE%2C+TN+37040,36.58062,-87.27658000000001,"ANESTHESIA SERVICES ASSOCIATES, PLLC",37040,DEA,TN,Dec2018
"3625 N ANKENY BLVD, SUITE A, ANKENY, IA 50023",http://maps.google.com/maps?q=ANKENY%20MEDICAL%20PARK%20PHARMACY%2C3625%20N%20ANKENY%20BLVD%2C+ANKENY%2C+IA+50023,41.75543629999999,-93.59953420000001,ANKENY MEDICAL PARK PHARMACY,50023,DEA,IA,Dec2018
"6 W. MICHIGAN AVE, YPSILANTI, MI 48197",http://maps.google.com/maps?q=ANN%20ARBOR%20PROFESSIONAL%20PHARMACY%2C6%20W.%20MICHIGAN%20AVE%2C+YPSILANTI%2C+MI+48197,42.24106,-83.61206,ANN ARBOR PROFESSIONAL PHARMACY,48197,DEA,MI,Dec2018
"DBA MEDICINE SHOPPE OF NEW SMY, 1141 N DIXIE FREEWAY, NEW SMYRNA BEACH, FL 32168",http://maps.google.com/maps?q=APB%20%20J%20CORP%2CDBA%20MEDICINE%20SHOPPE%20OF%20NEW%20SMY%2C+NEW%20SMYRNA%20BEACH%2C+FL+32168,29.0431289,-80.9337124,APB & J CORP,32168,DEA,FL,Dec2018
"82 MAIN STREET, PO BOX 919, MEADVILLE, MS 39653",http://maps.google.com/maps?q=APOTHECARELLC%2C82%20MAIN%20STREET%2C+MEADVILLE%2C+MS+39653,31.472545,-90.89228299999999,"APOTHECARE,LLC",39653,DEA,MS,Dec2018
"1040 NW 22ND AVE, STE 100, PORTLAND, OR 97210",http://maps.google.com/maps?q=APOTHECARY%20AT%20GOOD%20SAMARITAN%2C1040%20NW%2022ND%20AVE%2C+PORTLAND%2C+OR+97210,45.530125,-122.69657,APOTHECARY AT GOOD SAMARITAN,97210,DEA,OR,Dec2018
"2121 N.E. 139TH STREET, SUITE 310, VANCOUVER, WA 98686",http://maps.google.com/maps?q=APOTHECARY%20AT%20SALMON%20CREEK%2C2121%20N.E.%20139TH%20STREET%2C+VANCOUVER%2C+WA+98686,45.721848,-122.65,APOTHECARY AT SALMON CREEK,98686,DEA,WA,Dec2018
"207 EAST MAIN STREET, REMINGTON, VA 22734",http://maps.google.com/maps?q=APOTHECARY%20SOLUTIONS%20LLC%2C207%20EAST%20MAIN%20STREET%2C+REMINGTON%2C+VA+22734,38.5331843,-77.80704159999999,APOTHECARY SOLUTIONS LLC,22734,DEA,VA,Dec2018
"DUSKIN CORY, 540 N WEST AVENUE, ARLINGTON, WA 98223",http://maps.google.com/maps?q=ARLINGTON%20PHARMACY%2CDUSKIN%20CORY%2C+ARLINGTON%2C+WA+98223,48.198271999999996,-122.12863999999999,ARLINGTON PHARMACY,98223,DEA,WA,Dec2018
"3700 NORTH CAPITOL ST, NW, SHERMAN BLDG, ROOM 103, WASHINGTON, DC 20011",http://maps.google.com/maps?q=ARMED%20FORCES%20RETIREMENT%20HOME%2C3700%20NORTH%20CAPITOL%20ST%2C%20NW%2C+WASHINGTON%2C+DC+20011,38.94275,-77.007975,ARMED FORCES RETIREMENT HOME,20011,DEA,DC,Dec2018
"3650 W ARMITAGE AVE, STE 100, CHICAGO, IL 60647",http://maps.google.com/maps?q=ARMITAGE%20PHARMACY%20INC%2C3650%20W%20ARMITAGE%20AVE%2C+CHICAGO%2C+IL+60647,41.91728,-87.71839,"ARMITAGE PHARMACY, INC.",60647,DEA,IL,Dec2018
"1725 TIMBER LINE ROAD, MAUMEE, OH 43537",http://maps.google.com/maps?q=ARROWHEAD%20BEHAVIORAL%20HEALTH%2C1725%20TIMBER%20LINE%20ROAD%2C+MAUMEE%2C+OH+43537,41.58951,-83.68744000000001,ARROWHEAD BEHAVIORAL HEALTH,43537,DEA,OH,Dec2018
"1446 LEE BLVD, LEHIGH ACRES, FL 33936",http://maps.google.com/maps?q=ARTH%20LLC%2C1446%20%20LEE%20BLVD%2C+LEHIGH%20ACRES%2C+FL+33936,26.6143507,-81.6562556,ARTH LLC,33936,DEA,FL,Dec2018
"PRINCETON PLAZA PHARMACY, 1800 MERCY DRIVE, ORLANDO, FL 32808",http://maps.google.com/maps?q=ASPIRE%20HEALTH%20PARTNERS%20INC%2CPRINCETON%20PLAZA%20PHARMACY%2C+ORLANDO%2C+FL+32808,28.56,-81.43,"ASPIRE HEALTH PARTNERS, INC.",32808,DEA,FL,Dec2018
"1400 WEST ICE LAKE ROAD, IRON RIVER, MI 49935",http://maps.google.com/maps?q=ASPIRUS%20IRON%20RIVER%20HOSPITAL%20%20CLINICS%20INC%2C1400%20WEST%20ICE%20LAKE%20ROAD%2C+IRON%20RIVER%2C+MI+49935,46.099841,-88.61967299999999,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",49935,DEA,MI,Dec2018
"PHARMACY, 1601 STATE AVE NW, OWATONNA, MN 55060",http://maps.google.com/maps?q=ASTRUP%20DRUG%20INC%2CPHARMACY%2C+OWATONNA%2C+MN+55060,44.0884391,-93.2306349,ASTRUP DRUG INC,55060,DEA,MN,Dec2018
"800 RAVEN HILL DRIVE, ATCHISON, KS 66002",http://maps.google.com/maps?q=ATCHISON%20HOSPITAL%20ASSOCIATION%2C800%20RAVEN%20HILL%20DRIVE%2C+ATCHISON%2C+KS+66002,39.5366253,-95.12823859999999,ATCHISON HOSPITAL ASSOCIATION,66002,DEA,KS,Dec2018
"260 WEST MAIN STREET, SUITE 217, HENDERSONVILLE, TN 37075",http://maps.google.com/maps?q=ATRIUM%20PHARMACY%2C260%20WEST%20MAIN%20STREET%2C+HENDERSONVILLE%2C+TN+37075,36.30515,-86.61848,ATRIUM PHARMACY,37075,DEA,TN,Dec2018
"155 KINGSLEY LANE, STE 125, NORFOLK, VA 23505",http://maps.google.com/maps?q=ATRIUM%20PHARMACY%20AT%20DEPAUL%2C155%20KINGSLEY%20LANE%2C+NORFOLK%2C+VA+23505,36.8983,-76.28130999999999,ATRIUM PHARMACY AT DEPAUL,23505,DEA,VA,Dec2018
"2565 HORIZON LAKE BLVD., STE. 113, MEMPHIS, TN 38133",http://maps.google.com/maps?q=ATRIUM%20PHARMACY%20MEMPHIS%2C2565%20HORIZON%20LAKE%20BLVD.%2C+MEMPHIS%2C+TN+38133,35.19536,-89.79706999999999,ATRIUM PHARMACY MEMPHIS,38133,DEA,TN,Dec2018
"1120 15TH STREET, ROOM BI-2101, AUGUSTA, GA 30912",http://maps.google.com/maps?q=AU%20MEDICAL%20CENTER%20INPATIENT%20PHARMACY%2C1120%2015TH%20STREET%2C%20ROOM%20BI-2101%2C+AUGUSTA%2C+GA+30912,33.4712295,-81.98993670000002,AU MEDICAL CENTER INPATIENT PHARMACY,30912,DEA,GA,Dec2018
"1011 BAPTISTE DRIVE, PAOLA, KS 66071",http://maps.google.com/maps?q=AUBURN%20PHARMACY%20INC%2C1011%20BAPTISTE%20DRIVE%2C+PAOLA%2C+KS+66071,38.57659,-94.86831,AUBURN PHARMACY INC,66071,DEA,KS,Dec2018
"2150 W 18TH STREET, SUITE 300 RM B, HOUSTON, TX 77008",http://maps.google.com/maps?q=AVENUE%20%20HEALTH%20AND%20WELLNESS%2C2150%20W%2018TH%20STREET%2C+HOUSTON%2C+TX+77008,29.801592,-95.43736,AVENUE 360 HEALTH AND WELLNESS,77008,DEA,TX,Dec2018
"826 N 8TH STREET, ESTHERVILLE, IA 51334",http://maps.google.com/maps?q=AVERA%20HOLY%20FAMILY%20HEALTH%2C826%20N%208TH%20STREET%2C+ESTHERVILLE%2C+IA+51334,43.410778,-94.83382399999999,AVERA HOLY FAMILY HEALTH,51334,DEA,IA,Dec2018
"716 MADISON AVENUE, COVINGTON, KY 41011",http://maps.google.com/maps?q=B%20S%20D%20INC%2C716%20MADISON%20AVENUE%2C+COVINGTON%2C+KY+41011,39.08316,-84.51004,B S D INC,41011,DEA,KY,Dec2018
"9201 W THOMAS ROAD, PHOENIX, AZ 85037",http://maps.google.com/maps?q=BANNER%20FAMILY%20PHARMACY%20%20ESTRELLA%2C9201%20W%20THOMAS%20ROAD%2C+PHOENIX%2C+AZ+85037,33.47967,-112.257576,BANNER FAMILY PHARMACY - ESTRELLA,85037,DEA,AZ,Dec2018
"1900 N HIGLEY RD, GILBERT, AZ 85234",http://maps.google.com/maps?q=BANNER%20FAMILY%20PHARMACY%20%20GATEWAY%2C1900%20N%20HIGLEY%20RD%2C+GILBERT%2C+AZ+85234,33.376290999999995,-111.72370500000001,BANNER FAMILY PHARMACY - GATEWAY,85234,DEA,AZ,Dec2018
"2946 E BANNER GATEWAY DRIVE, GILBERT, AZ 85234",http://maps.google.com/maps?q=BANNER%20FAMILY%20PHARMACY%20%20MD%20ANDERSON%2C2946%20E%20BANNER%20GATEWAY%20DRIVE%2C+GILBERT%2C+AZ+85234,33.384997999999996,-111.725725,BANNER FAMILY PHARMACY - MD ANDERSON,85234,DEA,AZ,Dec2018
