name,source,address,postal,state,lat,lng,city
CANCER CENTER PHARMACY,DEA,"1201 CAMINO DE SALUD NE, ALBUQUERQUE, NM 87102",87102,NM,35.095872,-106.6277341,ALBUQUERQUE
UNIV HOSP OUTPATIENT PHARMACY,DEA,"HEALTH SCIENCE CENTER, 1209 UNIVERSITY BLVD NE, ALBUQUERQUE, NM 87102",87102,NM,35.0948339,-106.627313,ALBUQUERQUE
UNM HOSPITALS OUTPATIENT AND DISCHARGE PHARMACY,DEA,"2211 LOMAS BLVD NE, 4ACC, ALBUQUERQUE, NM 87106",87106,NM,,,ALBUQUERQUE
UNIVERSITY OF NEW MEXICO HOSP,DEA,"ATTN PHARMACY, 2211 LOMAS BLVD N.E., ALBUQUERQUE, NM 87106",87106,NM,35.0849774,-106.527404,ALBUQUERQUE
NORTH VALLEY CENTER FOR FAMILY AND COMMUNITY HEALT,DEA,"3401 N 4TH ST NW, STE 106, ALBUQUERQUE, NM 87107",87107,NM,35.117362,-106.646118,ALBUQUERQUE
USAF- 377TH MEDICAL GROUP/SGSL,DEA,"1501 SAN PEDRO DRIVE S.E., BLDG 47, ALBUQUERQUE, NM 87108",87108,NM,35.0551931,-106.5816425,ALBUQUERQUE
UNMH PHARMACY-SOUTHEAST HEIGHTS CLINIC,DEA,"8200 CENTRAL AV SE, ALBUQUERQUE, NM 87108",87108,NM,35.0736074,-106.5556061,ALBUQUERQUE
WALGREEN CO.,DEA,"9700 MENAUL BLVD NE, ALBUQUERQUE, NM 87112",87112,NM,35.1083992,-106.5324301,ALBUQUERQUE
"VIDA PHARMACY, LLC",DEA,"8500 JEFFERSON BLVD. NE, SUITE D, ALBUQUERQUE, NM 87113",87113,NM,,,ALBUQUERQUE
WALGREEN CO.,DEA,"3400 COORS BOULEVARD NW, ALBUQUERQUE, NM 87120",87120,NM,35.1217872,-106.700617,ALBUQUERQUE
SW MESA CENTER FOR FAMILY AND COMMUNITY HEALTH,DEA,"301 UNSER BLVD NW, STE 106, ALBUQUERQUE, NM 87121",87121,NM,35.0796816,-106.7247473,ALBUQUERQUE
ALDEN PHARMACY INC,DEA,"13203 BROADWAY, ALDEN, NY 14004",14004,NY,42.9000864,-78.49588299999999,ALDEN
THE MEDICINE SHOPPE,DEA,"1144 AIRPORT DRIVE, ALEXANDER CITY, AL 35010",35010,AL,,,ALEXANDER CITY
THRIFTY WHITE PHARMACY #103,DEA,"503 THIRD AVENUE EAST #100, ALEXANDRIA, MN 56308",56308,MN,45.8898938,-95.3707927,ALEXANDRIA
NEIGHBORHOOD PHARMACY OF DEL RAY,DEA,"2204 MT. VERNON AVE, ALEXANDRIA, VA 22301",22301,VA,,,ALEXANDRIA
WALGREEN CO.,DEA,"6717 RICHMOND HWY., ALEXANDRIA, VA 22306",22306,VA,,,ALEXANDRIA
ALFRED PHARMACY,DEA,"36 N MAIN ST, ALFRED, NY 14802",14802,NY,42.2553357,-77.79011830000002,ALFRED
KRHC FAMILY PHARMACY,DEA,"1519 SOUTH PHILLIPS, ALGONA, IA 50511",50511,IA,,,ALGONA
LAKESHORE PHARMACIES INC,DEA,"DBA ALLEGAN COMMUNITY PHARMACY, 115 LOCUST STREET, ALLEGAN, MI 49010",49010,MI,,,ALLEGAN
"PENNSYLVANIA CVS PHARMACY, L.L.C.",DEA,"1601 W. LIBERTY STREET, ALLENTOWN, PA 18102",18102,PA,40.6044099,-75.4941443,ALLENTOWN
"WALGREEN EASTERN CO., INC.",DEA,"1702 TILGHMAN, ALLENTOWN, PA 18104",18104,PA,40.6053618,-75.49703559999999,ALLENTOWN
EXPRESS CARE PHARMACY,DEA,"1727 W LIBERTY STREET, UNIT 2, ALLENTOWN, PA 18104",18104,PA,,,ALLENTOWN
MIDMICHIGAN MEDICAL CENTER - ALPENA,DEA,"1501 W. CHISHOLM ST., ALPENA, MI 49707",49707,MI,45.0776347,-83.44938239999999,ALPENA
ALCONA HEALTH CENTER PHARMACY SERVICES,DEA,"1185 US 23 NORTH, ALPENA, MI 49707",49707,MI,45.0912911,-83.45845969999999,ALPENA
OSF HEALTHCARE SYSTEM D/B/A ST. ANTHONY'S HEALTH C,DEA,"#1 SAINT ANTHONY'S WAY, ALTON, IL 62002",62002,IL,,,ALTON
"WALGREEN EASTERN CO., INC.",DEA,"508 E. PLANK RD., ALTOONA, PA 16602",16602,PA,,,ALTOONA
USAF ALTUSAFB HOSPITAL,DEA,"301 N 1ST STREET,  BLDG 51, ALTUS AFB, OK 73523",73523,OK,34.6573482,-99.288051,ALTUS AFB
GENOA A QOL HEALTHCARE COMPANY LLC,DEA,"43 E MAIN STREET, STE 113, AMELIA, OH 45102",45102,OH,39.0265023,-84.2144709,AMELIA
INTERMOUNTAIN AMERICAN FORK PHARMACY,DEA,"98 NORTH 1100 EAST, SUITE 101, AMERICAN FORK, UT 84003",84003,UT,,,AMERICAN FORK
AMERY REGIONAL MEDICAL CENTER,DEA,"265 E GRIFFIN ST, AMERY, WI 54001",54001,WI,45.2968696,-92.3610961,AMERY
NUCARA PHARMACY #28,DEA,"3600 UNIVERSITY BLVD STE 103, AMES, IA 50010",50010,IA,41.9947841,-93.6391621,AMES
THE LONG ISLAND HOME,DEA,"C/O PHARMACY, 400 SUNRISE HIGHWAY, AMITYVILLE, NY 11701",11701,NY,40.6810051,-73.41617579999999,AMITYVILLE
TETON PHARMACY IN AMMON,DEA,"3160 E. 17TH ST., SUITE 164, AMMON, ID 83406",83406,ID,43.4813124,-111.971461,AMMON
"WALGREEN EASTERN CO., INC.",DEA,"4999 STATE HIGHWAY 30, AMSTERDAM, NY 12010",12010,NY,42.95944660000001,-74.1850547,AMSTERDAM
KAISER FOUN HEALTH PLAN,DEA,"1188 NORTH EUCLID AVENUE, ANAHEIM, CA 92801",92801,CA,33.850314,-117.941206,ANAHEIM
WALGREEN CO.,DEA,"3446 W BALL ROAD, ANAHEIM, CA 92804",92804,CA,33.8165271,-118.0098462,ANAHEIM
ANCHORAGE NEIGHBORHOOD HEALTH,DEA,"4951 BUSINESS PARK BLVD, STE 106, ANCHORAGE, AK 99503",99503,AK,61.1758891,-149.8877247,ANCHORAGE
PROVIDENCE HEALTH & SERVICES - WASHINGTON,DEA,"3300 PROVIDENCE DRIVE, SUITE 101, ANCHORAGE, AK 99508",99508,AK,,,ANCHORAGE
ALASKA NATIVE MEDICAL CTR,DEA,"PHARMACY SERVICE, 4315 DIPLOMACY DRIVE, ANCHORAGE, AK 99508",99508,AK,61.1827924,-149.8002354,ANCHORAGE
OWENS HEALTHCARE  #3,DEA,"2975 EAST ST, ANDERSON, CA 96007",96007,CA,40.4520198,-122.2987158,ANDERSON
"SOUTH CAROLINA CVS PHARMACY, L.L.C.",DEA,"2814 N MAIN ST., ANDERSON, SC 29621",29621,SC,34.5323196,-82.6632223,ANDERSON
WALGREEN CO.,DEA,"2811 N MAIN ST, ANDERSON, SC 29621",29621,SC,,,ANDERSON
"CVS PHARMACY, INC.",DEA,"68 MAIN STREET, ANDOVER, MA 01810",01810,MA,42.6550938,-71.1391992,ANDOVER
USAF 779TH MDG PHARMACY,DEA,"1060 W. PERIMETER ROAD, ANDREWS AIR FORCE BASE, MD 20762",20762,MD,,,ANDREWS AIR FORCE BASE
"GRX HOLDINGS, LLC DBA MEDICAP PHARMACY",DEA,"107 NE DELAWARE AVENUE, STE. 6, ANKENY, IA 50021",50021,IA,41.7323901,-93.58053009999999,ANKENY
WALGREEN CO.,DEA,"901 N ANKENY BLVD, ANKENY, IA 50023",50023,IA,41.7391465,-93.59907349999999,ANKENY
ANKENY MEDICAL PARK PHARMACY,DEA,"3625 N ANKENY BLVD, SUITE A, ANKENY, IA 50023",50023,IA,41.7554363,-93.5995342,ANKENY
VETERANS ADMINISTRATION MEDICAL CENTER,DEA,"PHARMACY SERVICES, 2215 FULLER ROAD, ANN ARBOR, MI 48105",48105,MI,42.286416,-83.71511389999999,ANN ARBOR
UNIVERSITY OF MICHIGAN,DEA,"207 FLETCHER STREET, ANN ARBOR, MI 48109",48109,MI,42.2798023,-83.7366856,ANN ARBOR
WALGREEN CO.,DEA,"4300 BACKLICK RD, ANNANDALE, VA 22003",22003,VA,38.8305735,-77.1951996,ANNANDALE
USN- NAVAL MEDICAL CLINIC,DEA,"695 KINKAID ROAD, PHARMACY DEPT., ANNAPOLIS, MD 21402",21402,MD,38.9933373,-76.4674173,ANNAPOLIS
USN- NAVAL BRANCH HEALTH CLINIC BANCROFT HALL,DEA,"101 BUCHANAN ROAD, ANNAPOLIS, MD 21402",21402,MD,38.9811631,-76.48502470000001,ANNAPOLIS
GOODRICH PHARMACY INC.,DEA,"601 JACOB LANE, ANOKA, MN 55303",55303,MN,45.2071531,-93.4014299,ANOKA
KAISER PERMANENTE PHRMCY #571,DEA,"KFHP DEER VALLEY MOB1, 5601 DEER VALLEY ROAD, ANTIOCH, CA 94531",94531,CA,,,ANTIOCH
WALGREEN CO.,DEA,"511 W WILLIAMS ST, APEX, NC 27502",27502,NC,35.7352608,-78.8635602,APEX
"HOLIDAY CVS, L.L.C.",DEA,"65 E MAIN ST, APOPKA, FL 32703",32703,FL,28.6737593,-81.50992579999999,APOPKA
HEALTHPARTNERS APPLE VALLEY,DEA,"PHARMACY, 15290 PENNOCK LANE, APPLE VALLEY, MN 55124",55124,MN,,,APPLE VALLEY
WALGREEN CO.,DEA,"15250 CEDAR AVE, APPLE VALLEY, MN 55124",55124,MN,44.7286051,-93.2169978,APPLE VALLEY
WALGREEN CO.,DEA,"729 W. NORTHLAND AVE., APPLETON, WI 54914",54914,WI,44.286581,-88.4172557,APPLETON
FRANKS PHARMACY,DEA,"7548 SOQUEL DR, APTOS, CA 95003",95003,CA,36.9815901,-121.9098488,APTOS
"GARFIELD BEACH CVS, L.L.C.",DEA,"1401 S.  BALDWIN AVE., ARCADIA, CA 91007",91007,CA,34.1236316,-118.0565723,ARCADIA
UNITED INDIAN HEALTH SERVICES,DEA,"1600 WEEOT WAY, ARCATA, CA 95521",95521,CA,,,ARCATA
BENGAL PHARMACY - ARCO,DEA,"REMOTE PHARMACY, 551 HIGHLAND DR, ARCO, ID 83213",83213,ID,,,ARCO
WALGREEN CO.,DEA,"9750 WOODMAN AVENUE, ARLETA, CA 91331",91331,CA,34.2482198,-118.448125,ARLETA
RAY'S TOWN NORTH PHARMACY,DEA,"975 N COOPER STREET, ARLINGTON, TX 76011",76011,TX,,,ARLINGTON
ALLIED PHARMACY SERVICES,DEA,"JERRY W. JACKSON, 801 STADIUM DRIVE, #111, ARLINGTON, TX 76011",76011,TX,,,ARLINGTON
KVG ENTERPRISES INC,DEA,"RANDOL MILL PHARMACY, 1014 NORTH FIELDER ROAD, ARLINGTON, TX 76012",76012,TX,32.749311,-97.13231499999999,ARLINGTON
WALGREEN CO.,DEA,"3400 MATLOCK RD, ARLINGTON, TX 76015",76015,TX,32.690411,-97.1155564,ARLINGTON
ARLINGTON PHARMACY,DEA,"DUSKIN CORY, 540  N WEST AVENUE, ARLINGTON, WA 98223",98223,WA,,,ARLINGTON
KAISER FOUNDATION HEALTH PLAN OF COLORADO,DEA,"HIDDEN LAKE PHARMACY, 7701 SHERIDAN BLVD, ARVADA, CO 80003",80003,CO,39.83708379999999,-105.053953,ARVADA
"GARFIELD BEACH CVS, L.L.C.",DEA,"505 BEAR MOUNTAIN BLVD, SUITE B, ARVIN, CA 93203",93203,CA,35.2087084,-118.8299608,ARVIN
KAISER PERM ASHBURN PHARMACY,DEA,"43480 YUKON DRIVE SUITE 100, ASHBURN, VA 20147",20147,VA,39.0084997,-77.4929251,ASHBURN
WALGREEN CO.,DEA,"207 N FAYETTEVILLE ST, ASHEBORO, NC 27203",27203,NC,35.7082349,-79.8143152,ASHEBORO
DUGGINS HOLDINGS LLC,DEA,"363 SUNSET AVENUE, ASHEBORO, NC 27203",27203,NC,35.7056401,-79.8186458,ASHEBORO
WALGREEN CO.,DEA,"1835 HENDERSONVILLE ROAD, ASHEVILLE, NC 28803",28803,NC,35.5026455,-82.5243488,ASHEVILLE
"NORTH CAROLINA CVS PHARMACY, L.L.C.",DEA,"505 SMOKEY PARK HWY., ASHEVILLE, NC 28806",28806,NC,35.5542278,-82.6427862,ASHEVILLE
CLAY COUNTY HOSPITAL,DEA,"83825 HWY 9, PO BOX 1270, ASHLAND, AL 36251",36251,AL,33.2774347,-85.82207919999999,ASHLAND
CONCEPT MEDICAL,DEA,"639 CHESTNUT STREET, ASHLAND, PA 17921",17921,PA,40.7832012,-76.3411703,ASHLAND
WHITE DRUG #66,DEA,"109 W. MAIN STREET, P.O. BOX 329, ASHLEY, ND 58413",58413,ND,,,ASHLEY
SIGNATURE HEALTH INC,DEA,"4726 MAIN AVE, ASHTABULA, OH 44004",44004,OH,41.8640274,-80.7822642,ASHTABULA
STONEWALL MEMORIAL HOSPITAL,DEA,"821 N BROADWAY, P O BOX C, ASPERMONT, TX 79502",79502,TX,33.1505578,-100.2290849,ASPERMONT
COLUMBIA MEMORIAL HOSPITAL,DEA,"2111 EXCHANGE ST, ASTORIA, OR 97103",97103,OR,46.18826749999999,-123.8191412,ASTORIA
WALGREEN CO.,DEA,"8005 EL CAMINO REAL, ATASCADERO, CA 93422",93422,CA,,,ATASCADERO
KOECHNER PHARMACIES LLC,DEA,"807 MAIN STREET, ATCHISON, KS 66002",66002,KS,39.5610829,-95.1241017,ATCHISON
ATCHISON HOSPITAL ASSOCIATION,DEA,"800 RAVEN HILL DRIVE, ATCHISON, KS 66002",66002,KS,39.5366253,-95.12823859999999,ATCHISON
KAISER PERMANENTE ATHENS,DEA,"2142 W. BROAD STREET, BUILDING 200, ATHENS, GA 30606",30606,GA,33.9510313,-83.4064674,ATHENS
WALGREEN CO.,DEA,"1302 S CONGRESS PARKWAY, ATHENS, TN 37303",37303,TN,35.4523114,-84.6228364,ATHENS
AHF PHARMACY,DEA,"1858 CHESHIRE BRIDGE ROAD NE, ATLANTA, GA 30324",30324,GA,33.8098232,-84.36190599999999,ATLANTA
KAISER PERMANENTE GLENLAKE MED OFFICE,DEA,"GLENLAKE MEDICAL OFFICE PHCY., 20 GLENLAKE PARKWAY, ATLANTA, GA 30328",30328,GA,33.9379005,-84.3607104,ATLANTA
WALGREEN CO.,DEA,"3740 CASCADE RD SW, ATLANTA, GA 30331",30331,GA,33.7305741,-84.5694011,ATLANTA
KAISER PERMANENTE CUMBERLAND,DEA,"CUMBERLAND MED OFFICE PHARMACY, 2525 CUMBERLAND PARKWAY, ATLANTA, GA 30339",30339,GA,33.8670702,-84.4773829,ATLANTA
KAISER PERMANENTE SANDY SPRINGS PHARMACY,DEA,"1100 LAKE HEARN DRIVE NE, ATLANTA, GA 30342",30342,GA,33.913106,-84.3500194,ATLANTA
THUNDER BAY PHARMACY,DEA,"11899 M-32, PO BOX 850, ATLANTA, MI 49709",49709,MI,45.0067623,-84.155258,ATLANTA
BAYSHORE PHARMACY,DEA,"2 BAYSHORE PLAZA, HWY 36, ATLANTIC HIGHLANDS, NJ 07716",07716,NJ,40.4091349,-74.0418662,ATLANTIC HIGHLANDS
REX PHARMACY INC,DEA,"507 CHESTNUT STREET, ATLANTIC, IA 50022",50022,IA,41.405955,-95.013134,ATLANTIC
DAVIS DRUGS LLC,DEA,"300 SOUTH PERRY STREET, ATTICA, IN 47918",47918,IN,40.2926628,-87.2500409,ATTICA
HARRY'S PHARMACY,DEA,"620 E JACKSON STREET, AUBURN, IL 62615",62615,IL,39.5892468,-89.7359195,AUBURN
"WALGREEN EASTERN CO., INC.",DEA,"150 GRANT AVENUE, AUBURN, NY 13021",13021,NY,42.9442621,-76.5497051,AUBURN
HEALTHPOINT AUBURN PHARMACY,DEA,"126  AUBURN  AVENUE, SUITE  104, AUBURN, WA 98002",98002,WA,,,AUBURN
HEALTHPOINT AUBURN NORTH PHARMACY,DEA,"923 AUBURN WAY N, AUBURN, WA 98002",98002,WA,47.3170684,-122.2224551,AUBURN
MUCKLESHOOT HWC PHARMACY,DEA,"17500 SE 392ND ST, AUBURN, WA 98092",98092,WA,47.250809,-122.107849,AUBURN
WALGREEN CO.,DEA,"501 HAVENDALE BLVD, AUBURNDALE, FL 33823",33823,FL,,,AUBURNDALE
"OHM PHARMACY SERVICES ,INC",DEA,"301 HAVENDALE BLVD, AUBURNDALE, FL 33823",33823,FL,28.0567679,-81.7801155,AUBURNDALE
SHOPKO PHARMACY #2683,DEA,"109 N MARKET ST, AUDUBON, IA 50025",50025,IA,41.7229767,-94.9367183,AUDUBON
US ARMY-CONNELLY HEALTH CLINIC PHARMACY,DEA,"29709 B STREET, BUILDING T ROOM 104, AUGUSTA, GA 30905",30905,GA,33.4245377,-82.1384087,AUGUSTA
WALGREEN CO.,DEA,"3204 PEACH ORCHARD ROAD, AUGUSTA, GA 30906",30906,GA,33.4084,-82.0262192,AUGUSTA
ELDER-CARE PHARMACY-AUGUSTA,DEA,"4315 BELAIR FRONTAGE ROAD, AUGUSTA, GA 30909",30909,GA,33.4830878,-82.1271556,AUGUSTA
AU MEDICAL CENTER INPATIENT PHARMACY,DEA,"1120 15TH STREET, ROOM BI-2101, AUGUSTA, GA 30912",30912,GA,33.4712295,-81.9899367,AUGUSTA
USAF- 460TH PHARMACY,DEA,"BLDG 7, 317 N TELLURIDE ST, AURORA, CO 80011",80011,CO,39.7234467,-104.7815462,AURORA
WALGREEN CO.,DEA,"12051 E MISSISSIPPI AVE, AURORA, CO 80012",80012,CO,39.6971803,-104.8478993,AURORA
WALGREEN CO.,DEA,"1221 N LAKE STREET, AURORA, IL 60506",60506,IL,,,AURORA
TECHNI MED INC,DEA,"340 MARSHALL AVENUE, UNIT 100, AURORA, IL 60506",60506,IL,41.7555176,-88.3283563,AURORA
KAISER PERMANENTE WEST COBB,DEA,"3640 TRAMORE POINT PARKWAY, ATTN: PHARMACY, AUSTELL, GA 30106",30106,GA,33.8647715,-84.62456619999999,AUSTELL
FORTY ACRES PHARMACY,DEA,"100-F W. DEAN KEETON, ROOM 1.110, AUSTIN, TX 78712",78712,TX,30.289884,-97.7387446,AUSTIN
WALGREEN CO.,DEA,"9801 MANCHACA RD., AUSTIN, TX 78748",78748,TX,,,AUSTIN
WALGREEN CO.,DEA,"4501 GUADALUPE ST., AUSTIN, TX 78751",78751,TX,30.3110172,-97.73250589999999,AUSTIN
WALGREEN CO.,DEA,"11724 RESEARCH BLVD., AUSTIN, TX 78759",78759,TX,30.4194054,-97.7479495,AUSTIN
"YOUNG'S PHARMACY & GENERAL STORE, LLC",DEA,"1636 BURDEN LAKE ROAD, AVERILL PARK, NY 12018",12018,NY,42.634248,-73.5539585,AVERILL PARK
IU HEALTH WEST HOSPITAL,DEA,"INPATIENT PHARMACY, 1111 N. RONALD REAGAN PARKWAY, AVON, IN 46123",46123,IN,39.7820219,-86.3416554,AVON
"INDIANA UNIVERSITY HEALTH, INC",DEA,"1111 N. RONALD REAGAN PKWY, AVON, IN 46123",46123,IN,39.779959,-86.3401688,AVON
THRIFTY WHITE PHARMACY #746,DEA,"31 N MAIN, PO BOX F, BAGLEY, MN 56621",56621,MN,,,BAGLEY
SAGEBRUSH MEDICAL PLAZA PHY,DEA,"1111 COLUMBUS ST., SUITE 2000, BAKERSFIELD, CA 93305",93305,CA,35.3966153,-118.9822709,BAKERSFIELD
KERN MEDICAL CENTER CAMPUS,DEA,"PHARMACY, 2014 COLLEGE AVENUE, BAKERSFIELD, CA 93305",93305,CA,,,BAKERSFIELD
YOUR DRUG STORE INC,DEA,"DBA-YOUR DRUG STORE, 2303 NILES POINT, BAKERSFIELD, CA 93306",93306,CA,35.3752173,-118.9663994,BAKERSFIELD
NORTH CHESTER PHARMACY,DEA,"1822 NORTH CHESTER AVE, BAKERSFIELD, CA 93308",93308,CA,35.4230167,-119.0208208,BAKERSFIELD
KAISER FOUNDATION HEALTH PLAN,DEA,"DBA KAISER PERMANENTE PHARMACY, 3501 STOCKDALE HIGHWAY, BAKERSFIELD, CA 93309",93309,CA,,,BAKERSFIELD
WALGREEN CO.,DEA,"9550 HAGEMAN ROAD, BAKERSFIELD, CA 93312",93312,CA,,,BAKERSFIELD
KAISER FOUNDATION HLTH PLN,DEA,"1011 BALDWIN PARK BLVD, 2ND FLOOR, BALDWIN PARK, CA 91706",91706,CA,,,BALDWIN PARK
FAMILY HEALTH CARE PHARMACY,DEA,"1615 MICHIGAN AVE, BALDWIN, MI 49304",49304,MI,43.904013,-85.8522933,BALDWIN
THE JOHNS HOPKINS HOSPITAL,DEA,"AT MONUMENT STREET, 1810 E. MONUMENT STREET, BALTIMORE, MD 21205",21205,MD,,,BALTIMORE
"DRUG CITY PHARMACY, LLC",DEA,"2805 NORTH POINT RD, BALTIMORE, MD 21222",21222,MD,39.2791121,-76.4896242,BALTIMORE
WALGREEN CO.,DEA,"4020 EASTERN AVENUE, BALTIMORE, MD 21224",21224,MD,39.2872041,-76.5628218,BALTIMORE
"JOHNS HOPKINS BAYVIEW MED CTR, INC",DEA,"4940 EASTERN AVENUE, BMO BUILDING, ROOM 01-0154, BALTIMORE, MD 21224",21224,MD,39.2901077,-76.5468294,BALTIMORE
THE JOHNS HOPKINS HOSPITAL,DEA,"401 NORTH BROADWAY, SUITE 1001, BALTIMORE, MD 21231",21231,MD,39.2959411,-76.5932752,BALTIMORE
WALGREEN CO.,DEA,"9616 HARFORD ROAD, BALTIMORE, MD 21234",21234,MD,39.3953777,-76.5228521,BALTIMORE
THE JOHNS HOPKINS HOSPITAL,DEA,"601 NORTH CAROLINE STREET, SUITE 1006, BALTIMORE, MD 21287",21287,MD,39.2969618,-76.59524110000001,BALTIMORE
JOHNS HOPKINS OUTPATIENT PHARMACY AT THE ARCADE,DEA,"ZAYED-BLOOMBERG BUILDING, M2125, 1800 ORLEANS STREET, BALTIMORE, MD 21287",21287,MD,,,BALTIMORE
USAF-BARKSDALE AFB,DEA,"2D MDSS/SGSM, 243 CURTISS ROAD, SUITE 101, BARKSDALE AFB, LA 71110",71110,LA,,,BARKSDALE AFB
CHEFFY DRUGS LLC,DEA,"148 EAST MAIN ST, BARNESVILLE, OH 43713",43713,OH,,,BARNESVILLE
BARNESVILLE HOSPITAL ASSN INC,DEA,"639 W MAIN ST, BARNESVILLE, OH 43713",43713,OH,39.993111,-81.1890643,BARNESVILLE
CHRISTIAN PHARMACY,DEA,"DBA CORNER PHARMACY, 102 WEST MAIN ST, BARNESVILLE, OH 43713",43713,OH,39.9877975,-81.1775627,BARNESVILLE
"PHS, SSMH - PHARMACY",DEA,"7000 UULA STREET, PO BOX 29, BARROW, AK 99723",99723,AK,71.2989367,-156.7286143,BARROW
"PHARMACY PLUS, INC.",DEA,"693 BAINBRIDGE ST, BARRY, IL 62312",62312,IL,39.6946091,-91.0401413,BARRY
WALGREEN CO.,DEA,"6697 STAGE ROAD, BARTLETT, TN 38134",38134,TN,,,BARTLETT
CLERMONT MERCY HOSPITAL,DEA,"3000 HOSPITAL DRIVE, BATAVIA, OH 45103",45103,OH,39.0799246,-84.1446679,BATAVIA
"MARGARET MARY COMMUNITY HOSPITAL, INC",DEA,"ATTN PHARMACY, 321 MITCHELL AVENUE, BATESVILLE, IN 47006",47006,IN,39.30518,-85.2226479,BATESVILLE
"WALGREEN LOUISIANA CO., INC.",DEA,"3550 GOVERNMENT ST, BATON ROUGE, LA 70806",70806,LA,30.4439036,-91.1532916,BATON ROUGE
AIDS HEALTHCARE FOUNDATION DBA AHF PHARMACY,DEA,"4890 BLUEBONNET BLVD., BATON ROUGE, LA 70809",70809,LA,30.40699069999999,-91.08057199999999,BATON ROUGE
"WALGREEN LOUISIANA CO., INC.",DEA,"4747 S SHERWOOD FOREST, BATON ROUGE, LA 70816",70816,LA,30.4106587,-91.0508687,BATON ROUGE
FAMILY PHARMACY & GIFTS LLC,DEA,"13707 COURSEY BLVD. STE B, BATON ROUGE, LA 70817",70817,LA,,,BATON ROUGE
BRONSON BATTLE CREEK OUTPATIENT PHARMACY,DEA,"363 FREMONT ST., SUITE 111, BATTLE CREEK, MI 49017",49017,MI,42.3311997,-85.17872659999999,BATTLE CREEK
NOBLE DRUG,DEA,"111 N MAIN AVE, PO BOX 848, BAUDETTE, MN 56623",56623,MN,,,BAUDETTE
ESSENTIA HEALTH BAXTER PHARMACY,DEA,"13060 ISLE DR, BAXTER, MN 56425",56425,MN,46.3384355,-94.25563439999999,BAXTER
