address,googleMapsUrl_x,lat,lng,name_x,postal_x,source_x,state_x,source_date_x,name_y,state_y,postal_y,googleMapsUrl_y,source_y,source_date_y,_merge
"1701 NORTH MILLS AVENUE, ORLANDO, FL 32803",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C1701%20NORTH%20MILLS%20AVENUE%2C+ORLANDO%2C+FL+32803,28.566934999999997,-81.36444,AIDS HEALTHCARE FOUNDATION,32803.0,DEA,FL,Dec2018,,,,,,,left_only
"2 SHIRCLIFF WAY, SUITE 900, JACKSONVILLE, FL 32204",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C2%20SHIRCLIFF%20WAY%2C+JACKSONVILLE%2C+FL+32204,30.3071989,-81.68987220000002,AIDS HEALTHCARE FOUNDATION,32204.0,DEA,FL,Dec2018,,,,,,,left_only
"2097 WILTON DR, WILTON MANORS, FL 33305",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C2097%20WILTON%20DR%2C+WILTON%20MANORS%2C+FL+33305,26.154255,-80.14005999999998,AIDS HEALTHCARE FOUNDATION,33305.0,DEA,FL,Dec2018,,,,,,,left_only
"2900 N. BISCAYNE BLVD., MIAMI, FL 33137",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C2900%20N.%20BISCAYNE%20BLVD.%2C+MIAMI%2C+FL+33137,25.80432,-80.18938,AIDS HEALTHCARE FOUNDATION,33137.0,DEA,FL,Dec2018,,,,,,,left_only
"3135 SR 580, SUITE 1, SAFETY HARBOR, FL 34695",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C3135%20SR%20580%2C+SAFETY%20HARBOR%2C+FL+34695,28.0243335,-82.707072,AIDS HEALTHCARE FOUNDATION,34695.0,DEA,FL,Dec2018,,,,,,,left_only
"3400 26TH AVE S, ST PETERSBURG, FL 33711",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C3400%2026TH%20AVE%20S%2C+ST%20PETERSBURG%2C+FL+33711,27.744691999999997,-82.679436,AIDS HEALTHCARE FOUNDATION,33711.0,DEA,FL,Dec2018,,,,,,,left_only
"475 ATLANTIC AVE, BROOKLYN, NY 11217",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C475%20ATLANTIC%20AVE%2C+BROOKLYN%2C+NY+11217,40.685825,-73.98195,AIDS HEALTHCARE FOUNDATION,11217.0,DEA,NY,Dec2018,,,,,,,left_only
"6405 N. FEDERAL HIGHWAY, #205, FT LAUDERDALE, FL 33308",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C6405%20N.%20FEDERAL%20HIGHWAY%2C+FT%20LAUDERDALE%2C+FL+33308,26.20681,-80.108086,AIDS HEALTHCARE FOUNDATION,33308.0,DEA,FL,Dec2018,,,,,,,left_only
"700 SE 3RD AVENUE, SUITE 100, FT LAUDERDALE, FL 33316",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C700%20SE%203RD%20AVENUE%2C+FT%20LAUDERDALE%2C+FL+33316,26.113012,-80.140175,AIDS HEALTHCARE FOUNDATION,33316.0,DEA,FL,Dec2018,,,,,,,left_only
"3500 E. PACIFIC COAST HIGHWAY, LONG BEACH, CA 90804",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%20DBA%20AHF%20PHARMACY%2C3500%20E.%20PACIFIC%20COAST%20HIGHWAY%2C+LONG%20BEACH%2C+CA+90804,33.789875,-118.15126000000001,AIDS HEALTHCARE FOUNDATION DBA AHF PHARMACY,90804.0,DEA,CA,Dec2018,,,,,,,left_only
"4071 18TH STR., SAN FRANCISCO, CA 94114",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%20DBA%20AHF%20PHARMACY%2C4071%2018TH%20STR.%2C+SAN%20FRANCISCO%2C+CA+94114,37.760914,-122.43436399999999,AIDS HEALTHCARE FOUNDATION DBA AHF PHARMACY,94114.0,DEA,CA,Dec2018,,,,,,,left_only
"4890 BLUEBONNET BLVD., BATON ROUGE, LA 70809",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%20DBA%20AHF%20PHARMACY%2C4890%20BLUEBONNET%20BLVD.%2C+BATON%20ROUGE%2C+LA+70809,30.403309999999998,-91.08372,AIDS HEALTHCARE FOUNDATION DBA AHF PHARMACY,70809.0,DEA,LA,Dec2018,,,,,,,left_only
"6210 SUNSET BLVD., LOS ANGELES, CA 90028",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%20DBA%20AHF%20PHARMACY%2C6210%20SUNSET%20BLVD.%2C+LOS%20ANGELES%2C+CA+90028,34.09799,-118.325226,AIDS HEALTHCARE FOUNDATION DBA AHF PHARMACY,90028.0,DEA,CA,Dec2018,,,,,,,left_only
"1785 E. SUNRISE BLVD., FORT LAUDERDALE, FL 33304",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%20DBA%20AHF%20PHARMACY%2C1785%20E.%20SUNRISE%20BLVD.%2C+FORT%20LAUDERDALE%2C+FL+33304,26.137379,-80.12252,"AIDS HEALTHCARE FOUNDATION, DBA AHF PHARMACY",33304.0,DEA,FL,Dec2018,,,,,,,left_only
"11919 W. SPRAGUE AVENUE, P O BOX 1899, AIRWAY HEIGHTS, WA 99001",http://maps.google.com/maps?q=AIRWAY%20HGHTS%20CORRECTIONS%20CTR%2C11919%20W.%20SPRAGUE%20AVENUE%2C+AIRWAY%20HEIGHTS%2C+WA+99001,47.657276,-117.58006999999999,AIRWAY HGHTS CORRECTIONS CTR,99001.0,DEA,WA,Dec2018,,,,,,,left_only
"2222 MAIN STREET, CAMBRIA, CA 93428",http://maps.google.com/maps?q=ALS%20PHARMACY%20AND%20COMPOUNDING%20CENTER%20INC%2C2222%20MAIN%20STREET%2C+CAMBRIA%2C+CA+93428,35.564034,-121.08243,"AL'S PHARMACY AND COMPOUNDING CENTER, INC.",93428.0,DEA,CA,Dec2018,,,,,,,left_only
"177 N BARLOW, LINCOLN, MI 48742",http://maps.google.com/maps?q=ALCONA%20HEALTH%20CENTER%20PHARMACY%2C177%20N%20BARLOW%2C+LINCOLN%2C+MI+48742,44.66053,-83.403046,ALCONA HEALTH CENTER PHARMACY,48742.0,DEA,MI,Dec2018,,,,,,,left_only
"1185 US 23 NORTH, ALPENA, MI 49707",http://maps.google.com/maps?q=ALCONA%20HEALTH%20CENTER%20PHARMACY%20SERVICES%2C1185%20US%2023%20NORTH%2C+ALPENA%2C+MI+49707,45.0912911,-83.4584597,ALCONA HEALTH CENTER PHARMACY SERVICES,49707.0,DEA,MI,Dec2018,,,,,,,left_only
"13203 BROADWAY, ALDEN, NY 14004",http://maps.google.com/maps?q=ALDEN%20PHARMACY%20INC%2C13203%20BROADWAY%2C+ALDEN%2C+NY+14004,42.900203999999995,-78.49611999999998,ALDEN PHARMACY INC,14004.0,DEA,NY,Dec2018,,,,,,,left_only
"25680 104TH AVE SE, KENT, WA 98030",http://maps.google.com/maps?q=ALEXANDRIA%20DRUGS%20LLC%2C25680%20104TH%20AVE%20SE%2C+KENT%2C+WA+98030,47.372066,-122.2024,ALEXANDRIA DRUGS LLC,98030.0,DEA,WA,Dec2018,,,,,,,left_only
"515 MINOR AVE, SUITE# 120, SEATTLE, WA 98104",http://maps.google.com/maps?q=ALEXANDRIA%20DRUGS%20LLC%2C515%20MINOR%20AVE%2C+SEATTLE%2C+WA+98104,47.606915,-122.32141999999999,"ALEXANDRIA DRUGS, LLC",98104.0,DEA,WA,Dec2018,,,,,,,left_only
"36 N MAIN ST, ALFRED, NY 14802",http://maps.google.com/maps?q=ALFRED%20PHARMACY%2C36%20N%20MAIN%20ST%2C+ALFRED%2C+NY+14802,42.255573,-77.79,ALFRED PHARMACY,14802.0,DEA,NY,Dec2018,,,,,,,left_only
"133 PARK STREET, MALONE, NY 12953",http://maps.google.com/maps?q=ALICE%20HYDE%20MEDICAL%20CENTER%2C133%20PARK%20STREET%2C+MALONE%2C+NY+12953,44.856834,-74.29198000000002,ALICE HYDE MEDICAL CENTER,12953.0,DEA,NY,Dec2018,,,,,,,left_only
"10132 WEST 76TH STREET, EDEN PRAIRIE, MN 55344",http://maps.google.com/maps?q=ALIXA%20RX%20LLC%2C10132%20WEST%2076TH%20STREET%2C+EDEN%20PRAIRIE%2C+MN+55344,44.86614,-93.406425,ALIXA RX LLC,55344.0,DEA,MN,Dec2018,,,,,,,left_only
"902 SOUTH 6TH STREET, COUNCIL BLUFFS, IA 51501",http://maps.google.com/maps?q=ALL%20CARE%20HEALTH%20CENTER%2C902%20SOUTH%206TH%20STREET%2C+COUNCIL%20BLUFFS%2C+IA+51501,41.253338,-95.85305,ALL CARE HEALTH CENTER,51501.0,DEA,IA,Dec2018,,,,,,,left_only
"331 MAIN STREET, SALINAS, CA 93901",http://maps.google.com/maps?q=ALLCARE%20PHARMACY%2C331%20MAIN%20STREET%2C+SALINAS%2C+CA+93901,36.67285,-121.65465,ALLCARE PHARMACY,93901.0,DEA,CA,Dec2018,,,,,,,left_only
"146 WEST DALE ST, STE 103, WATERLOO, IA 50703",http://maps.google.com/maps?q=ALLEN%20CLINIC%20PHARMACY%2C146%20WEST%20DALE%20ST%2C+WATERLOO%2C+IA+50703,42.525776,-92.34022,ALLEN CLINIC PHARMACY,50703.0,DEA,IA,Dec2018,,,,,,,left_only
"9397 CROWN CREST BLVD, STE 101, PARKER, CO 80138",http://maps.google.com/maps?q=ALLHEALTH%20NETWORK%20PHARMACY%20AT%20PARKER%2C9397%20CROWN%20CREST%20BLVD%2C+PARKER%2C+CO+80138,39.548378,-104.76929399999999,ALLHEALTH NETWORK PHARMACY AT PARKER,80138.0,DEA,CO,Dec2018,,,,,,,left_only
"1245 HIGHLAND AVE, ABINGTON, PA 19001",http://maps.google.com/maps?q=ALLIANCE%20PHARMACY%20CO%2C1245%20HIGHLAND%20AVE%2C+ABINGTON%2C+PA+19001,40.118996,-75.12223,ALLIANCE PHARMACY CO,19001.0,DEA,PA,Dec2018,,,,,,,left_only
"110 W. MAIN ST., CAMPBELLSPORT, WI 53010",http://maps.google.com/maps?q=ALMOATASIM%20LLC%2C110%20W.%20MAIN%20ST.%2C+CAMPBELLSPORT%2C+WI+53010,43.59816,-88.28548,"ALMOATASIM, LLC",53010.0,DEA,WI,Dec2018,,,,,,,left_only
"DBA NORTHLAND MEDICAL BLDG., 20905 GREENFIELD ROAD, SOUTHFIELD, MI 48075",http://maps.google.com/maps?q=ALPHARM%20CORPORATION%2CDBA%20NORTHLAND%20MEDICAL%20BLDG.%2C+SOUTHFIELD%2C+MI+48075,42.46,-83.21,ALPHARM CORPORATION,48075.0,DEA,MI,Dec2018,,,,,,,left_only
"6475 HIGHWAY 93 SOUTH, WHITEFISH, MT 59937",http://maps.google.com/maps?q=ALPINE%20APOTHECARY%2C6475%20HIGHWAY%2093%20SOUTH%2C+WHITEFISH%2C+MT+59937,48.394659999999995,-114.333767,ALPINE APOTHECARY,59937.0,DEA,MT,Dec2018,,,,,,,left_only
"1380 COLUMBIA RD S, GRAND FORKS, ND 58201",http://maps.google.com/maps?q=ALTRU%20CLINIC%20PHARMACY%20%20FAMILY%20MED%20CTR%20INC%2C1380%20COLUMBIA%20RD%20S%2C+GRAND%20FORKS%2C+ND+58201,47.9078599,-97.068138,ALTRU CLINIC PHARMACY - FAMILY MED CTR INC,58201.0,DEA,ND,Dec2018,,,,,,,left_only
"1200 SOUTH COLUMBIA ROAD, GRAND FORKS, ND 58201",http://maps.google.com/maps?q=ALTRU%20HEALTH%20SYSTEM%2C1200%20SOUTH%20COLUMBIA%20ROAD%2C+GRAND%20FORKS%2C+ND+58201,47.910194,-97.066475,ALTRU HEALTH SYSTEM,58201.0,DEA,ND,Dec2018,,,,,,,left_only
"1855 ALUM ROCK AVE SUITE A, SAN JOSE, CA 95116",http://maps.google.com/maps?q=ALUM%20ROCK%20PHARMACY%20INC%2C1855%20ALUM%20ROCK%20AVE%20SUITE%20A%2C+SAN%20JOSE%2C+CA+95116,37.354134,-121.85278000000001,ALUM ROCK PHARMACY INC,95116.0,DEA,CA,Dec2018,,,,,,,left_only
"1381 UNIVERSITY ST SUITE A, HEALDSBURG, CA 95448",http://maps.google.com/maps?q=AMC%20COMMUNITY%20PHARMACY%2C1381%20UNIVERSITY%20ST%20SUITE%20A%2C+HEALDSBURG%2C+CA+95448,38.627026,-122.863754,AMC COMMUNITY PHARMACY,95448.0,DEA,CA,Dec2018,,,,,,,left_only
"750 E LONG ST, SUITE 3100, COLUMBUS, OH 43203",http://maps.google.com/maps?q=AMC%20OHIO%20LLC%20DBA%20EQUITAS%20HEALTH%20PHARMACY%2C750%20E%20LONG%20ST%2C+COLUMBUS%2C+OH+43203,39.967240000000004,-82.98135,"AMC OHIO LLC, DBA EQUITAS HEALTH PHARMACY #3",43203.0,DEA,OH,Dec2018,,,,,,,left_only
"2503 E 54TH ST. N, SIOUX FALLS, SD 57104",http://maps.google.com/maps?q=AMERIPHARM%20INC%2C2503%20E%2054TH%20ST.%20N%2C+SIOUX%20FALLS%2C+SD+57104,43.594696,-96.71699,"AMERIPHARM, INC",57104.0,DEA,SD,Dec2018,,,,,,,left_only
"265 E GRIFFIN ST, AMERY, WI 54001",http://maps.google.com/maps?q=AMERY%20REGIONAL%20MEDICAL%20CENTER%2C265%20E%20GRIFFIN%20ST%2C+AMERY%2C+WI+54001,45.2968696,-92.36109609999998,AMERY REGIONAL MEDICAL CENTER,54001.0,DEA,WI,Dec2018,,,,,,,left_only
"5001 NW 34TH BLVD SUITE B, GAINESVILLE, FL 32605",http://maps.google.com/maps?q=ANDERSONSCOKELEE%20INC%2C5001%20NW%2034TH%20BLVD%20SUITE%20B%2C+GAINESVILLE%2C+FL+32605,29.700609999999998,-82.37291,"ANDERSON-SCOKELEE, INC",32605.0,DEA,FL,Dec2018,,,,,,,left_only
"495 DUNLOP LANE, SUITE 106, CLARKSVILLE, TN 37040",http://maps.google.com/maps?q=ANESTHESIA%20SERVICES%20ASSOCIATES%20PLLC%2C495%20DUNLOP%20LANE%2C+CLARKSVILLE%2C+TN+37040,36.58062,-87.27658000000002,"ANESTHESIA SERVICES ASSOCIATES, PLLC",37040.0,DEA,TN,Dec2018,,,,,,,left_only
"3625 N ANKENY BLVD, SUITE A, ANKENY, IA 50023",http://maps.google.com/maps?q=ANKENY%20MEDICAL%20PARK%20PHARMACY%2C3625%20N%20ANKENY%20BLVD%2C+ANKENY%2C+IA+50023,41.75543629999999,-93.59953420000001,ANKENY MEDICAL PARK PHARMACY,50023.0,DEA,IA,Dec2018,,,,,,,left_only
"6 W. MICHIGAN AVE, YPSILANTI, MI 48197",http://maps.google.com/maps?q=ANN%20ARBOR%20PROFESSIONAL%20PHARMACY%2C6%20W.%20MICHIGAN%20AVE%2C+YPSILANTI%2C+MI+48197,42.24106,-83.61206,ANN ARBOR PROFESSIONAL PHARMACY,48197.0,DEA,MI,Dec2018,,,,,,,left_only
"DBA MEDICINE SHOPPE OF NEW SMY, 1141 N DIXIE FREEWAY, NEW SMYRNA BEACH, FL 32168",http://maps.google.com/maps?q=APB%20%20J%20CORP%2CDBA%20MEDICINE%20SHOPPE%20OF%20NEW%20SMY%2C+NEW%20SMYRNA%20BEACH%2C+FL+32168,29.0431289,-80.9337124,APB & J CORP,32168.0,DEA,FL,Dec2018,,,,,,,left_only
"82 MAIN STREET, PO BOX 919, MEADVILLE, MS 39653",http://maps.google.com/maps?q=APOTHECARELLC%2C82%20MAIN%20STREET%2C+MEADVILLE%2C+MS+39653,31.472545,-90.89228299999999,"APOTHECARE,LLC",39653.0,DEA,MS,Dec2018,,,,,,,left_only
"1040 NW 22ND AVE, STE 100, PORTLAND, OR 97210",http://maps.google.com/maps?q=APOTHECARY%20AT%20GOOD%20SAMARITAN%2C1040%20NW%2022ND%20AVE%2C+PORTLAND%2C+OR+97210,45.530125,-122.69657,APOTHECARY AT GOOD SAMARITAN,97210.0,DEA,OR,Dec2018,,,,,,,left_only
"2121 N.E. 139TH STREET, SUITE 310, VANCOUVER, WA 98686",http://maps.google.com/maps?q=APOTHECARY%20AT%20SALMON%20CREEK%2C2121%20N.E.%20139TH%20STREET%2C+VANCOUVER%2C+WA+98686,45.721848,-122.65,APOTHECARY AT SALMON CREEK,98686.0,DEA,WA,Dec2018,,,,,,,left_only
"207 EAST MAIN STREET, REMINGTON, VA 22734",http://maps.google.com/maps?q=APOTHECARY%20SOLUTIONS%20LLC%2C207%20EAST%20MAIN%20STREET%2C+REMINGTON%2C+VA+22734,38.5331843,-77.80704159999998,APOTHECARY SOLUTIONS LLC,22734.0,DEA,VA,Dec2018,,,,,,,left_only
"DUSKIN CORY, 540 N WEST AVENUE, ARLINGTON, WA 98223",http://maps.google.com/maps?q=ARLINGTON%20PHARMACY%2CDUSKIN%20CORY%2C+ARLINGTON%2C+WA+98223,48.198271999999996,-122.12863999999999,ARLINGTON PHARMACY,98223.0,DEA,WA,Dec2018,,,,,,,left_only
"3700 NORTH CAPITOL ST, NW, SHERMAN BLDG, ROOM 103, WASHINGTON, DC 20011",http://maps.google.com/maps?q=ARMED%20FORCES%20RETIREMENT%20HOME%2C3700%20NORTH%20CAPITOL%20ST%2C%20NW%2C+WASHINGTON%2C+DC+20011,38.94275,-77.007975,ARMED FORCES RETIREMENT HOME,20011.0,DEA,DC,Dec2018,,,,,,,left_only
"3650 W ARMITAGE AVE, STE 100, CHICAGO, IL 60647",http://maps.google.com/maps?q=ARMITAGE%20PHARMACY%20INC%2C3650%20W%20ARMITAGE%20AVE%2C+CHICAGO%2C+IL+60647,41.91728,-87.71839,"ARMITAGE PHARMACY, INC.",60647.0,DEA,IL,Dec2018,,,,,,,left_only
"1725 TIMBER LINE ROAD, MAUMEE, OH 43537",http://maps.google.com/maps?q=ARROWHEAD%20BEHAVIORAL%20HEALTH%2C1725%20TIMBER%20LINE%20ROAD%2C+MAUMEE%2C+OH+43537,41.58951,-83.68744000000002,ARROWHEAD BEHAVIORAL HEALTH,43537.0,DEA,OH,Dec2018,,,,,,,left_only
"1446 LEE BLVD, LEHIGH ACRES, FL 33936",http://maps.google.com/maps?q=ARTH%20LLC%2C1446%20%20LEE%20BLVD%2C+LEHIGH%20ACRES%2C+FL+33936,26.6143507,-81.6562556,ARTH LLC,33936.0,DEA,FL,Dec2018,,,,,,,left_only
"PRINCETON PLAZA PHARMACY, 1800 MERCY DRIVE, ORLANDO, FL 32808",http://maps.google.com/maps?q=ASPIRE%20HEALTH%20PARTNERS%20INC%2CPRINCETON%20PLAZA%20PHARMACY%2C+ORLANDO%2C+FL+32808,28.56,-81.43,"ASPIRE HEALTH PARTNERS, INC.",32808.0,DEA,FL,Dec2018,,,,,,,left_only
"1400 WEST ICE LAKE ROAD, IRON RIVER, MI 49935",http://maps.google.com/maps?q=ASPIRUS%20IRON%20RIVER%20HOSPITAL%20%20CLINICS%20INC%2C1400%20WEST%20ICE%20LAKE%20ROAD%2C+IRON%20RIVER%2C+MI+49935,46.099841,-88.61967299999998,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",49935.0,DEA,MI,Dec2018,,,,,,,left_only
"PHARMACY, 1601 STATE AVE NW, OWATONNA, MN 55060",http://maps.google.com/maps?q=ASTRUP%20DRUG%20INC%2CPHARMACY%2C+OWATONNA%2C+MN+55060,44.0884391,-93.2306349,ASTRUP DRUG INC,55060.0,DEA,MN,Dec2018,,,,,,,left_only
"800 RAVEN HILL DRIVE, ATCHISON, KS 66002",http://maps.google.com/maps?q=ATCHISON%20HOSPITAL%20ASSOCIATION%2C800%20RAVEN%20HILL%20DRIVE%2C+ATCHISON%2C+KS+66002,39.5366253,-95.12823859999999,ATCHISON HOSPITAL ASSOCIATION,66002.0,DEA,KS,Dec2018,,,,,,,left_only
"260 WEST MAIN STREET, SUITE 217, HENDERSONVILLE, TN 37075",http://maps.google.com/maps?q=ATRIUM%20PHARMACY%2C260%20WEST%20MAIN%20STREET%2C+HENDERSONVILLE%2C+TN+37075,36.30515,-86.61848,ATRIUM PHARMACY,37075.0,DEA,TN,Dec2018,,,,,,,left_only
"155 KINGSLEY LANE, STE 125, NORFOLK, VA 23505",http://maps.google.com/maps?q=ATRIUM%20PHARMACY%20AT%20DEPAUL%2C155%20KINGSLEY%20LANE%2C+NORFOLK%2C+VA+23505,36.8983,-76.28130999999998,ATRIUM PHARMACY AT DEPAUL,23505.0,DEA,VA,Dec2018,,,,,,,left_only
"2565 HORIZON LAKE BLVD., STE. 113, MEMPHIS, TN 38133",http://maps.google.com/maps?q=ATRIUM%20PHARMACY%20MEMPHIS%2C2565%20HORIZON%20LAKE%20BLVD.%2C+MEMPHIS%2C+TN+38133,35.19536,-89.79706999999998,ATRIUM PHARMACY MEMPHIS,38133.0,DEA,TN,Dec2018,,,,,,,left_only
"1120 15TH STREET, ROOM BI-2101, AUGUSTA, GA 30912",http://maps.google.com/maps?q=AU%20MEDICAL%20CENTER%20INPATIENT%20PHARMACY%2C1120%2015TH%20STREET%2C%20ROOM%20BI-2101%2C+AUGUSTA%2C+GA+30912,33.4712295,-81.98993670000002,AU MEDICAL CENTER INPATIENT PHARMACY,30912.0,DEA,GA,Dec2018,,,,,,,left_only
"1011 BAPTISTE DRIVE, PAOLA, KS 66071",http://maps.google.com/maps?q=AUBURN%20PHARMACY%20INC%2C1011%20BAPTISTE%20DRIVE%2C+PAOLA%2C+KS+66071,38.57659,-94.86831,AUBURN PHARMACY INC,66071.0,DEA,KS,Dec2018,,,,,,,left_only
