Business Name,Address 1,Address 2,"City,State,Zip"
NORTH VALLEY CENTER FOR FAMILY AND COMMUNITY HEALT,3401 N 4TH ST NW,STE 106,"ALBUQUERQUE, NM 87107"
USAF- 377TH MEDICAL GROUP/SGSL,1501 SAN PEDRO DRIVE S.E.,BLDG 47,"ALBUQUERQUE, NM 87108"
UNMH PHARMACY-SOUTHEAST HEIGHTS CLINIC,8200 CENTRAL AV SE,,"ALBUQUERQUE, NM 87108"
WALGREEN CO.,9700 MENAUL BLVD NE,,"ALBUQUERQUE, NM 87112"
"VIDA PHARMACY, LLC","8500 JEFFERSON BLVD. NE, SUITE D",,"ALBUQUERQUE, NM 87113"
WALGREEN CO.,3400 COORS BOULEVARD NW,,"ALBUQUERQUE, NM 87120"
SW MESA CENTER FOR FAMILY AND COMMUNITY HEALTH,301 UNSER BLVD NW,STE 106,"ALBUQUERQUE, NM 87121"
ALDEN PHARMACY INC,13203 BROADWAY,,"ALDEN, NY 14004"
THE MEDICINE SHOPPE,1144 AIRPORT DRIVE,,"ALEXANDER CITY, AL 35010"
THRIFTY WHITE PHARMACY #103,503 THIRD AVENUE EAST #100,,"ALEXANDRIA, MN 56308"
NEIGHBORHOOD PHARMACY OF DEL RAY,2204 MT. VERNON AVE,,"ALEXANDRIA, VA 22301"
WALGREEN CO.,6717 RICHMOND HWY.,,"ALEXANDRIA, VA 22306"
ALFRED PHARMACY,36 N MAIN ST,,"ALFRED, NY 14802"
KRHC FAMILY PHARMACY,1519 SOUTH PHILLIPS,,"ALGONA, IA 50511"
LAKESHORE PHARMACIES INC,DBA ALLEGAN COMMUNITY PHARMACY,115 LOCUST STREET,"ALLEGAN, MI 49010"
"PENNSYLVANIA CVS PHARMACY, L.L.C.",1601 W. LIBERTY STREET,,"ALLENTOWN, PA 18102"
"WALGREEN EASTERN CO., INC.",1702 TILGHMAN,,"ALLENTOWN, PA 18104"
EXPRESS CARE PHARMACY,1727 W LIBERTY STREET,UNIT 2,"ALLENTOWN, PA 18104"
MIDMICHIGAN MEDICAL CENTER - ALPENA,1501 W. CHISHOLM ST.,,"ALPENA, MI 49707"
ALCONA HEALTH CENTER PHARMACY SERVICES,1185 US 23 NORTH,,"ALPENA, MI 49707"
OSF HEALTHCARE SYSTEM D/B/A ST. ANTHONY'S HEALTH C,#1 SAINT ANTHONY'S WAY,,"ALTON, IL 62002"
"WALGREEN EASTERN CO., INC.",508 E. PLANK RD.,,"ALTOONA, PA 16602"
USAF ALTUSAFB HOSPITAL,"301 N 1ST STREET,  BLDG 51",,"ALTUS AFB, OK 73523"
GENOA A QOL HEALTHCARE COMPANY LLC,"43 E MAIN STREET, STE 113",,"AMELIA, OH 45102"
INTERMOUNTAIN AMERICAN FORK PHARMACY,98 NORTH 1100 EAST,SUITE 101,"AMERICAN FORK, UT 84003"
AMERY REGIONAL MEDICAL CENTER,265 E GRIFFIN ST,,"AMERY, WI 54001"
NUCARA PHARMACY #28,3600 UNIVERSITY BLVD STE 103,,"AMES, IA 50010"
THE LONG ISLAND HOME,C/O PHARMACY,400 SUNRISE HIGHWAY,"AMITYVILLE, NY 11701"
TETON PHARMACY IN AMMON,"3160 E. 17TH ST., SUITE 164",,"AMMON, ID 83406"
"WALGREEN EASTERN CO., INC.",4999 STATE HIGHWAY 30,,"AMSTERDAM, NY 12010"
KAISER FOUN HEALTH PLAN,1188 NORTH EUCLID AVENUE,,"ANAHEIM, CA 92801"
WALGREEN CO.,3446 W BALL ROAD,,"ANAHEIM, CA 92804"
ANCHORAGE NEIGHBORHOOD HEALTH,4951 BUSINESS PARK BLVD,STE 106,"ANCHORAGE, AK 99503"
PROVIDENCE HEALTH & SERVICES - WASHINGTON,3300 PROVIDENCE DRIVE,SUITE 101,"ANCHORAGE, AK 99508"
ALASKA NATIVE MEDICAL CTR,PHARMACY SERVICE,4315 DIPLOMACY DRIVE,"ANCHORAGE, AK 99508"
OWENS HEALTHCARE  #3,2975 EAST ST,,"ANDERSON, CA 96007"
"SOUTH CAROLINA CVS PHARMACY, L.L.C.",2814 N MAIN ST.,,"ANDERSON, SC 29621"
WALGREEN CO.,2811 N MAIN ST,,"ANDERSON, SC 29621"
"CVS PHARMACY, INC.",68 MAIN STREET,,"ANDOVER, MA 01810"
USAF 779TH MDG PHARMACY,1060 W. PERIMETER ROAD,,"ANDREWS AIR FORCE BASE, MD 20762"
"GRX HOLDINGS, LLC DBA MEDICAP PHARMACY",107 NE DELAWARE AVENUE,STE. 6,"ANKENY, IA 50021"
WALGREEN CO.,901 N ANKENY BLVD,,"ANKENY, IA 50023"
ANKENY MEDICAL PARK PHARMACY,3625 N ANKENY BLVD,SUITE A,"ANKENY, IA 50023"
VETERANS ADMINISTRATION MEDICAL CENTER,PHARMACY SERVICES,2215 FULLER ROAD,"ANN ARBOR, MI 48105"
UNIVERSITY OF MICHIGAN,207 FLETCHER STREET,,"ANN ARBOR, MI 48109"
WALGREEN CO.,4300 BACKLICK RD,,"ANNANDALE, VA 22003"
USN- NAVAL MEDICAL CLINIC,695 KINKAID ROAD,PHARMACY DEPT.,"ANNAPOLIS, MD 21402"
USN- NAVAL BRANCH HEALTH CLINIC BANCROFT HALL,101 BUCHANAN ROAD,,"ANNAPOLIS, MD 21402"
GOODRICH PHARMACY INC.,601 JACOB LANE,,"ANOKA, MN 55303"
KAISER PERMANENTE PHRMCY #571,KFHP DEER VALLEY MOB1,5601 DEER VALLEY ROAD,"ANTIOCH, CA 94531"
WALGREEN CO.,511 W WILLIAMS ST,,"APEX, NC 27502"
"HOLIDAY CVS, L.L.C.",65 E MAIN ST,,"APOPKA, FL 32703"
HEALTHPARTNERS APPLE VALLEY,PHARMACY,15290 PENNOCK LANE,"APPLE VALLEY, MN 55124"
WALGREEN CO.,15250 CEDAR AVE,,"APPLE VALLEY, MN 55124"
WALGREEN CO.,729 W. NORTHLAND AVE.,,"APPLETON, WI 54914"
FRANKS PHARMACY,7548 SOQUEL DR,,"APTOS, CA 95003"
"GARFIELD BEACH CVS, L.L.C.",1401 S.  BALDWIN AVE.,,"ARCADIA, CA 91007"
UNITED INDIAN HEALTH SERVICES,1600 WEEOT WAY,,"ARCATA, CA 95521"
BENGAL PHARMACY - ARCO,REMOTE PHARMACY,551 HIGHLAND DR,"ARCO, ID 83213"
WALGREEN CO.,9750 WOODMAN AVENUE,,"ARLETA, CA 91331"
RAY'S TOWN NORTH PHARMACY,975 N COOPER STREET,,"ARLINGTON, TX 76011"
ALLIED PHARMACY SERVICES,JERRY W. JACKSON,"801 STADIUM DRIVE, #111","ARLINGTON, TX 76011"
KVG ENTERPRISES INC,RANDOL MILL PHARMACY,1014 NORTH FIELDER ROAD,"ARLINGTON, TX 76012"
WALGREEN CO.,3400 MATLOCK RD,,"ARLINGTON, TX 76015"
ARLINGTON PHARMACY,DUSKIN CORY,540  N WEST AVENUE,"ARLINGTON, WA 98223"
KAISER FOUNDATION HEALTH PLAN OF COLORADO,HIDDEN LAKE PHARMACY,7701 SHERIDAN BLVD,"ARVADA, CO 80003"
"GARFIELD BEACH CVS, L.L.C.","505 BEAR MOUNTAIN BLVD, SUITE B",,"ARVIN, CA 93203"
KAISER PERM ASHBURN PHARMACY,43480 YUKON DRIVE SUITE 100,,"ASHBURN, VA 20147"
WALGREEN CO.,207 N FAYETTEVILLE ST,,"ASHEBORO, NC 27203"
DUGGINS HOLDINGS LLC,363 SUNSET AVENUE,,"ASHEBORO, NC 27203"
WALGREEN CO.,1835 HENDERSONVILLE ROAD,,"ASHEVILLE, NC 28803"
"NORTH CAROLINA CVS PHARMACY, L.L.C.",505 SMOKEY PARK HWY.,,"ASHEVILLE, NC 28806"
CLAY COUNTY HOSPITAL,83825 HWY 9,PO BOX 1270,"ASHLAND, AL 36251"
CONCEPT MEDICAL,639 CHESTNUT STREET,,"ASHLAND, PA 17921"
WHITE DRUG #66,109 W. MAIN STREET,P.O. BOX 329,"ASHLEY, ND 58413"
SIGNATURE HEALTH INC,4726 MAIN AVE,,"ASHTABULA, OH 44004"
STONEWALL MEMORIAL HOSPITAL,821 N BROADWAY,P O BOX C,"ASPERMONT, TX 79502"
COLUMBIA MEMORIAL HOSPITAL,2111 EXCHANGE ST,,"ASTORIA, OR 97103"
WALGREEN CO.,8005 EL CAMINO REAL,,"ATASCADERO, CA 93422"
KOECHNER PHARMACIES LLC,807 MAIN STREET,,"ATCHISON, KS 66002"
ATCHISON HOSPITAL ASSOCIATION,800 RAVEN HILL DRIVE,,"ATCHISON, KS 66002"
KAISER PERMANENTE ATHENS,"2142 W. BROAD STREET, BUILDING 200",,"ATHENS, GA 30606"
WALGREEN CO.,1302 S CONGRESS PARKWAY,,"ATHENS, TN 37303"
AHF PHARMACY,1858 CHESHIRE BRIDGE ROAD NE,,"ATLANTA, GA 30324"
KAISER PERMANENTE GLENLAKE MED OFFICE,GLENLAKE MEDICAL OFFICE PHCY.,20 GLENLAKE PARKWAY,"ATLANTA, GA 30328"
WALGREEN CO.,3740 CASCADE RD SW,,"ATLANTA, GA 30331"
KAISER PERMANENTE CUMBERLAND,CUMBERLAND MED OFFICE PHARMACY,2525 CUMBERLAND PARKWAY,"ATLANTA, GA 30339"
KAISER PERMANENTE SANDY SPRINGS PHARMACY,1100 LAKE HEARN DRIVE NE,,"ATLANTA, GA 30342"
THUNDER BAY PHARMACY,11899 M-32,PO BOX 850,"ATLANTA, MI 49709"
BAYSHORE PHARMACY,2 BAYSHORE PLAZA,HWY 36,"ATLANTIC HIGHLANDS, NJ 07716"
REX PHARMACY INC,507 CHESTNUT STREET,,"ATLANTIC, IA 50022"
DAVIS DRUGS LLC,300 SOUTH PERRY STREET,,"ATTICA, IN 47918"
HARRY'S PHARMACY,620 E JACKSON STREET,,"AUBURN, IL 62615"
"WALGREEN EASTERN CO., INC.",150 GRANT AVENUE,,"AUBURN, NY 13021"
HEALTHPOINT AUBURN PHARMACY,126  AUBURN  AVENUE,SUITE  104,"AUBURN, WA 98002"
HEALTHPOINT AUBURN NORTH PHARMACY,923 AUBURN WAY N,,"AUBURN, WA 98002"
MUCKLESHOOT HWC PHARMACY,17500 SE 392ND ST,,"AUBURN, WA 98092"
WALGREEN CO.,501 HAVENDALE BLVD,,"AUBURNDALE, FL 33823"
"OHM PHARMACY SERVICES ,INC",301 HAVENDALE BLVD,,"AUBURNDALE, FL 33823"
SHOPKO PHARMACY #2683,109 N MARKET ST,,"AUDUBON, IA 50025"
US ARMY-CONNELLY HEALTH CLINIC PHARMACY,29709 B STREET,BUILDING T ROOM 104,"AUGUSTA, GA 30905"
WALGREEN CO.,3204 PEACH ORCHARD ROAD,,"AUGUSTA, GA 30906"
ELDER-CARE PHARMACY-AUGUSTA,4315 BELAIR FRONTAGE ROAD,,"AUGUSTA, GA 30909"
AU MEDICAL CENTER INPATIENT PHARMACY,"1120 15TH STREET, ROOM BI-2101",,"AUGUSTA, GA 30912"
USAF- 460TH PHARMACY,BLDG 7,317 N TELLURIDE ST,"AURORA, CO 80011"
WALGREEN CO.,12051 E MISSISSIPPI AVE,,"AURORA, CO 80012"
WALGREEN CO.,1221 N LAKE STREET,,"AURORA, IL 60506"
TECHNI MED INC,340 MARSHALL AVENUE,UNIT 100,"AURORA, IL 60506"
KAISER PERMANENTE WEST COBB,3640 TRAMORE POINT PARKWAY,ATTN: PHARMACY,"AUSTELL, GA 30106"
FORTY ACRES PHARMACY,100-F W. DEAN KEETON,ROOM 1.110,"AUSTIN, TX 78712"
WALGREEN CO.,9801 MANCHACA RD.,,"AUSTIN, TX 78748"
WALGREEN CO.,4501 GUADALUPE ST.,,"AUSTIN, TX 78751"
WALGREEN CO.,11724 RESEARCH BLVD.,,"AUSTIN, TX 78759"
"YOUNG'S PHARMACY & GENERAL STORE, LLC",1636 BURDEN LAKE ROAD,,"AVERILL PARK, NY 12018"
IU HEALTH WEST HOSPITAL,INPATIENT PHARMACY,1111 N. RONALD REAGAN PARKWAY,"AVON, IN 46123"
"INDIANA UNIVERSITY HEALTH, INC",1111 N. RONALD REAGAN PKWY,,"AVON, IN 46123"
THRIFTY WHITE PHARMACY #746,31 N MAIN,PO BOX F,"BAGLEY, MN 56621"
SAGEBRUSH MEDICAL PLAZA PHY,1111 COLUMBUS ST.,SUITE 2000,"BAKERSFIELD, CA 93305"
KERN MEDICAL CENTER CAMPUS,PHARMACY,2014 COLLEGE AVENUE,"BAKERSFIELD, CA 93305"
YOUR DRUG STORE INC,DBA-YOUR DRUG STORE,2303 NILES POINT,"BAKERSFIELD, CA 93306"
NORTH CHESTER PHARMACY,1822 NORTH CHESTER AVE,,"BAKERSFIELD, CA 93308"
KAISER FOUNDATION HEALTH PLAN,DBA KAISER PERMANENTE PHARMACY,3501 STOCKDALE HIGHWAY,"BAKERSFIELD, CA 93309"
WALGREEN CO.,9550 HAGEMAN ROAD,,"BAKERSFIELD, CA 93312"
KAISER FOUNDATION HLTH PLN,1011 BALDWIN PARK BLVD,2ND FLOOR,"BALDWIN PARK, CA 91706"
FAMILY HEALTH CARE PHARMACY,1615 MICHIGAN AVE,,"BALDWIN, MI 49304"
THE JOHNS HOPKINS HOSPITAL,AT MONUMENT STREET,1810 E. MONUMENT STREET,"BALTIMORE, MD 21205"
"DRUG CITY PHARMACY, LLC",2805 NORTH POINT RD,,"BALTIMORE, MD 21222"
WALGREEN CO.,4020 EASTERN AVENUE,,"BALTIMORE, MD 21224"
"JOHNS HOPKINS BAYVIEW MED CTR, INC",4940 EASTERN AVENUE,"BMO BUILDING, ROOM 01-0154","BALTIMORE, MD 21224"
THE JOHNS HOPKINS HOSPITAL,401 NORTH BROADWAY,SUITE 1001,"BALTIMORE, MD 21231"
WALGREEN CO.,9616 HARFORD ROAD,,"BALTIMORE, MD 21234"
THE JOHNS HOPKINS HOSPITAL,601 NORTH CAROLINE STREET,SUITE 1006,"BALTIMORE, MD 21287"
JOHNS HOPKINS OUTPATIENT PHARMACY AT THE ARCADE,"ZAYED-BLOOMBERG BUILDING, M2125",1800 ORLEANS STREET,"BALTIMORE, MD 21287"
USAF-BARKSDALE AFB,2D MDSS/SGSM,"243 CURTISS ROAD, SUITE 101","BARKSDALE AFB, LA 71110"
CHEFFY DRUGS LLC,148 EAST MAIN ST,,"BARNESVILLE, OH 43713"
BARNESVILLE HOSPITAL ASSN INC,639 W MAIN ST,,"BARNESVILLE, OH 43713"
CHRISTIAN PHARMACY,DBA CORNER PHARMACY,102 WEST MAIN ST,"BARNESVILLE, OH 43713"
"PHS, SSMH - PHARMACY",7000 UULA STREET,PO BOX 29,"BARROW, AK 99723"
"PHARMACY PLUS, INC.",693 BAINBRIDGE ST,,"BARRY, IL 62312"
WALGREEN CO.,6697 STAGE ROAD,,"BARTLETT, TN 38134"
CLERMONT MERCY HOSPITAL,3000 HOSPITAL DRIVE,,"BATAVIA, OH 45103"
"MARGARET MARY COMMUNITY HOSPITAL, INC",ATTN PHARMACY,321 MITCHELL AVENUE,"BATESVILLE, IN 47006"
"WALGREEN LOUISIANA CO., INC.",3550 GOVERNMENT ST,,"BATON ROUGE, LA 70806"
AIDS HEALTHCARE FOUNDATION DBA AHF PHARMACY,4890 BLUEBONNET BLVD.,,"BATON ROUGE, LA 70809"
"WALGREEN LOUISIANA CO., INC.",4747 S SHERWOOD FOREST,,"BATON ROUGE, LA 70816"
FAMILY PHARMACY & GIFTS LLC,13707 COURSEY BLVD. STE B,,"BATON ROUGE, LA 70817"
BRONSON BATTLE CREEK OUTPATIENT PHARMACY,363 FREMONT ST.,SUITE 111,"BATTLE CREEK, MI 49017"
NOBLE DRUG,111 N MAIN AVE,PO BOX 848,"BAUDETTE, MN 56623"
ESSENTIA HEALTH BAXTER PHARMACY,13060 ISLE DR,,"BAXTER, MN 56425"
MCLAREN DRUG SHOP-AMB,200 SOUTH WENONA STREET,,"BAY CITY, MI 48706"
MCLAREN DRUG SHOP-WSMM,4175 NORTH EUCLID AVENUE,,"BAY CITY, MI 48706"
MCLAREN DRUG SHOP-BRMC,1900 COLUMBUS AVENUE,,"BAY CITY, MI 48708"
RED CLIFF COMMUNITY HLTH CTR PHARMACY,36745 AIKEN RD.,,"BAYFIELD, WI 54814"
SOUTHSIDE HOSPITAL,PHARMACY DEPARTMENT,301 EAST MAIN STREET,"BAYSHORE, NY 11706"
TELEPHARMACY CONCEPT INC,180 CENTRAL AVE,P.O. 880,"BEACH, ND 58621"
USAF 9MDG/SGSM FM4686,15301 WARREN SHINGLE RD,,"BEALE AFB, CA 95903"
HAPPY HARRY'S INC.,1120 PULASKI HIGHWAY,,"BEAR, DE 19701"
CLABAUGH PHARMACY INC.,501 COURT STREET,,"BEATRICE, NE 68310"
EXPRESS CARE PHARMACY OF OTWAY,708 HIGHWAY 70 EAST OTWAY,,"BEAUFORT, NC 28516"
USN - NAVAL HOSPITAL,ATTENTION: PHARMACY DEPARTMENT,1 PINCKNEY BOULEVARD,"BEAUFORT, SC 29902"
HERITAGE VALLEY PHARMACY,BEAVER CAMPUS/PHARMACY DEPT,1000 DUTCH RIDGE ROAD,"BEAVER, PA 15009"
BEAVER DRUG,98 N MAIN ST,PO BOX 1438,"BEAVER, UT 84713"
KAISER FOUNDATION HEALTH PLAN OF NW,BEAVERTON PHARMACY,4855 SW WESTERN AVENUE,"BEAVERTON, OR 97005"
WALGREEN CO.,14600 SW MURRAY SCHOLLS DR #201,,"BEAVERTON, OR 97007"
BEDFORD DRUG,419 MAIN ST,PO BOX 66,"BEDFORD, IA 50833"
CROWDERS UPTOWN DRUG STORE,631 16TH STREET,P.O. BOX 966,"BEDFORD, IN 47421"
LINCOLN PLAZA PHARMACY LLC,629 LINCOLN AVE,P.O. BOX 966,"BEDFORD, IN 47421"
BELAIR MEDICINES INC,1327 BEL AIR RD,,"BEL AIR, MD 21014"
INDIAN HOSPITAL,CHIEF OF PHARMACY SVCS,"1300 HOSPITAL LOOP, PO BOX 160","BELCOURT, ND 58316"
TRENTON MEDICAL CENTER,DBA: PALMS PHARMACY OF BELL,1830 N MAIN ST,"BELL, FL 32619"
"BELLAIRE PHARMACY, INC",120  NORTH BRIDGE STREET,PO BOX 272,"BELLAIRE, MI 49615"
HARTIG DRUG CO #26,810 12TH ST,,"BELLE PLAINE, IA 52208"
COPPER BEND PHARMACY INC,2900 FRANK SCOTT PARKWAY WEST,SUITE 920-B,"BELLEVILLE, IL 62223"
"BOND DRUG COMPANY OF ILLINOIS, L.L.C.",5890 NORTH BELT WEST,,"BELLEVILLE, IL 62226"
BELLEVILLE PHARMACY,338 WASHINGTON AVE,,"BELLEVILLE, NJ 07109"
CARESITE PHARMACY,4752 SR 655 SUITE A,BIG VALLEY AREA MEDICAL CENTER,"BELLEVILLE, PA 17004"
THE NEBRASKA MEDICAL CENTER BELLEVUE PHARMACY,2510 BELLEVUE MEDICAL CENTER DR,STE 100,"BELLEVUE, NE 68123"
KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,11511 NE 10TH STREET,,"BELLEVUE, WA 98004"
QFC PHARMACY,2636 BELLEVUE WAY NE,,"BELLEVUE, WA 98004"
KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,13451 SE 36TH,,"BELLEVUE, WA 98006"
LAKEMONT PHARMACY LLC,4935 LAKEMONT BLVD SE,SUITE B4,"BELLEVUE, WA 98006"
QFC PHARMACY,3550 128TH SE,,"BELLEVUE, WA 98006"
QFC PHARMACY #874,1510 145 PLACE SE,,"BELLEVUE, WA 98007"
SEATTLE KING COUNTY PUBLIC HEALTH - EASTGATE,14350 SE EASTGATE WAY,,"BELLEVUE, WA 98007"
PHARMACY PLUS,1299 156TH AVE NE #140,,"BELLEVUE, WA 98007"
WALGREEN CO.,9031 ROSECRANS AVE,,"BELLFLOWER, CA 90706"
KAISER FOUNDATION HOSPITALS,9400 EAST ROSECRANS BLVD,RM #0,"BELLFLOWER, CA 90706"
WALGREEN CO.,1070 E SUNSET DRIVE,,"BELLINGHAM, WA 98226"
GREATER FALLS PHARMACY,78 ATKINSON ST,,"BELLOWS FALLS, VT 05101"
THE DRUG STORE,153 HERNDON DRIVE,,"BELLS, TN 38006"
MC LEAN HOSPITAL,PHARMACY DIRECTOR,115 MILL STREET,"BELMONT, MA 02478"
WALGREEN CO.,6802 W WILKINSON BLVD,,"BELMONT, NC 28012"
"NORTH CAROLINA CVS PHARMACY, L.L.C.",6750 WILKINSON BLVD.,,"BELMONT, NC 28012"
BELMONT CO HLTH SERVICES,DBA MORRISTOWN PHCY,66840 BELMONT-MORRISTOWN RD,"BELMONT, OH 43718"
BELOIT HEALTH SYSTEM,1969 WEST HART RD,,"BELOIT, WI 53511"
SANFORD PHARMACY 1611 ANNE ST,1611 ANNE ST NW,,"BEMIDJI, MN 56601"
THRIFTY WHITE PHARMACY #769,2000 PAUL BUNYAN DRIVE NW,,"BEMIDJI, MN 56601"
ST. CHARLES HEALTH SYSTEM INC,2500 NE NEFF RD,,"BEND, OR 97701"
SOUTHWESTERN VERMONT MEDICAL CENTER,100 HOSPITAL DRIVE,,"BENNINGTON, VT 05201"
UNIV OF CAL,"TANG CENTER, 2222 BANCROFT WAY",ROOM 1115,"BERKELEY, CA 94720"
BERMUDA RUN PHARMACY,329 NC HWY 801 NORTH,PLAZA I,"BERMUDA RUN, NC 27006"
WALGREEN CO.,7113 CERMAK RD,,"BERWYN, IL 60402"
WALGREEN CO.,1815 9TH AVE NORTH,,"BESSEMER, AL 35020"
DON COODY PHARMACY,7530 NW 23RD ST,,"BETHANY, OK 73008"
WRNMMC-WALTER REED NATIONAL MILITARY MEDICAL CENTE,PHARMACY DEPT BLDG 9,8901 WISCONSIN AVE,"BETHESDA, MD 20889"
KING KULLEN PHARMACIES CORP,KING KULLEN PHARMACY #46,598 STEWART AVENUE,"BETHPAGE, NY 11714"
BEULAH DRUG,147 WEST MAIN STREET,,"BEULAH, ND 58523"
"CVS PHARMACY, INC.",19 DODGE ST.,,"BEVERLY, MA 01915"
BEVERLY HOSPITAL,C/O PHARMACY DEPT,85 HERRICK ST,"BEVERLY, MA 01915"
USAF - KEESLER AFB MAIN PHARMACY,301 FISHER ST BLDG 0468,,"BILOXI, MS 39534"
"CLCRESSLER, INC",1179 VESTAL AVE,SUITE 1,"BINGHAMTON, NY 13903"
WALGREEN CO,9325 PARKWAY E,,"BIRMINGHAM, AL 35215"
NORTHERN INYO HOSPITAL,150 PIONEER LANE,,"BISHOP, CA 93514"
THRIFTY WHITE PHARMACY #082,1929 N WASHINGTON STREET,SUITE C,"BISMARCK, ND 58501"
WHITE DRUG,117 N 5TH ST,,"BISMARCK, ND 58501"
SANFORD PHARMACY,HOSPITAL PHARMACY,300 NORTH 7TH ST,"BISMARCK, ND 58501"
GATEWAY HEALTH MART PHARMACY SUNRISE,3103 YORKTOWN DRIVE,SUITE #2,"BISMARCK, ND 58503"
GATEWAY HEALTH MART PHARMACY NORTH,3101 NORTH 11TH STREET STE#2,,"BISMARCK, ND 58503"
GATEWAY HEALTH MART PHARMACY SOUTH,835 S. WASHINGTON ST STE#2,,"BISMARCK, ND 58504"
THRIFTY WHITE PHARMACY #083,1140 E BISMARCK EXPY,,"BISMARCK, ND 58504"
ST ALEXIUS MEDICAL CENTER,900 E BROADWAY AVE,BOX 5510,"BISMARCK, ND 58506"
BLANCO PHARMACY & WELLNESS,316 PECAN ST,PO BOX 369,"BLANCO, TX 78606"
BLUE MOUNTAIN PHARMACY,802 SOUTH 200 WEST,,"BLANDING, UT 84511"
SHOPKO PHARMACY #2684,106 SMITH ST,,"BLOOMFIELD, IA 52537"
ST JOSEPH'S HOSPITAL MEDICAL,2200 E WASHINGTON,,"BLOOMINGTON, IL 61701"
"BOND DRUG COMPANY OF ILLINOIS, L.L.C.",1525 N VETERANS PKWY,,"BLOOMINGTON, IL 61704"
GEISINGER-BLOOMSBURG HOSPITAL PHARMACY,549 E FAIR STREET,,"BLOOMSBURG, PA 17815"
THE MEDICINE SHOPPE,1000 S MARKET STREET,,"BLOOMSBURG, PA 17815"
BLOUNTSTOWN DRUG INC,20370 CENTRAL AVE W,,"BLOUNTSTOWN, FL 32424"
GREAT RIVER MEDICAL CENTER,1520 N. DIVISION,PO BOX 108,"BLYTHEVILLE, AR 72315"
WALGREEN CO.,7295 MARKET ST.,,"BOARDMAN, OH 44512"
ST. ELIZABETH BOARDMAN HOSPITAL,8401 MARKET STREET,,"BOARDMAN, OH 44512"
WALGREEN CO.,21880 STATE ROAD 7,,"BOCA RATON, FL 33428"
"HOLIDAY CVS, L.L.C.",9940 YAMATO RD.,,"BOCA RATON, FL 33434"
WALGREEN CO.,3681 BOILING SPRINGS ROAD,,"BOILING SPRINGS, SC 29316"
ID STATE VETERANS HOME-BOISE,320 COLLINS RD,,"BOISE, ID 83702"
WALGREEN CO.,8100 W FAIRVIEW AVE.,,"BOISE, ID 83704"
