,Business Name,Address 1,Address 2,"City, State Zip",Map URL
44,KELLY'S PHARMACY INC.,34 HOPE PLAZA,,"WEST COXSACKIE, NY 12192",http://maps.google.com/maps?q=KELLYS%20PHARMACY%20INC%2C34%20HOPE%20PLAZA%2C+WEST%20COXSACKIE%2C+NY+12192
45,KELLY'S PHARMACY INC.,4852 RT 81,PO BOX 422,"GREENVILLE, NY 12083",http://maps.google.com/maps?q=KELLYS%20PHARMACY%20INC%2C4852%20RT%2081%2C+GREENVILLE%2C+NY+12083
46,LAKES REGION GENERAL HOSPITAL,80 HIGHLAND STREET,,"LACONIA, NH 03246",http://maps.google.com/maps?q=LAKES%20REGION%20GENERAL%20HOSPITAL%2C80%20HIGHLAND%20STREET%2C+LACONIA%2C+NH+03246
47,LAKESIDE PHARMACY INC,242 PEARL ST,,"BURLINGTON, VT 05401",http://maps.google.com/maps?q=LAKESIDE%20PHARMACY%20INC%2C242%20PEARL%20ST%2C+BURLINGTON%2C+VT+05401
48,LUDLOW PHARMACY INC.,57 POND ST,,"LUDLOW, VT 05149",http://maps.google.com/maps?q=LUDLOW%20PHARMACY%20INC%2C57%20POND%20ST%2C+LUDLOW%2C+VT+05149
49,MARBLE WORKS PHARMACY,187 MAIN STREET,,"VERGENNES, VT 05491",http://maps.google.com/maps?q=MARBLE%20WORKS%20PHARMACY%2C187%20MAIN%20STREET%2C+VERGENNES%2C+VT+05491
50,MARBLE WORKS PHARMACY,61 PINE STREET,SUITE 401,"BRISTOL, VT 05443",http://maps.google.com/maps?q=MARBLE%20WORKS%20PHARMACY%2C61%20PINE%20STREET%2C+BRISTOL%2C+VT+05443
51,MARBLE WORKS PHARMACY,99 MAPLE ST,STE 19,"MIDDLEBURY, VT 05753",http://maps.google.com/maps?q=MARBLE%20WORKS%20PHARMACY%2C99%20MAPLE%20ST%2C+MIDDLEBURY%2C+VT+05753
52,MARRA'S PHARMACY,217 REMSEN STREET,PO BOX 229,"COHOES, NY 12047",http://maps.google.com/maps?q=MARRAS%20PHARMACY%2C217%20REMSEN%20STREET%2C+COHOES%2C+NY+12047
53,"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",1400 ALTAMONT AVE,,"SCHENECTADY, NY 12303",http://maps.google.com/maps?q=MARTINS%20FOODS%20OF%20SOUTH%20BURLINGTON%20LLC%2C1400%20ALTAMONT%20AVE%2C+SCHENECTADY%2C+NY+12303
54,"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",2967 ROUTE 9,,"VALATIE, NY 12184",http://maps.google.com/maps?q=MARTINS%20FOODS%20OF%20SOUTH%20BURLINGTON%20LLC%2C2967%20ROUTE%209%2C+VALATIE%2C+NY+12184
55,NASHUA HOSPITAL ASSOC,8 PROSPECT ST,BOX 2014,"NASHUA, NH 03061",http://maps.google.com/maps?q=NASHUA%20HOSPITAL%20ASSOC%2C8%20PROSPECT%20ST%2C+NASHUA%2C+NH+03061
56,NASSAU PHARMACY INC,3541 US ROUTE 20,,"NASSAU, NY 12123",http://maps.google.com/maps?q=NASSAU%20PHARMACY%20INC%2C3541%20US%20ROUTE%2020%2C+NASSAU%2C+NY+12123
57,NORTH COUNTRY HOSPITAL AND,189 PROUTY DRIVE,,"NEWPORT, VT 05855",http://maps.google.com/maps?q=NORTH%20COUNTRY%20HOSPITAL%20AND%2C189%20PROUTY%20DRIVE%2C+NEWPORT%2C+VT+05855
58,NORTHEASTERN VT REG HOSP INC,HOSPITAL DRIVE,,"ST JOHNSBURY, VT 05819",http://maps.google.com/maps?q=NORTHEASTERN%20VT%20REG%20HOSP%20INC%2CHOSPITAL%20DRIVE%2C+ST%20JOHNSBURY%2C+VT+05819
59,"NORTHWESTERN MEDICAL CTR, INC",133 FAIRFIELD STREET,,"ST ALBANS, VT 05478",http://maps.google.com/maps?q=NORTHWESTERN%20MEDICAL%20CTR%20INC%2C133%20FAIRFIELD%20STREET%2C+ST%20ALBANS%2C+VT+05478
60,PORTER HOSPITAL,C/O DIRECTOR OF PHARMACY,115 PORTER DRIVE,"MIDDLEBURY, VT 05753",http://maps.google.com/maps?q=PORTER%20HOSPITAL%2CC/O%20DIRECTOR%20OF%20PHARMACY%2C+MIDDLEBURY%2C+VT+05753
61,REDINGTON-FAIRVIEW GEN HOSP,"46 FAIRVIEW AVENUE, PO BOX 468",,"SKOWHEGAN, ME 04976",http://maps.google.com/maps?q=REDINGTONFAIRVIEW%20GEN%20HOSP%2C46%20FAIRVIEW%20AVENUE%2C%20PO%20BOX%20468%2C+SKOWHEGAN%2C+ME+04976
62,RICHFORD HEALTH CENTER INC,44 MAIN STREET,SUITE 201,"RICHFORD, VT 05476",http://maps.google.com/maps?q=RICHFORD%20HEALTH%20CENTER%20INC%2C44%20MAIN%20STREET%2C+RICHFORD%2C+VT+05476
63,RUTLAND REGIONAL MEDICAL CTR,160 ALLEN ST ATTN PHARM DEPT,,"RUTLAND, VT 05701",http://maps.google.com/maps?q=RUTLAND%20REGIONAL%20MEDICAL%20CTR%2C160%20ALLEN%20ST%20ATTN%20PHARM%20DEPT%2C+RUTLAND%2C+VT+05701
64,SAINT JOSEPH'S HOSPITAL,ATTN PHARMACY,172 KINSLEY ST,"NASHUA, NH 03060",http://maps.google.com/maps?q=SAINT%20JOSEPHS%20HOSPITAL%2CATTN%20PHARMACY%2C+NASHUA%2C+NH+03060
65,SARATOGA HOSPITAL THE,211 CHURCH STREET,,"SARATOGA SPRINGS, NY 12866",http://maps.google.com/maps?q=SARATOGA%20HOSPITAL%20THE%2C211%20CHURCH%20STREET%2C+SARATOGA%20SPRINGS%2C+NY+12866
66,SAUGERTIES PHARMACY LLC,250 MAIN ST,,"SAUGERTIES, NY 12477",http://maps.google.com/maps?q=SAUGERTIES%20PHARMACY%20LLC%2C250%20MAIN%20ST%2C+SAUGERTIES%2C+NY+12477
67,SOUTH HERO PHARMACY LLC,330-334 ROUTE 2,,"SOUTH HERO, VT 05486",http://maps.google.com/maps?q=SOUTH%20HERO%20PHARMACY%20LLC%2C330-334%20ROUTE%202%2C+SOUTH%20HERO%2C+VT+05486
68,SOUTHWESTERN VERMONT MEDICAL CENTER,100 HOSPITAL DRIVE,,"BENNINGTON, VT 05201",http://maps.google.com/maps?q=SOUTHWESTERN%20VERMONT%20MEDICAL%20CENTER%2C100%20HOSPITAL%20DRIVE%2C+BENNINGTON%2C+VT+05201
69,SPRINGFIELD PHARMACY INC,262 RIVER STREET,,"SPRINGFIELD, VT 05156",http://maps.google.com/maps?q=SPRINGFIELD%20PHARMACY%20INC%2C262%20RIVER%20STREET%2C+SPRINGFIELD%2C+VT+05156
70,STONE'S PHARMACY INC,BRIDGE & MAIN STREETS,,"LAKE LUZERNE, NY 12846",http://maps.google.com/maps?q=STONES%20PHARMACY%20INC%2CBRIDGE%20&%20MAIN%20STREETS%2C+LAKE%20LUZERNE%2C+NY+12846
71,T C FLYNN PHARMACY,173 ELM ST,,"PITTSFIELD, MA 01201",http://maps.google.com/maps?q=T%20C%20FLYNN%20PHARMACY%2C173%20ELM%20ST%2C+PITTSFIELD%2C+MA+01201
72,"THE PHARMACY - NORTHSHIRE, LLC",34 WAYS LANE,,"MANCHESTER CENTER, VT 05255",http://maps.google.com/maps?q=THE%20PHARMACY%20%20NORTHSHIRE%20LLC%2C34%20WAYS%20LANE%2C+MANCHESTER%20CENTER%2C+VT+05255
73,UNIVERSITY OF VERMONT MEDICAL CENTER,1 SOUTH PROSPECT STREET,,"BURLINGTON, VT 05401",http://maps.google.com/maps?q=UNIVERSITY%20OF%20VERMONT%20MEDICAL%20CENTER%2C1%20SOUTH%20PROSPECT%20STREET%2C+BURLINGTON%2C+VT+05401
74,UNIVERSITY OF VERMONT MEDICAL CENTER,111 COLCHESTER AVENUE,,"BURLINGTON, VT 05401",http://maps.google.com/maps?q=UNIVERSITY%20OF%20VERMONT%20MEDICAL%20CENTER%2C111%20COLCHESTER%20AVENUE%2C+BURLINGTON%2C+VT+05401
75,UNIVERSITY OF VERMONT MEDICAL CENTER,792 COLLEGE PARKWAY SUITE 103,,"COLCHESTER, VT 05446",http://maps.google.com/maps?q=UNIVERSITY%20OF%20VERMONT%20MEDICAL%20CENTER%2C792%20COLLEGE%20PARKWAY%20SUITE%20103%2C+COLCHESTER%2C+VT+05446
76,USN- NAVAL BRANCH HEALTH CLINIC SARATOGA SPRINGS,"ONE WEST AVE, SUITE 230",,"SARATOGA SPRINGS, NY 12866",http://maps.google.com/maps?q=USN%20NAVAL%20BRANCH%20HEALTH%20CLINIC%20SARATOGA%20SPRINGS%2CONE%20WEST%20AVE%2C%20SUITE%20230%2C+SARATOGA%20SPRINGS%2C+NY+12866
77,VERMONT FAMILY PHARMACY INC,1219 NORTH AVENUE,,"BURLINGTON, VT 05408",http://maps.google.com/maps?q=VERMONT%20FAMILY%20PHARMACY%20INC%2C1219%20NORTH%20AVENUE%2C+BURLINGTON%2C+VT+05408
78,"WALGREEN EASTERN CO., INC.",104 S MAIN STREET,,"ROCHESTER, NH 03867",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C104%20S%20MAIN%20STREET%2C+ROCHESTER%2C+NH+03867
79,"WALGREEN EASTERN CO., INC.",283 MAIN ST,,"NASHUA, NH 03060",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C283%20MAIN%20ST%2C+NASHUA%2C+NH+03060
80,"WALGREEN EASTERN CO., INC.",3 AIRPORT RD,,"WEST LEBANON, NH 03784",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C3%20AIRPORT%20RD%2C+WEST%20LEBANON%2C+NH+03784
81,"WALGREEN EASTERN CO., INC.",320 PARK AVE,,"WORCESTER, MA 01610",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C320%20PARK%20AVE%2C+WORCESTER%2C+MA+01610
82,"WALGREEN EASTERN CO., INC.",440 WEST ST,,"KEENE, NH 03431",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C440%20WEST%20ST%2C+KEENE%2C+NH+03431
83,"WALGREEN EASTERN CO., INC.",4999 STATE HIGHWAY 30,,"AMSTERDAM, NY 12010",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C4999%20STATE%20HIGHWAY%2030%2C+AMSTERDAM%2C+NY+12010
84,"WALGREEN EASTERN CO., INC.",501 SUMNER AVENUE,,"SPRINGFIELD, MA 01108",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C501%20SUMNER%20AVENUE%2C+SPRINGFIELD%2C+MA+01108
85,"WALGREEN EASTERN CO., INC.",514 FARRELL ST.,,"BURLINGTON, VT 05401",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C514%20FARRELL%20ST.%2C+BURLINGTON%2C+VT+05401
86,"WALGREEN EASTERN CO., INC.",53 PARIS ST,,"NORWAY, ME 04268",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C53%20PARIS%20ST%2C+NORWAY%2C+ME+04268
87,"WESTBOROUGH BEHAVIORAL HEALTHCARE HOSPITAL, LLC",300 FRIBERG PARKWAY,,"WESTBOROUGH, MA 01581",http://maps.google.com/maps?q=WESTBOROUGH%20BEHAVIORAL%20HEALTHCARE%20HOSPITAL%20LLC%2C300%20FRIBERG%20PARKWAY%2C+WESTBOROUGH%2C+MA+01581
88,WILCOX PHARMACY,252 STRATTON ROAD,,"RUTLAND, VT 05701",http://maps.google.com/maps?q=WILCOX%20PHARMACY%2C252%20STRATTON%20ROAD%2C+RUTLAND%2C+VT+05701
89,"YOUNG'S PHARMACY & GENERAL STORE, LLC",1636 BURDEN LAKE ROAD,,"AVERILL PARK, NY 12018",http://maps.google.com/maps?q=YOUNGS%20PHARMACY%20%20GENERAL%20STORE%20LLC%2C1636%20BURDEN%20LAKE%20ROAD%2C+AVERILL%20PARK%2C+NY+12018
0,13TH AVENUE PHARMACY INC,5211 13TH AVENUE,,"BROOKLYN, NY 11219",http://maps.google.com/maps?q=TH%20AVENUE%20PHARMACY%20INC%2C5211%2013TH%20AVENUE%2C+BROOKLYN%2C+NY+11219
2,AIDS HEALTHCARE FOUNDATION,475 ATLANTIC AVE,,"BROOKLYN, NY 11217",http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C475%20ATLANTIC%20AVE%2C+BROOKLYN%2C+NY+11217
3,ALLURE SPECIALTY PHARMACY,4377 BRONX BLVD,,"BRONX, NY 10466",http://maps.google.com/maps?q=ALLURE%20SPECIALTY%20PHARMACY%2C4377%20BRONX%20BLVD%2C+BRONX%2C+NY+10466
4,AMI PHARMACY,4180 BROADWAY,,"NEW YORK, NY 10033",http://maps.google.com/maps?q=AMI%20PHARMACY%2C4180%20BROADWAY%2C+NEW%20YORK%2C+NY+10033
5,ASCAN PHARMACY INC.,101-21 METROPOLITAN AVENUE,,"FOREST HILLS, NY 11375",http://maps.google.com/maps?q=ASCAN%20PHARMACY%20INC%2C101-21%20METROPOLITAN%20AVENUE%2C+FOREST%20HILLS%2C+NY+11375
6,AVIGHNA RX LLC,7 BEDFORD PARK BLVD,,"BRONX, NY 10468",http://maps.google.com/maps?q=AVIGHNA%20RX%20LLC%2C7%20BEDFORD%20PARK%20BLVD%2C+BRONX%2C+NY+10468
7,AVK RX INC.,3904 CHURCH AVE,,"BROOKLYN, NY 11203",http://maps.google.com/maps?q=AVK%20RX%20INC%2C3904%20CHURCH%20AVE%2C+BROOKLYN%2C+NY+11203
8,AVONORA INC.,149-01 UNION TURNPIKE,,"FLUSHING, NY 11367",http://maps.google.com/maps?q=AVONORA%20INC%2C149-01%20UNION%20TURNPIKE%2C+FLUSHING%2C+NY+11367
9,"B & B PHARMACY, INC.",79-08 37TH AVE,,"JACKSON HEIGHTS, NY 11372",http://maps.google.com/maps?q=B%20%20B%20PHARMACY%20INC%2C79-08%2037TH%20AVE%2C+JACKSON%20HEIGHTS%2C+NY+11372
10,BANDSTAND CORPORATION,226 PROSPECT PARK WEST,,"BROOKLYN, NY 11215",http://maps.google.com/maps?q=BANDSTAND%20CORPORATION%2C226%20PROSPECT%20PARK%20WEST%2C+BROOKLYN%2C+NY+11215
11,BARDONIA PHARMACY LLC,301 ROUTE 304,SUITE 4,"BARDONIA, NY 10954",http://maps.google.com/maps?q=BARDONIA%20PHARMACY%20LLC%2C301%20ROUTE%20304%2C+BARDONIA%2C+NY+10954
12,BAYSIDE PHARMACY INC.,221-36 HORACE HARDING EXPRESSWAY,,"OAKLAND GARDENS, NY 11364",http://maps.google.com/maps?q=BAYSIDE%20PHARMACY%20INC%2C221-36%20HORACE%20HARDING%20EXPRESSWAY%2C+OAKLAND%20GARDENS%2C+NY+11364
14,BELLEVILLE PHARMACY,338 WASHINGTON AVE,,"BELLEVILLE, NJ 07109",http://maps.google.com/maps?q=BELLEVILLE%20PHARMACY%2C338%20WASHINGTON%20AVE%2C+BELLEVILLE%2C+NJ+07109
15,BESAEL CORP,DBA OAK PARK PHARMACY,205 PROSPECT PARK WEST,"BROOKLYN, NY 11215",http://maps.google.com/maps?q=BESAEL%20CORP%2CDBA%20OAK%20PARK%20PHARMACY%2C+BROOKLYN%2C+NY+11215
16,"BETH ISRAEL DEACONESS HOSPITAL-PLYMOUTH, INC.",275 SANDWICH STREET,,"PLYMOUTH, MA 02360",http://maps.google.com/maps?q=BETH%20ISRAEL%20DEACONESS%20HOSPITALPLYMOUTH%20INC%2C275%20SANDWICH%20STREET%2C+PLYMOUTH%2C+MA+02360
17,BEVERLY HOSPITAL,C/O PHARMACY DEPT,85 HERRICK ST,"BEVERLY, MA 01915",http://maps.google.com/maps?q=BEVERLY%20HOSPITAL%2CC/O%20PHARMACY%20DEPT%2C+BEVERLY%2C+MA+01915
18,BOSTON MEDICAL CENTER,MENINO CAMPUS,840 HARRISON AVE,"BOSTON, MA 02118",http://maps.google.com/maps?q=BOSTON%20MEDICAL%20CENTER%2CMENINO%20CAMPUS%2C+BOSTON%2C+MA+02118
19,BOSTON MEDICAL CENTER PHARMACY AT SHAPIRO,725 ALBANY STREET,PHARMACY,"BOSTON, MA 02118",http://maps.google.com/maps?q=BOSTON%20MEDICAL%20CENTER%20PHARMACY%20AT%20SHAPIRO%2C725%20ALBANY%20STREET%2C+BOSTON%2C+MA+02118
21,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,DEPT OF PHARMACY TWR L2-504,"BOSTON, MA 02115",http://maps.google.com/maps?q=BRIGHAM%20AND%20WOMENS%20HOSPITAL%2C75%20FRANCIS%20STREET%2C+BOSTON%2C+MA+02115
