name,googleMapsUrl,state,postal,source,address
"CVS ALBANY, L.L.C.",http://maps.google.com/maps?q=CVS%20ALBANY%20LLC%2C839%20RTE%20146%2C+CLIFTON%20PARK%2C+NY+12065,NY,12065,DEA,"839 RTE 146, CLIFTON PARK, NY 12065"
"CVS MANCHESTER NH, L.L.C.",http://maps.google.com/maps?q=CVS%20MANCHESTER%20NH%20LLC%2C242%20MAIN%20STREET%2C+NASHUA%2C+NH+03060,NH,3060,DEA,"242 MAIN STREET, NASHUA, NH 03060"
"CVS MANCHESTER NH, L.L.C.",http://maps.google.com/maps?q=CVS%20MANCHESTER%20NH%20LLC%2C268%20WEST%20ST.%2C+KEENE%2C+NH+03431,NH,3431,DEA,"268 WEST ST., KEENE, NH 03431"
"CVS PHARMACY, INC.",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C115%20STAFFORD%20ST.%2C+WORCESTER%2C+MA+01603,MA,1603,DEA,"115 STAFFORD ST., WORCESTER, MA 01603"
"CVS PHARMACY, INC.",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C137%20FEDERAL%20STREET%2C+GREENFIELD%2C+MA+01301,MA,1301,DEA,"137 FEDERAL STREET, GREENFIELD, MA 01301"
"CVS PHARMACY, INC.",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C1616%20MEMORIAL%20DR.%2C+CHICOPEE%2C+MA+01020,MA,1020,DEA,"1616 MEMORIAL DR., CHICOPEE, MA 01020"
"CVS PHARMACY, INC.",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C197%20BOSTON%20TURNPIKE%20RTE%209%2C+SHREWSBURY%2C+MA+01545,MA,1545,DEA,"197 BOSTON TURNPIKE RTE 9, SHREWSBURY, MA 01545"
"CVS PHARMACY, INC.",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C264%20EAST%20MAIN%20STREET%2C+MARLBORO%2C+MA+01752,MA,1752,DEA,"264 EAST MAIN STREET, MARLBORO, MA 01752"
"CVS PHARMACY, INC.",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C314%20MAIN%20STREET%2C+GARDNER%2C+MA+01440,MA,1440,DEA,"314 MAIN STREET, GARDNER, MA 01440"
"CVS PHARMACY, INC.",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C400%20PARK%20AVE.%2C+WORCESTER%2C+MA+01610,MA,1610,DEA,"400 PARK AVE., WORCESTER, MA 01610"
"CVS PHARMACY, INC.",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C500%20GRAFTON%20STREET%2C+WORCESTER%2C+MA+01604,MA,1604,DEA,"500 GRAFTON STREET, WORCESTER, MA 01604"
"CVS PHARMACY, INC.",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C600%20STATE%20ST%2C+SPRINGFIELD%2C+MA+01109,MA,1109,DEA,"600 STATE ST, SPRINGFIELD, MA 01109"
"CVS PHARMACY, INC.",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C615-621%20BELMONT%20AVENUE%2C+SPRINGFIELD%2C+MA+01108,MA,1108,DEA,"615-621 BELMONT AVENUE, SPRINGFIELD, MA 01108"
"CVS PHARMACY, INC.",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C9%20NELSON%20STREET%2C+LEOMINSTER%2C+MA+01453,MA,1453,DEA,"9 NELSON STREET, LEOMINSTER, MA 01453"
DARTMOUTH HITCHCOCK PHARMACY AT CENTERRA,http://maps.google.com/maps?q=DARTMOUTH%20HITCHCOCK%20PHARMACY%20AT%20CENTERRA%2C12%20CENTERRA%20PARKWAY%2C+LEBANON%2C+NH+03766,NH,3766,DEA,"12 CENTERRA PARKWAY, LEBANON, NH 03766"
DARTMOUTH-HITCHCOCK PHARMACY,http://maps.google.com/maps?q=DARTMOUTHHITCHCOCK%20PHARMACY%2CONE%20MEDICAL%20CENTER%20DRIVE%2C+LEBANON%2C+NH+03756,NH,3756,DEA,"ONE MEDICAL CENTER DRIVE, LEBANON, NH 03756"
DICK HALL'S HOUSE PHARMACY,http://maps.google.com/maps?q=DICK%20HALLS%20HOUSE%20PHARMACY%2C5%20ROPE%20FERRY%20RD.%2C+HANOVER%2C+NH+03755,NH,3755,DEA,"5 ROPE FERRY RD., HANOVER, NH 03755"
ELIZABETHTOWN COMMUNITY HOSP,http://maps.google.com/maps?q=ELIZABETHTOWN%20COMMUNITY%20HOSP%2C75%20PARK%20STREET%2C+ELIZABETHTOWN%2C+NY+12932,NY,12932,DEA,"75 PARK STREET, PO BOX 277, ELIZABETHTOWN, NY 12932"
FIRST COLONY CORP,http://maps.google.com/maps?q=FIRST%20COLONY%20CORP%2CPO%20BOX%2010%2C+NEW%20LONDON%2C+NH+03257,NH,3257,DEA,"PO BOX 10, 82 NEWPORT RD, NEW LONDON, NH 03257"
FORTEEN STAR ENTERPRISES INC,http://maps.google.com/maps?q=FORTEEN%20STAR%20ENTERPRISES%20INC%2C346%20CENTRAL%20AVE%2C+ALBANY%2C+NY+12206,NY,12206,DEA,"346 CENTRAL AVE, ALBANY, NY 12206"
FOUR CORNERS PHARMACY LLC,http://maps.google.com/maps?q=FOUR%20CORNERS%20PHARMACY%20LLC%2C360%20DELAWARE%20AVENUE%2C+DELMAR%2C+NY+12054,NY,12054,DEA,"360 DELAWARE AVENUE, DELMAR, NY 12054"
FRANKLIN MEMORIAL HOSPITAL,http://maps.google.com/maps?q=FRANKLIN%20MEMORIAL%20HOSPITAL%2C111%20FRANKLIN%20HEALTH%20COMMONS%2C+FARMINGTON%2C+ME+04938,ME,4938,DEA,"111 FRANKLIN HEALTH COMMONS, FARMINGTON, ME 04938"
FREDERICK H LANGE INC,http://maps.google.com/maps?q=FREDERICK%20H%20LANGE%20INC%2C2205%20NOTT%20ST%2C+SCHENECTADY%2C+NY+12309,NY,12309,DEA,"2205 NOTT ST, SCHENECTADY, NY 12309"
GAUTHIER'S PHARMACY INC,http://maps.google.com/maps?q=GAUTHIERS%20PHARMACY%20INC%2C415%20RAILROAD%20ST%2C+ST%20JOHNSBURY%2C+VT+05819,VT,5819,DEA,"415 RAILROAD ST, ST JOHNSBURY, VT 05819"
GIFFORD MEMORIAL HOSPITAL INC,http://maps.google.com/maps?q=GIFFORD%20MEMORIAL%20HOSPITAL%20INC%2C44%20SOUTH%20MAIN%20ST%2C+RANDOLPH%2C+VT+05060,VT,5060,DEA,"44 SOUTH MAIN ST, RANDOLPH, VT 05060"
GREATER FALLS PHARMACY,http://maps.google.com/maps?q=GREATER%20FALLS%20PHARMACY%2C78%20ATKINSON%20ST%2C+BELLOWS%20FALLS%2C+VT+05101,VT,5101,DEA,"78 ATKINSON ST, BELLOWS FALLS, VT 05101"
"GUARDIAN PHARMACY OF MAINE, LLC",http://maps.google.com/maps?q=GUARDIAN%20PHARMACY%20OF%20MAINE%20LLC%2C3%20BUSINESS%20PARKWAY%2C%20SUITE%202%2C+BRUNSWICK%2C+ME+04011,ME,4011,DEA,"3 BUSINESS PARKWAY, SUITE 2, BRUNSWICK, ME 04011"
HIGH MOUNTAIN CORPORATION,http://maps.google.com/maps?q=HIGH%20MOUNTAIN%20CORPORATION%2CDBA%20RUTLAND%20PHARMACY%2C+RUTLAND%2C+VT+05701,VT,5701,DEA,"DBA RUTLAND PHARMACY, 75 ALLEN STREET, RUTLAND, VT 05701"
HOLYOKE HEALTH CENTER INC,http://maps.google.com/maps?q=HOLYOKE%20HEALTH%20CENTER%20INC%2C505%20FRONT%20STREET%2C+CHICOPEE%2C+MA+01013,MA,1013,DEA,"505 FRONT STREET, CHICOPEE, MA 01013"
"HOLYOKE HEALTH CENTER, INC.",http://maps.google.com/maps?q=HOLYOKE%20HEALTH%20CENTER%20INC%2CPHARMACY%20DEPARTMENT%2C+HOLYOKE%2C+MA+01040,MA,1040,DEA,"PHARMACY DEPARTMENT, 230 MAPLE STREET, HOLYOKE, MA 01040"
HOTEL PHARMACY,http://maps.google.com/maps?q=HOTEL%20PHARMACY%2C20%20ELLIOT%20ST%2C+BRATTLEBORO%2C+VT+05301,VT,5301,DEA,"20 ELLIOT ST, BRATTLEBORO, VT 05301"
KEESEVILLE PHARMACY INC,http://maps.google.com/maps?q=KEESEVILLE%20PHARMACY%20INC%2C1730%20FRONT%20STREET%2C+KEESEVILLE%2C+NY+12944,NY,12944,DEA,"1730 FRONT STREET, KEESEVILLE, NY 12944"
KELLY'S PHARMACY INC.,http://maps.google.com/maps?q=KELLYS%20PHARMACY%20INC%2C34%20HOPE%20PLAZA%2C+WEST%20COXSACKIE%2C+NY+12192,NY,12192,DEA,"34 HOPE PLAZA, WEST COXSACKIE, NY 12192"
KELLY'S PHARMACY INC.,http://maps.google.com/maps?q=KELLYS%20PHARMACY%20INC%2C4852%20RT%2081%2C+GREENVILLE%2C+NY+12083,NY,12083,DEA,"4852 RT 81, PO BOX 422, GREENVILLE, NY 12083"
LAKES REGION GENERAL HOSPITAL,http://maps.google.com/maps?q=LAKES%20REGION%20GENERAL%20HOSPITAL%2C80%20HIGHLAND%20STREET%2C+LACONIA%2C+NH+03246,NH,3246,DEA,"80 HIGHLAND STREET, LACONIA, NH 03246"
LAKESIDE PHARMACY INC,http://maps.google.com/maps?q=LAKESIDE%20PHARMACY%20INC%2C242%20PEARL%20ST%2C+BURLINGTON%2C+VT+05401,VT,5401,DEA,"242 PEARL ST, BURLINGTON, VT 05401"
LUDLOW PHARMACY INC.,http://maps.google.com/maps?q=LUDLOW%20PHARMACY%20INC%2C57%20POND%20ST%2C+LUDLOW%2C+VT+05149,VT,5149,DEA,"57 POND ST, LUDLOW, VT 05149"
MARBLE WORKS PHARMACY,http://maps.google.com/maps?q=MARBLE%20WORKS%20PHARMACY%2C187%20MAIN%20STREET%2C+VERGENNES%2C+VT+05491,VT,5491,DEA,"187 MAIN STREET, VERGENNES, VT 05491"
MARBLE WORKS PHARMACY,http://maps.google.com/maps?q=MARBLE%20WORKS%20PHARMACY%2C61%20PINE%20STREET%2C+BRISTOL%2C+VT+05443,VT,5443,DEA,"61 PINE STREET, SUITE 401, BRISTOL, VT 05443"
MARBLE WORKS PHARMACY,http://maps.google.com/maps?q=MARBLE%20WORKS%20PHARMACY%2C99%20MAPLE%20ST%2C+MIDDLEBURY%2C+VT+05753,VT,5753,DEA,"99 MAPLE ST, STE 19, MIDDLEBURY, VT 05753"
MARRA'S PHARMACY,http://maps.google.com/maps?q=MARRAS%20PHARMACY%2C217%20REMSEN%20STREET%2C+COHOES%2C+NY+12047,NY,12047,DEA,"217 REMSEN STREET, PO BOX 229, COHOES, NY 12047"
"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",http://maps.google.com/maps?q=MARTINS%20FOODS%20OF%20SOUTH%20BURLINGTON%20LLC%2C1400%20ALTAMONT%20AVE%2C+SCHENECTADY%2C+NY+12303,NY,12303,DEA,"1400 ALTAMONT AVE, SCHENECTADY, NY 12303"
"MARTIN'S FOODS OF SOUTH BURLINGTON, LLC",http://maps.google.com/maps?q=MARTINS%20FOODS%20OF%20SOUTH%20BURLINGTON%20LLC%2C2967%20ROUTE%209%2C+VALATIE%2C+NY+12184,NY,12184,DEA,"2967 ROUTE 9, VALATIE, NY 12184"
NASHUA HOSPITAL ASSOC,http://maps.google.com/maps?q=NASHUA%20HOSPITAL%20ASSOC%2C8%20PROSPECT%20ST%2C+NASHUA%2C+NH+03061,NH,3061,DEA,"8 PROSPECT ST, BOX 2014, NASHUA, NH 03061"
NASSAU PHARMACY INC,http://maps.google.com/maps?q=NASSAU%20PHARMACY%20INC%2C3541%20US%20ROUTE%2020%2C+NASSAU%2C+NY+12123,NY,12123,DEA,"3541 US ROUTE 20, NASSAU, NY 12123"
NORTH COUNTRY HOSPITAL AND,http://maps.google.com/maps?q=NORTH%20COUNTRY%20HOSPITAL%20AND%2C189%20PROUTY%20DRIVE%2C+NEWPORT%2C+VT+05855,VT,5855,DEA,"189 PROUTY DRIVE, NEWPORT, VT 05855"
NORTHEASTERN VT REG HOSP INC,http://maps.google.com/maps?q=NORTHEASTERN%20VT%20REG%20HOSP%20INC%2CHOSPITAL%20DRIVE%2C+ST%20JOHNSBURY%2C+VT+05819,VT,5819,DEA,"HOSPITAL DRIVE, ST JOHNSBURY, VT 05819"
"NORTHWESTERN MEDICAL CTR, INC",http://maps.google.com/maps?q=NORTHWESTERN%20MEDICAL%20CTR%20INC%2C133%20FAIRFIELD%20STREET%2C+ST%20ALBANS%2C+VT+05478,VT,5478,DEA,"133 FAIRFIELD STREET, ST ALBANS, VT 05478"
PORTER HOSPITAL,http://maps.google.com/maps?q=PORTER%20HOSPITAL%2CC/O%20DIRECTOR%20OF%20PHARMACY%2C+MIDDLEBURY%2C+VT+05753,VT,5753,DEA,"C/O DIRECTOR OF PHARMACY, 115 PORTER DRIVE, MIDDLEBURY, VT 05753"
REDINGTON-FAIRVIEW GEN HOSP,http://maps.google.com/maps?q=REDINGTONFAIRVIEW%20GEN%20HOSP%2C46%20FAIRVIEW%20AVENUE%2C%20PO%20BOX%20468%2C+SKOWHEGAN%2C+ME+04976,ME,4976,DEA,"46 FAIRVIEW AVENUE, PO BOX 468, SKOWHEGAN, ME 04976"
RICHFORD HEALTH CENTER INC,http://maps.google.com/maps?q=RICHFORD%20HEALTH%20CENTER%20INC%2C44%20MAIN%20STREET%2C+RICHFORD%2C+VT+05476,VT,5476,DEA,"44 MAIN STREET, SUITE 201, RICHFORD, VT 05476"
RUTLAND REGIONAL MEDICAL CTR,http://maps.google.com/maps?q=RUTLAND%20REGIONAL%20MEDICAL%20CTR%2C160%20ALLEN%20ST%20ATTN%20PHARM%20DEPT%2C+RUTLAND%2C+VT+05701,VT,5701,DEA,"160 ALLEN ST ATTN PHARM DEPT, RUTLAND, VT 05701"
SAINT JOSEPH'S HOSPITAL,http://maps.google.com/maps?q=SAINT%20JOSEPHS%20HOSPITAL%2CATTN%20PHARMACY%2C+NASHUA%2C+NH+03060,NH,3060,DEA,"ATTN PHARMACY, 172 KINSLEY ST, NASHUA, NH 03060"
SARATOGA HOSPITAL THE,http://maps.google.com/maps?q=SARATOGA%20HOSPITAL%20THE%2C211%20CHURCH%20STREET%2C+SARATOGA%20SPRINGS%2C+NY+12866,NY,12866,DEA,"211 CHURCH STREET, SARATOGA SPRINGS, NY 12866"
SAUGERTIES PHARMACY LLC,http://maps.google.com/maps?q=SAUGERTIES%20PHARMACY%20LLC%2C250%20MAIN%20ST%2C+SAUGERTIES%2C+NY+12477,NY,12477,DEA,"250 MAIN ST, SAUGERTIES, NY 12477"
SOUTH HERO PHARMACY LLC,http://maps.google.com/maps?q=SOUTH%20HERO%20PHARMACY%20LLC%2C330-334%20ROUTE%202%2C+SOUTH%20HERO%2C+VT+05486,VT,5486,DEA,"330-334 ROUTE 2, SOUTH HERO, VT 05486"
SOUTHWESTERN VERMONT MEDICAL CENTER,http://maps.google.com/maps?q=SOUTHWESTERN%20VERMONT%20MEDICAL%20CENTER%2C100%20HOSPITAL%20DRIVE%2C+BENNINGTON%2C+VT+05201,VT,5201,DEA,"100 HOSPITAL DRIVE, BENNINGTON, VT 05201"
SPRINGFIELD PHARMACY INC,http://maps.google.com/maps?q=SPRINGFIELD%20PHARMACY%20INC%2C262%20RIVER%20STREET%2C+SPRINGFIELD%2C+VT+05156,VT,5156,DEA,"262 RIVER STREET, SPRINGFIELD, VT 05156"
STONE'S PHARMACY INC,http://maps.google.com/maps?q=STONES%20PHARMACY%20INC%2CBRIDGE%20&%20MAIN%20STREETS%2C+LAKE%20LUZERNE%2C+NY+12846,NY,12846,DEA,"BRIDGE & MAIN STREETS, LAKE LUZERNE, NY 12846"
T C FLYNN PHARMACY,http://maps.google.com/maps?q=T%20C%20FLYNN%20PHARMACY%2C173%20ELM%20ST%2C+PITTSFIELD%2C+MA+01201,MA,1201,DEA,"173 ELM ST, PITTSFIELD, MA 01201"
"THE PHARMACY - NORTHSHIRE, LLC",http://maps.google.com/maps?q=THE%20PHARMACY%20%20NORTHSHIRE%20LLC%2C34%20WAYS%20LANE%2C+MANCHESTER%20CENTER%2C+VT+05255,VT,5255,DEA,"34 WAYS LANE, MANCHESTER CENTER, VT 05255"
UNIVERSITY OF VERMONT MEDICAL CENTER,http://maps.google.com/maps?q=UNIVERSITY%20OF%20VERMONT%20MEDICAL%20CENTER%2C1%20SOUTH%20PROSPECT%20STREET%2C+BURLINGTON%2C+VT+05401,VT,5401,DEA,"1 SOUTH PROSPECT STREET, BURLINGTON, VT 05401"
UNIVERSITY OF VERMONT MEDICAL CENTER,http://maps.google.com/maps?q=UNIVERSITY%20OF%20VERMONT%20MEDICAL%20CENTER%2C111%20COLCHESTER%20AVENUE%2C+BURLINGTON%2C+VT+05401,VT,5401,DEA,"111 COLCHESTER AVENUE, BURLINGTON, VT 05401"
UNIVERSITY OF VERMONT MEDICAL CENTER,http://maps.google.com/maps?q=UNIVERSITY%20OF%20VERMONT%20MEDICAL%20CENTER%2C792%20COLLEGE%20PARKWAY%20SUITE%20103%2C+COLCHESTER%2C+VT+05446,VT,5446,DEA,"792 COLLEGE PARKWAY SUITE 103, COLCHESTER, VT 05446"
USN- NAVAL BRANCH HEALTH CLINIC SARATOGA SPRINGS,http://maps.google.com/maps?q=USN%20NAVAL%20BRANCH%20HEALTH%20CLINIC%20SARATOGA%20SPRINGS%2CONE%20WEST%20AVE%2C%20SUITE%20230%2C+SARATOGA%20SPRINGS%2C+NY+12866,NY,12866,DEA,"ONE WEST AVE, SUITE 230, SARATOGA SPRINGS, NY 12866"
VERMONT FAMILY PHARMACY INC,http://maps.google.com/maps?q=VERMONT%20FAMILY%20PHARMACY%20INC%2C1219%20NORTH%20AVENUE%2C+BURLINGTON%2C+VT+05408,VT,5408,DEA,"1219 NORTH AVENUE, BURLINGTON, VT 05408"
"WALGREEN EASTERN CO., INC.",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C104%20S%20MAIN%20STREET%2C+ROCHESTER%2C+NH+03867,NH,3867,DEA,"104 S MAIN STREET, ROCHESTER, NH 03867"
"WALGREEN EASTERN CO., INC.",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C283%20MAIN%20ST%2C+NASHUA%2C+NH+03060,NH,3060,DEA,"283 MAIN ST, NASHUA, NH 03060"
"WALGREEN EASTERN CO., INC.",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C3%20AIRPORT%20RD%2C+WEST%20LEBANON%2C+NH+03784,NH,3784,DEA,"3 AIRPORT RD, WEST LEBANON, NH 03784"
"WALGREEN EASTERN CO., INC.",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C320%20PARK%20AVE%2C+WORCESTER%2C+MA+01610,MA,1610,DEA,"320 PARK AVE, WORCESTER, MA 01610"
"WALGREEN EASTERN CO., INC.",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C440%20WEST%20ST%2C+KEENE%2C+NH+03431,NH,3431,DEA,"440 WEST ST, KEENE, NH 03431"
"WALGREEN EASTERN CO., INC.",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C4999%20STATE%20HIGHWAY%2030%2C+AMSTERDAM%2C+NY+12010,NY,12010,DEA,"4999 STATE HIGHWAY 30, AMSTERDAM, NY 12010"
"WALGREEN EASTERN CO., INC.",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C501%20SUMNER%20AVENUE%2C+SPRINGFIELD%2C+MA+01108,MA,1108,DEA,"501 SUMNER AVENUE, SPRINGFIELD, MA 01108"
"WALGREEN EASTERN CO., INC.",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C514%20FARRELL%20ST.%2C+BURLINGTON%2C+VT+05401,VT,5401,DEA,"514 FARRELL ST., BURLINGTON, VT 05401"
"WALGREEN EASTERN CO., INC.",http://maps.google.com/maps?q=WALGREEN%20EASTERN%20CO%20INC%2C53%20PARIS%20ST%2C+NORWAY%2C+ME+04268,ME,4268,DEA,"53 PARIS ST, NORWAY, ME 04268"
"WESTBOROUGH BEHAVIORAL HEALTHCARE HOSPITAL, LLC",http://maps.google.com/maps?q=WESTBOROUGH%20BEHAVIORAL%20HEALTHCARE%20HOSPITAL%20LLC%2C300%20FRIBERG%20PARKWAY%2C+WESTBOROUGH%2C+MA+01581,MA,1581,DEA,"300 FRIBERG PARKWAY, WESTBOROUGH, MA 01581"
WILCOX PHARMACY,http://maps.google.com/maps?q=WILCOX%20PHARMACY%2C252%20STRATTON%20ROAD%2C+RUTLAND%2C+VT+05701,VT,5701,DEA,"252 STRATTON ROAD, RUTLAND, VT 05701"
"YOUNG'S PHARMACY & GENERAL STORE, LLC",http://maps.google.com/maps?q=YOUNGS%20PHARMACY%20%20GENERAL%20STORE%20LLC%2C1636%20BURDEN%20LAKE%20ROAD%2C+AVERILL%20PARK%2C+NY+12018,NY,12018,DEA,"1636 BURDEN LAKE ROAD, AVERILL PARK, NY 12018"
13TH AVENUE PHARMACY INC,http://maps.google.com/maps?q=TH%20AVENUE%20PHARMACY%20INC%2C5211%2013TH%20AVENUE%2C+BROOKLYN%2C+NY+11219,NY,11219,DEA,"5211 13TH AVENUE, BROOKLYN, NY 11219"
AIDS HEALTHCARE FOUNDATION,http://maps.google.com/maps?q=AIDS%20HEALTHCARE%20FOUNDATION%2C475%20ATLANTIC%20AVE%2C+BROOKLYN%2C+NY+11217,NY,11217,DEA,"475 ATLANTIC AVE, BROOKLYN, NY 11217"
ALLURE SPECIALTY PHARMACY,http://maps.google.com/maps?q=ALLURE%20SPECIALTY%20PHARMACY%2C4377%20BRONX%20BLVD%2C+BRONX%2C+NY+10466,NY,10466,DEA,"4377 BRONX BLVD, BRONX, NY 10466"
AMI PHARMACY,http://maps.google.com/maps?q=AMI%20PHARMACY%2C4180%20BROADWAY%2C+NEW%20YORK%2C+NY+10033,NY,10033,DEA,"4180 BROADWAY, NEW YORK, NY 10033"
ASCAN PHARMACY INC.,http://maps.google.com/maps?q=ASCAN%20PHARMACY%20INC%2C101-21%20METROPOLITAN%20AVENUE%2C+FOREST%20HILLS%2C+NY+11375,NY,11375,DEA,"101-21 METROPOLITAN AVENUE, FOREST HILLS, NY 11375"
AVIGHNA RX LLC,http://maps.google.com/maps?q=AVIGHNA%20RX%20LLC%2C7%20BEDFORD%20PARK%20BLVD%2C+BRONX%2C+NY+10468,NY,10468,DEA,"7 BEDFORD PARK BLVD, BRONX, NY 10468"
AVK RX INC.,http://maps.google.com/maps?q=AVK%20RX%20INC%2C3904%20CHURCH%20AVE%2C+BROOKLYN%2C+NY+11203,NY,11203,DEA,"3904 CHURCH AVE, BROOKLYN, NY 11203"
AVONORA INC.,http://maps.google.com/maps?q=AVONORA%20INC%2C149-01%20UNION%20TURNPIKE%2C+FLUSHING%2C+NY+11367,NY,11367,DEA,"149-01 UNION TURNPIKE, FLUSHING, NY 11367"
"B & B PHARMACY, INC.",http://maps.google.com/maps?q=B%20%20B%20PHARMACY%20INC%2C79-08%2037TH%20AVE%2C+JACKSON%20HEIGHTS%2C+NY+11372,NY,11372,DEA,"79-08 37TH AVE, JACKSON HEIGHTS, NY 11372"
BANDSTAND CORPORATION,http://maps.google.com/maps?q=BANDSTAND%20CORPORATION%2C226%20PROSPECT%20PARK%20WEST%2C+BROOKLYN%2C+NY+11215,NY,11215,DEA,"226 PROSPECT PARK WEST, BROOKLYN, NY 11215"
BARDONIA PHARMACY LLC,http://maps.google.com/maps?q=BARDONIA%20PHARMACY%20LLC%2C301%20ROUTE%20304%2C+BARDONIA%2C+NY+10954,NY,10954,DEA,"301 ROUTE 304, SUITE 4, BARDONIA, NY 10954"
BAYSIDE PHARMACY INC.,http://maps.google.com/maps?q=BAYSIDE%20PHARMACY%20INC%2C221-36%20HORACE%20HARDING%20EXPRESSWAY%2C+OAKLAND%20GARDENS%2C+NY+11364,NY,11364,DEA,"221-36 HORACE HARDING EXPRESSWAY, OAKLAND GARDENS, NY 11364"
BELLEVILLE PHARMACY,http://maps.google.com/maps?q=BELLEVILLE%20PHARMACY%2C338%20WASHINGTON%20AVE%2C+BELLEVILLE%2C+NJ+07109,NJ,7109,DEA,"338 WASHINGTON AVE, BELLEVILLE, NJ 07109"
