,name,state,postal,googleMapsUrl,address,source,source_date,lat,lng
83,DOVER POLICE DEPARTMENT,MA,2030,"http://maps.google.com/maps?q=3 WALPOLE STREET,+DOVER,+MA+02030&hl=en","3 WALPOLE STREET, DOVER, MA 02030",DEA,NTBD2018,42.243744,-71.27968
84,DOVER POLICE DEPARTMENT CHIEF RANDY JOHNSON,VT,5356,"http://maps.google.com/maps?q=246 ROUTE 100,+WEST DOVER,+VT+05356&hl=en","246 ROUTE 100, WEST DOVER, VT 05356",DEA,NTBD2018,42.9778771,-72.877349
85,DUBLIN POLICE DEPARTMENT,NH,3444,"http://maps.google.com/maps?q=1122 MAIN STREET,+DUBLIN,+NH+03444&hl=en","1122 MAIN STREET, DUBLIN, NH 03444",DEA,NTBD2018,42.90594,-72.06022
86,DUDLEY POLICE DEPARTMENT,MA,1571,"http://maps.google.com/maps?q=71 WEST MAIN ST,+DUDLEY,+MA+01571&hl=en","71 WEST MAIN ST, DUDLEY, MA 01571",DEA,NTBD2018,42.045628,-71.89602
87,DURHAM RESIDENT STATE TROOPERS OFFICE,CT,6422,"http://maps.google.com/maps?q=24 TOWN HOUSE ROAD,+DURHAM,+CT+06422&hl=en","24 TOWN HOUSE ROAD, DURHAM, CT 06422",DEA,NTBD2018,41.469925,-72.6806
88,VASSAR BROTHERS MEDICAL HOSPITAL,NY,12601,"http://maps.google.com/maps?q=45 READE PLACE,+POUGHKEEPSIE,+NY+12601&hl=en","45 READE PLACE, POUGHKEEPSIE, NY 12601",DEA,NTBD2018,41.694508,-73.93533
89,EAST GREENBUSH POLICE DEPARTMENT,NY,12144,"http://maps.google.com/maps?q=225 COLUMBIA TURNPIKE,+RENSSELAER,+NY+12144&hl=en","225 COLUMBIA TURNPIKE, RENSSELAER, NY 12144",DEA,NTBD2018,42.617336,-73.732
90,EAST HADDAM POLICE DEPT/RESIDENT TROOPER,CT,6469,"http://maps.google.com/maps?q=1 PLAINS ROAD,+MOODUS,+CT+06469&hl=en","1 PLAINS ROAD, MOODUS, CT 06469",DEA,NTBD2018,41.498196,-72.44901
91,EAST HAMPTON POLICE DEPARTMENT,CT,6424,"http://maps.google.com/maps?q=20 EAST HIGH STREET,+EAST HAMPTON,+CT+06424&hl=en","20 EAST HIGH STREET, EAST HAMPTON, CT 06424",DEA,NTBD2018,41.583218,-72.50387
92,EAST HARTFORD POLICE HEADQUARTERS EAST HARTFORD PUBLIC SAFETY COMPLEX,CT,6108,"http://maps.google.com/maps?q=31 SCHOOL STREET,+EAST HARTFORD,+CT+06108&hl=en","31 SCHOOL STREET, EAST HARTFORD, CT 06108",DEA,NTBD2018,41.7802,-72.61123
93,EAST LONGMEADOW POLICE DEPARTMENT,MA,1028,"http://maps.google.com/maps?q=160 SOMERS RD,+EAST LONGMEADOW,+MA+01028&hl=en","160 SOMERS RD, EAST LONGMEADOW, MA 01028",DEA,NTBD2018,42.057816,-72.50257
94,EASTHAMPTON PUBLIC SAFETY COMPLEX,MA,1027,"http://maps.google.com/maps?q=32 PAYSON AVENUE,+EASTHAMPTON,+MA+01027&hl=en","32 PAYSON AVENUE, EASTHAMPTON, MA 01027",DEA,NTBD2018,42.266018,-72.67107
95,EASTON PUBLIC LIBRARY,CT,6612,"http://maps.google.com/maps?q=691 MOREHOUSE ROAD,+EASTON,+CT+06612&hl=en","691 MOREHOUSE ROAD, EASTON, CT 06612",DEA,NTBD2018,41.25219,-73.296906
96,ELLINGTON RESIDENT TROOPERS OFFICE,CT,6029,"http://maps.google.com/maps?q=33 ARBOR WAY,+ELLINGTON,+CT+06029&hl=en","33 ARBOR WAY, ELLINGTON, CT 06029",DEA,NTBD2018,41.904312,-72.46372
97,ENFIELD POLICE DEPARTMENT,CT,6082,"http://maps.google.com/maps?q=293 ELM ST.,+ENFIELD,+CT+06082&hl=en","293 ELM ST., ENFIELD, CT 06082",DEA,NTBD2018,41.999466,-72.55543
98,FAIR HAVEN POLICE DEPARTMENT,VT,5743,"http://maps.google.com/maps?q=3 NORTH PARK PLACE,+FAIR HAVEN,+VT+05743&hl=en","3 NORTH PARK PLACE, FAIR HAVEN, VT 05743",DEA,NTBD2018,43.594845,-73.26548
99,FAIRFIELD POLICE HEADQUARTERS MAIN LOBBY,CT,6824,"http://maps.google.com/maps?q=100 REEF ROAD,+FAIRFIELD,+CT+06824&hl=en","100 REEF ROAD, FAIRFIELD, CT 06824",DEA,NTBD2018,41.139755,-73.2567
100,FITZWILLIAM POLICE DEPARTMENT,NH,3447,"http://maps.google.com/maps?q=6 CHURCH ST.,+FITZWILLIAM,+NH+03447&hl=en","6 CHURCH ST., FITZWILLIAM, NH 03447",DEA,NTBD2018,42.765457,-72.15075
101,FLORAL PARK POLICE DEPARTMENT,NY,11022,"http://maps.google.com/maps?q=1 FLORAL BLVD,+GREAT NECK,+NY+11022&hl=en","1 FLORAL BLVD, GREAT NECK, NY 11022",DEA,NTBD2018,40.7773752,-73.7315829
