,address,postal,state,city,geo,newURL,googleMapsUrl
3343,407 EAST ORANGE AVE.,78372,TX, ORANGE GROVE,"-97.93957,27.958197",,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C407%20EAST%20ORANGE%20AVE.%2C+ORANGE%20GROVE%2C+TX+78372
3348,7214 FM 1960 E,77346,TX, HUMBLE,,"https://www.google.com/maps/place/CVS/@29.9928143,-95.1968005,14z/data=!4m8!1m2!2m1!1sCVS+PHARMACY+INC,7214+FM+1960+E,+HUMBLE,+TX+77346!3m4!1s0x8640ac4303990f8b:0x9eadba1daf952f98!8m2!3d29.9976908!4d-95.1668923",http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C7214%20FM%201960%20E%2C+HUMBLE%2C+TX+77346
3351,750 W. FM 544,75098,TX, WYLIE,"-96.547745,33.0074",,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C750%20W.%20FM%20544%2C+WYLIE%2C+TX+75098
3355,9101 HWY 6 NORTH,77095,TX, HOUSTON,"-95.628204,29.910255",,http://maps.google.com/maps?q=CVS%20PHARMACY%20INC%2C9101%20HWY%206%20NORTH%2C+HOUSTON%2C+TX+77095
3356,222 OAKRIDGE COMMONS,10590,NY, SOUTH SALEM,"-73.517555,41.216396",,http://maps.google.com/maps?q=D%20AND%20B%20PHARMACY%20CORP%2C222%20OAKRIDGE%20COMMONS%2C+SOUTH%20SALEM%2C+NY+10590
3357, PO BOX 1158,57501,SD, PIERRE,"-100.355286,44.36762",,http://maps.google.com/maps?q=DAKOTA%20MART%20INC%2C120%20WEST%20SIOUX%20AVENUE%2C+PIERRE%2C+SD+57501
3360,ONE MEDICAL CENTER DRIVE,3756,NH, LEBANON,,"https://www.google.com/maps/place/Dartmouth-Hitchcock+Medical+Center/@43.6761758,-72.2753515,17z/data=!4m8!1m2!2m1!1sDARTMOUTHHITCHCOCK+PHARMACY,ONE+MEDICAL+CENTER+DRIVE,+LEBANON,+NH+03756!3m4!1s0x4cb4b5e6a6c0737f:0x686e604ece71e0cf!8m2!3d43.6759588!4d-72.2723501",http://maps.google.com/maps?q=DARTMOUTHHITCHCOCK%20PHARMACY%2CONE%20MEDICAL%20CENTER%20DRIVE%2C+LEBANON%2C+NH+03756
3365, 2141 EMORY ROAD,37849,TN, POWELL,,"https://www.google.com/maps/place/Vaughn+Pharmacy/@36.028593,-84.0350657,17z/data=!3m1!4b1!4m5!3m4!1s0x885c395f5233dfd3:0x6644e4ec025cd567!8m2!3d36.028593!4d-84.032877",http://maps.google.com/maps?q=DISNEY%20PHARMACY%20SEVICES%2CDBA%20VAUGHN%20PHARMACY%2C+POWELL%2C+TN+37849
3369,305 TOWERVIEW DRIVE,27708,NC, DURHAM,,"https://www.google.com/maps/place/DUKE+CAMPUS+CENTER+PHARMACY/@35.9994361,-78.9437499,17z/data=!3m1!4b1!4m5!3m4!1s0x89ace6ba980987bd:0x7fe68a3e1022f61d!8m2!3d35.9994361!4d-78.9415612",http://maps.google.com/maps?q=DUKE%20CAMPUS%20CENTER%20PHARMACY%2C305%20TOWERVIEW%20DRIVE%2C+DURHAM%2C+NC+27708
3370,6032 ROUTE 82,12581,NY, STANFORDVILLE,"-73.70733,41.869793",,http://maps.google.com/maps?q=DUTCHESS%20CHEMISTS%20INC%2C6032%20ROUTE%2082%2C+STANFORDVILLE%2C+NY+12581
3371, 2005 MARIPOSA ROAD,95205,CA, STOCKTON,,"https://www.google.com/maps/place/Doug's+El+Dorado+Drug+Store/@37.9388811,-121.2471111,17z/data=!3m1!4b1!4m5!3m4!1s0x80906d23f9b407b9:0x405122434ef17291!8m2!3d37.9388811!4d-121.2449224",http://maps.google.com/maps?q=EL%20DORADO%20DRUG%20STORE%2CBENNETT%20DOUGLAS%20EARL%2C+STOCKTON%2C+CA+95205
3372, P.O. BOX 11270,93304,CA, BAKERSFIELD,"-119.03622,35.354122",,http://maps.google.com/maps?q=EL%20TEJON%20DRUGS%2C2900%20BRUNDAGE%20LANE%2C+BAKERSFIELD%2C+CA+93304
3374, 1525 ELM STREET,45202,OH, CINCINNATI,,"https://www.google.com/maps/place/Elm+Street+Health+Center/@39.1121287,-84.521827,17z/data=!3m1!4b1!4m5!3m4!1s0x8841b3ff04520b75:0x59133dca1f32c85b!8m2!3d39.1121287!4d-84.5196383",http://maps.google.com/maps?q=ELM%20STREET%20HEALTH%20CENTER%2CELM%20STREET%20HEALTH%20CENTER%20PHARMACY%2C+CINCINNATI%2C+OH+45202
3375, 2801 N GANTENBEIN AVE,97227,OR, PORTLAND,,"https://www.google.com/maps/place/Legacy+Emanuel+Medical+Center/@45.5443806,-122.6720652,17z/data=!4m8!1m2!2m1!1sEMANUEL+HOSP++HEALTH+CENTER,DIRECTOR+OF+PHARMACY+SERVICES,+PORTLAND,+OR+97227!3m4!1s0x5495a7442035ee87:0x533a4f815c4994a8!8m2!3d45.5441697!4d-122.6696851",http://maps.google.com/maps?q=EMANUEL%20HOSP%20%20HEALTH%20CENTER%2CDIRECTOR%20OF%20PHARMACY%20SERVICES%2C+PORTLAND%2C+OR+97227
3379,3421 SW 8 ST,33135,FL, MIAMI,"-80.251305,25.764784",,http://maps.google.com/maps?q=EXPRESS%20RX%20PHARMACY%20INC%2C3421%20SW%208%20ST%2C+MIAMI%2C+FL+33135
3380,4747 NESCONSET HWY,11776,NY, PORT JEFFERSON STATION,"-73.05488,40.91684",,http://maps.google.com/maps?q=FAIRVIEW%20HILL%20REALTY%20CORP%2C4747%20NESCONSET%20HWY%2C+PORT%20JEFFERSON%20STATION%2C+NY+11776
3381, ATTN SUPERVISING PHARMACIST,14221,NY, WILLIAMSVILLE,"-78.74277,43.001053",,http://maps.google.com/maps?q=FAMILY%20MEDICAL%20PHARMACY%2C120%20PLAZA%20DRIVE%2C+WILLIAMSVILLE%2C+NY+14221
3383, 82 NEWPORT RD,3257,NH, NEW LONDON,,"https://www.google.com/maps/place/Colonial+Pharmacy/@43.4217672,-71.9968423,17z/data=!4m13!1m7!3m6!1s0x89e1f82dec5f5439:0xe4dec5e535f090ea!2s82+Newport+Rd,+New+London,+NH+03257!3b1!8m2!3d43.4217633!4d-71.9946536!3m4!1s0x89e1f9c369c4f727:0x16e2f2166c774c64!8m2!3d43.4216793!4d-71.9952266","https://www.google.com/maps/place/Colonial+Pharmacy/@43.4217672,-71.9968423,17z/data=!4m13!1m7!3m6!1s0x89e1f82dec5f5439:0xe4dec5e535f090ea!2s82+Newport+Rd,+New+London,+NH+03257!3b1!8m2!3d43.4217633!4d-71.9946536!3m4!1s0x89e1f9c369c4f727:0x16e2f2166c774c64!8m2!3d43.4216793!4d-71.9952266"
3384, BUILDING 554,12524,NY, FISHKILL,,"https://www.google.com/maps/place/The+Medicine+Shoppe%C2%AE+Pharmacy/@41.5319855,-73.9076939,17z/data=!3m1!4b1!4m5!3m4!1s0x89dd371c30b5c5a3:0x9dba105049798a3f!8m2!3d41.5319855!4d-73.9055052",http://maps.google.com/maps?q=FISHKILL%20PHARMACY%20LLC%2C1004%20MAIN%20ST.%2C+FISHKILL%2C+NY+12524
3387, SUITE 107,11570,NY, ROCKVILLE CENTRE,,"https://www.google.com/maps/place/Ryan+Medical+Pharmacy/@40.6724046,-73.6564903,14z/data=!4m8!1m2!2m1!1sFONTAK+INC,2000+NORTH+VILLAGE+AVENUE,+ROCKVILLE+CENTRE,+NY+11570!3m4!1s0x89c27b53d3620101:0x239126e14d58987e!8m2!3d40.6867829!4d-73.6340511","https://www.google.com/maps/place/Ryan+Medical+Pharmacy/@40.6724046,-73.6564903,14z/data=!4m8!1m2!2m1!1sFONTAK+INC,2000+NORTH+VILLAGE+AVENUE,+ROCKVILLE+CENTRE,+NY+11570!3m4!1s0x89c27b53d3620101:0x239126e14d58987e!8m2!3d40.6867829!4d-73.6340511"
3389,937 N YOSEMITE STREET,95203,CA, STOCKTON,"-121.30665,37.95957",,http://maps.google.com/maps?q=FORTY%20NINE%20DRUG%20CO%2C937%20N%20YOSEMITE%20STREET%2C+STOCKTON%2C+CA+95203
3392,1732 YOUNGSTOWN RD,44484,OH, WARREN,"-80.796326,41.22775",,http://maps.google.com/maps?q=FRANKLIN%20PHARM%20%20HEALTH%20CARE%2C1732%20YOUNGSTOWN%20RD%2C+WARREN%2C+OH+44484
3393, ATTN: SUPERVISING PHARMACIST,11010,NY, FRANKLIN SQUARE,"-73.67449,40.707306",,http://maps.google.com/maps?q=FRANKLIN%20SQUARE%20PHARMACY%20INC%2C925%20HEMPSTEAD%20TURNPIKE%2C+FRANKLIN%20SQUARE%2C+NY+11010
3396, 1010 RIVER ROAD,58538,ND, FORT YATES,,"https://www.google.com/maps/place/Fort+Yates+Indian+Health+Service+Hospital/@46.0949818,-100.6302868,17z/data=!3m1!4b1!4m5!3m4!1s0x52d65cba9151af3b:0xb9a15a04444b04c!8m2!3d46.0949818!4d-100.6280981",http://maps.google.com/maps?q=FTYATES%20%20INDIAN%20HOSPITAL%2CP.H.S.%20INDIAN%20HOSPITAL%2C+FORT%20YATES%2C+ND+58538
